
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.724	1008	100.000	20.950	52.500	20.821	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.728	1008	100.000	20.950	52.500	21.128	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.775	1013	100.000	20.950	52.500	21.110	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.729	1008	100.000	20.950	52.500	20.697	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/27/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/27/2026	17:53:50	0.00		6.4227	6.3142	6.2901	6.2549	28.712	28.712	28.712	28.712	1008.19	57.865	28.712	---	---	20.670	21.167	21.252	20.841	222.942	243.599	331.913	228.915	4.181	3.838	3.338	6.201	
8/27/2026	17:53:51	1.01		6.4233	6.3155	6.2890	6.2552	28.712	28.712	28.712	28.712	1008.23	57.845	28.712	---	---	20.669	21.164	21.254	20.840	222.902	243.636	331.930	228.906	2.843	3.456	4.284	5.990	
8/27/2026	17:53:52	2.45		6.4242	6.3177	6.2889	6.2536	28.708	28.708	28.708	28.708	1008.25	57.827	28.708	---	---	20.668	21.161	21.255	20.844	222.912	243.622	331.934	228.903	4.120	3.463	4.059	5.726	
8/27/2026	17:53:53	3.21		6.4234	6.3161	6.2908	6.2574	28.706	28.706	28.706	28.706	1008.25	57.820	28.706	---	---	20.670	21.165	21.253	20.838	222.901	243.619	331.944	228.921	4.604	3.161	3.993	5.740	
8/27/2026	17:53:54	4.07		6.4197	6.3157	6.2917	6.2563	28.706	28.706	28.706	28.706	1008.22	57.792	28.706	---	---	20.677	21.165	21.251	20.840	222.941	243.589	331.946	228.957	5.834	3.320	3.096	5.718	
8/27/2026	17:53:55	5.00		6.4212	6.3146	6.2939	6.2575	28.708	28.708	28.708	28.708	1008.16	57.751	28.708	---	---	20.674	21.167	21.247	20.837	222.927	243.619	331.955	228.953	4.526	3.217	3.896	5.529	
8/27/2026	17:53:56	6.00		6.4217	6.3178	6.2930	6.2571	28.707	28.707	28.707	28.707	1008.14	57.692	28.707	---	---	20.673	21.162	21.249	20.838	222.878	243.645	331.967	228.926	3.996	2.813	4.294	5.436	
8/27/2026	17:53:57	7.00		6.4244	6.3194	6.2929	6.2589	28.706	28.706	28.706	28.706	1008.17	57.634	28.706	---	---	20.669	21.159	21.249	20.835	222.885	243.660	331.968	228.932	4.121	2.923	4.216	5.260	
8/27/2026	17:53:58	8.00		6.4269	6.3202	6.2939	6.2589	28.703	28.703	28.703	28.703	1008.19	57.575	28.703	---	---	20.665	21.158	21.248	20.836	222.849	243.656	331.972	228.930	4.004	2.402	4.291	5.445	
8/27/2026	17:53:59	9.00		6.4303	6.3195	6.2943	6.2613	28.701	28.701	28.701	28.701	1008.19	57.524	28.701	---	---	20.660	21.160	21.248	20.832	222.920	243.636	331.956	228.971	4.474	2.899	3.936	5.530	
8/27/2026	17:54:00	10.00		6.4284	6.3200	6.2967	6.2609	28.701	28.701	28.701	28.701	1008.18	57.494	28.701	---	---	20.663	21.159	21.243	20.833	222.908	243.606	331.961	228.940	4.432	2.539	4.080	5.680	
8/27/2026	17:54:01	11.00		6.4245	6.3211	6.2939	6.2629	28.701	28.701	28.701	28.701	1008.24	57.484	28.701	---	---	20.670	21.157	21.248	20.829	222.918	243.583	331.978	228.938	4.553	2.479	3.972	6.425	
8/27/2026	17:54:02	12.00		6.4218	6.3235	6.2928	6.2594	28.700	28.700	28.700	28.700	1008.23	57.494	28.700	---	---	20.675	21.153	21.251	20.836	222.858	243.615	332.003	228.880	3.423	2.501	4.840	5.498	
8/27/2026	17:54:03	13.00		6.4234	6.3216	6.2903	6.2585	28.698	28.698	28.698	28.698	1008.24	57.504	28.698	---	---	20.672	21.157	21.256	20.838	222.861	243.623	331.980	228.898	3.238	2.894	4.636	5.698	
8/27/2026	17:54:04	14.00		6.4260	6.3206	6.2916	6.2607	28.696	28.696	28.696	28.696	1008.20	57.545	28.696	---	---	20.668	21.159	21.254	20.834	222.869	243.649	331.957	228.899	3.151	3.089	4.669	4.823	
8/27/2026	17:54:05	15.00		6.4257	6.3180	6.2944	6.2589	28.698	28.698	28.698	28.698	1008.21	57.593	28.698	---	---	20.668	21.163	21.248	20.837	222.918	243.615	331.909	228.963	4.323	3.095	3.671	4.923	
8/27/2026	17:54:06	16.00		6.4264	6.3199	6.2958	6.2605	28.699	28.699	28.699	28.699	1008.17	57.652	28.699	---	---	20.667	21.160	21.246	20.834	222.903	243.652	331.928	228.942	3.135	2.771	4.699	4.524	
8/27/2026	17:54:07	17.00		6.4260	6.3213	6.2961	6.2558	28.700	28.700	28.700	28.700	1008.16	57.690	28.700	---	---	20.667	21.157	21.245	20.842	222.909	243.622	331.941	228.957	4.482	2.749	3.870	5.468	
8/27/2026	17:54:08	18.00		6.4231	6.3211	6.2956	6.2558	28.700	28.700	28.700	28.700	1008.17	57.700	28.700	---	---	20.672	21.157	21.246	20.842	222.912	243.632	331.946	228.944	3.830	2.937	3.781	5.228	
8/27/2026	17:54:09	19.00		6.4239	6.3188	6.2942	6.2545	28.697	28.697	28.697	28.697	1008.21	57.700	28.697	---	---	20.672	21.162	21.249	20.845	222.911	243.628	331.933	228.971	3.888	3.409	3.354	4.502	
