seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.0,17:53:21,6.4742,6.2939,6.2531,6.3086,28.639
1.32,0.00036666666666666667,17:53:22,6.4216,6.2921,6.2523,6.3081,28.642
2.47,0.0006861111111111112,17:53:23,6.4478,6.2905,6.2544,6.3068,28.643
3.65,0.0010138888888888888,17:53:25,6.469,6.2887,6.2558,6.3075,28.642
4.74,0.0013166666666666667,17:53:26,6.4592,6.2871,6.2551,6.3078,28.64
5.78,0.0016055555555555556,17:53:27,6.4456,6.2882,6.2565,6.3093,28.638
6.8,0.0018888888888888887,17:53:28,6.4521,6.2864,6.2584,6.3079,28.638
7.97,0.002213888888888889,17:53:29,6.4754,6.2889,6.2568,6.3085,28.637
8.99,0.0024972222222222223,17:53:30,6.4696,6.2888,6.2546,6.3048,28.639
10.03,0.0027861111111111107,17:53:31,6.4947,6.2896,6.2511,6.3046,28.642
11.04,0.0030666666666666663,17:53:32,6.494,6.289,6.2522,6.3032,28.644
12.06,0.00335,17:53:33,6.4826,6.2884,6.2509,6.305,28.646
13.08,0.0036333333333333335,17:53:34,6.4795,6.2887,6.253,6.3075,28.642
14.12,0.003922222222222222,17:53:35,6.4919,6.2888,6.254,6.3091,28.64
15.14,0.004205555555555556,17:53:36,6.5217,6.286,6.256,6.3086,28.64
16.15,0.004486111111111111,17:53:37,6.5277,6.2872,6.2562,6.3071,28.642
17.17,0.004769444444444445,17:53:38,6.4975,6.2858,6.2535,6.3073,28.644
18.19,0.005052777777777778,17:53:39,6.4564,6.2866,6.2517,6.3054,28.646
19.21,0.005336111111111111,17:53:40,6.451,6.2858,6.2505,6.3058,28.646
20.29,0.005636111111111111,17:53:41,6.4593,6.2876,6.2507,6.3076,28.648
21.31,0.005919444444444444,17:53:42,6.5105,6.2923,6.2487,6.3088,28.646
22.39,0.006219444444444445,17:53:43,6.4919,6.2916,6.2486,6.3068,28.647
23.41,0.0065027777777777775,17:53:44,6.5014,6.2916,6.2495,6.3036,28.648
24.43,0.006786111111111111,17:53:45,6.4719,6.2865,6.2492,6.3054,28.649
25.45,0.007069444444444444,17:53:46,6.4635,6.2853,6.2481,6.3056,28.65
26.48,0.007355555555555555,17:53:47,6.4464,6.2836,6.2499,6.3047,28.651
27.49,0.007636111111111111,17:53:48,6.436,6.2858,6.2511,6.3037,28.653
28.52,0.007922222222222223,17:53:49,6.4557,6.2865,6.2533,6.304,28.652
29.56,0.00821111111111111,17:53:50,6.4629,6.2865,6.2511,6.3057,28.649
30.58,0.008494444444444443,17:53:52,6.4997,6.2851,6.25,6.3052,28.647
