
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.603	1008	100.000	20.950	48.700	6.469	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.592	1008	100.000	20.950	52.500	20.678	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.953	1013	100.000	20.950	52.500	20.695	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.617	1008	100.000	20.950	52.500	20.659	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/27/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/27/2026	17:53:21	0.00		6.4742	6.2939	6.2531	6.3086	28.639	28.639	28.639	28.639	1008.07	54.089	28.639	---	---	6.372	20.760	20.935	20.718	33.519	282.678	273.097	313.525	0.771	7.548	7.344	7.378	
8/27/2026	17:53:22	1.32		6.4216	6.2921	6.2523	6.3081	28.642	28.642	28.642	28.642	1008.08	54.030	28.642	---	---	6.409	20.763	20.936	20.718	33.522	282.701	273.109	313.526	0.765	7.682	7.190	7.179	
8/27/2026	17:53:23	2.47		6.4478	6.2905	6.2544	6.3068	28.643	28.643	28.643	28.643	1008.11	53.972	28.643	---	---	6.390	20.765	20.932	20.720	33.524	282.683	273.110	313.544	0.771	7.657	7.182	7.189	
8/27/2026	17:53:25	3.65		6.4690	6.2887	6.2558	6.3075	28.642	28.642	28.642	28.642	1008.10	53.944	28.642	---	---	6.374	20.769	20.930	20.719	33.529	282.675	273.122	313.585	0.776	7.722	7.315	7.249	
8/27/2026	17:53:26	4.74		6.4592	6.2871	6.2551	6.3078	28.640	28.640	28.640	28.640	1008.09	53.954	28.640	---	---	6.382	20.772	20.931	20.719	33.534	282.678	273.141	313.582	0.774	7.740	7.433	7.336	
8/27/2026	17:53:27	5.78		6.4456	6.2882	6.2565	6.3093	28.638	28.638	28.638	28.638	1008.08	53.974	28.638	---	---	6.392	20.771	20.930	20.717	33.545	282.674	273.159	313.592	0.773	7.675	7.413	7.307	
8/27/2026	17:53:28	6.80		6.4521	6.2864	6.2584	6.3079	28.638	28.638	28.638	28.638	1008.07	54.012	28.638	---	---	6.387	20.774	20.926	20.719	33.534	282.666	273.159	313.566	0.778	7.520	7.164	7.162	
8/27/2026	17:53:29	7.97		6.4754	6.2889	6.2568	6.3085	28.637	28.637	28.637	28.637	1008.07	54.051	28.637	---	---	6.370	20.770	20.929	20.718	33.524	282.635	273.168	313.587	0.786	7.424	7.013	7.078	
8/27/2026	17:53:30	8.99		6.4696	6.2888	6.2546	6.3048	28.639	28.639	28.639	28.639	1008.07	54.079	28.639	---	---	6.374	20.769	20.933	20.724	33.509	282.637	273.187	313.585	0.782	7.452	6.994	7.122	
8/27/2026	17:53:31	10.03		6.4947	6.2896	6.2511	6.3046	28.642	28.642	28.642	28.642	1008.10	54.099	28.642	---	---	6.355	20.767	20.938	20.724	33.505	282.638	273.217	313.579	0.786	7.419	7.025	7.106	
8/27/2026	17:53:32	11.04		6.4940	6.2890	6.2522	6.3032	28.644	28.644	28.644	28.644	1008.09	54.109	28.644	---	---	6.356	20.768	20.936	20.726	33.511	282.653	273.194	313.547	0.782	7.331	7.064	7.103	
8/27/2026	17:53:33	12.06		6.4826	6.2884	6.2509	6.3050	28.646	28.646	28.646	28.646	1008.09	54.109	28.646	---	---	6.364	20.768	20.937	20.722	33.516	282.629	273.193	313.566	0.771	7.442	7.224	7.279	
8/27/2026	17:53:34	13.08		6.4795	6.2887	6.2530	6.3075	28.642	28.642	28.642	28.642	1008.05	54.079	28.642	---	---	6.366	20.769	20.935	20.719	33.520	282.629	273.190	313.567	0.776	7.471	7.234	7.259	
