
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.864	1009	100.000	20.950	48.700	6.150	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.592	1008	100.000	20.950	52.500	20.678	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.849	1009	100.000	20.950	48.700	6.474	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.617	1008	100.000	20.950	52.500	20.659	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/28/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/28/2026	17:24:01	0.00		5.9466	6.3761	6.2939	6.4795	28.763	28.763	28.763	28.763	1009.24	55.264	28.763	---	---	6.449	20.584	6.510	20.389	38.418	426.499	63.221	310.978	0.751	7.651	0.690	7.421	
8/28/2026	17:24:03	1.47		5.9483	6.3750	6.3006	6.4812	28.763	28.763	28.763	28.763	1009.24	55.264	28.763	---	---	6.447	20.586	6.504	20.386	38.425	426.485	63.230	310.962	0.746	7.658	0.692	7.408	
8/28/2026	17:24:04	3.28		5.9178	6.3759	6.2882	6.4825	28.765	28.765	28.765	28.765	1009.23	55.264	28.765	---	---	6.471	20.584	6.514	20.383	38.425	426.503	63.255	310.970	0.747	7.727	0.683	7.472	
8/28/2026	17:24:05	4.36		5.9029	6.3762	6.2940	6.4825	28.763	28.763	28.763	28.763	1009.22	55.264	28.763	---	---	6.483	20.584	6.509	20.384	38.427	426.496	63.264	311.000	0.741	7.638	0.702	7.479	
8/28/2026	17:24:07	5.59		5.8977	6.3762	6.2986	6.4810	28.766	28.766	28.766	28.766	1009.22	55.264	28.766	---	---	6.487	20.583	6.506	20.386	38.430	426.507	63.285	311.030	0.743	7.552	0.709	7.430	
8/28/2026	17:24:08	6.67		5.9045	6.3755	6.3035	6.4801	28.767	28.767	28.767	28.767	1009.23	55.264	28.767	---	---	6.482	20.584	6.502	20.387	38.426	426.486	63.282	311.021	0.733	7.567	0.706	7.362	
8/28/2026	17:24:09	7.83		5.9189	6.3749	6.3009	6.4794	28.768	28.768	28.768	28.768	1009.27	55.264	28.768	---	---	6.470	20.585	6.504	20.388	38.417	426.487	63.298	311.006	0.724	7.646	0.693	7.385	
8/28/2026	17:24:10	8.91		5.9071	6.3749	6.2932	6.4820	28.766	28.766	28.766	28.766	1009.28	55.264	28.766	---	---	6.480	20.586	6.510	20.384	38.406	426.491	63.302	311.002	0.727	7.699	0.696	7.390	
8/28/2026	17:24:11	10.13		5.9046	6.3751	6.2951	6.4828	28.766	28.766	28.766	28.766	1009.26	55.264	28.766	---	---	6.482	20.585	6.508	20.383	38.417	426.501	63.317	311.014	0.725	7.685	0.700	7.410	
8/28/2026	17:24:12	11.21		5.9102	6.3761	6.2977	6.4833	28.766	28.766	28.766	28.766	1009.25	55.264	28.766	---	---	6.477	20.583	6.506	20.382	38.426	426.500	63.322	311.023	0.731	7.681	0.696	7.474	
8/28/2026	17:24:13	12.30		5.9225	6.3761	6.2874	6.4821	28.769	28.769	28.769	28.769	1009.24	55.264	28.769	---	---	6.467	20.583	6.514	20.383	38.433	426.499	63.329	311.025	0.725	7.709	0.681	7.496	
8/28/2026	17:24:14	13.38		5.9337	6.3759	6.2892	6.4811	28.769	28.769	28.769	28.769	1009.27	55.264	28.769	---	---	6.458	20.583	6.512	20.385	38.421	426.484	63.327	311.042	0.743	7.699	0.677	7.573	
8/28/2026	17:24:16	14.57		5.9324	6.3768	6.2879	6.4832	28.768	28.768	28.768	28.768	1009.27	55.274	28.768	---	---	6.459	20.582	6.513	20.381	38.415	426.489	63.331	311.038	0.747	7.713	0.678	7.481	
