seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.0,17:49:50,6.4267,6.7037,6.2259,6.5125,28.709
1.17,0.000325,17:49:51,6.4253,6.7018,6.2873,6.47,28.711
2.06,0.0005722222222222222,17:49:52,6.4236,6.7039,6.2881,6.5529,28.711
3.04,0.0008444444444444444,17:49:53,6.4232,6.7031,6.2899,6.5427,28.708
3.96,0.0011,17:49:54,6.4244,6.7049,6.2381,6.5385,28.707
4.96,0.0013777777777777777,17:49:55,6.4263,6.7041,6.2759,6.4488,28.704
6.02,0.001672222222222222,17:49:56,6.4253,6.7023,6.3057,6.3472,28.707
6.99,0.0019416666666666666,17:49:57,6.4245,6.7003,6.3554,6.3157,28.71
7.96,0.002211111111111111,17:49:58,6.4262,6.7048,6.3004,6.3957,28.71
8.96,0.002488888888888889,17:49:59,6.4273,6.7068,6.3106,6.3726,28.709
9.96,0.002766666666666667,17:50:00,6.4272,6.7079,6.2686,6.4466,28.707
10.96,0.0030444444444444447,17:50:01,6.4293,6.7036,6.284,6.43,28.71
11.96,0.0033222222222222225,17:50:02,6.4276,6.7046,6.2406,6.5412,28.714
12.96,0.0036000000000000003,17:50:03,6.4319,6.7025,6.252,6.5013,28.715
13.96,0.003877777777777778,17:50:04,6.428,6.7008,6.2958,6.4468,28.714
15.01,0.004169444444444444,17:50:05,6.4311,6.7016,6.2906,6.4519,28.71
15.97,0.004436111111111111,17:50:06,6.428,6.702,6.3129,6.4016,28.708
16.97,0.004713888888888889,17:50:07,6.4304,6.7068,6.3071,6.3783,28.708
17.96,0.004988888888888889,17:50:08,6.4255,6.7021,6.3276,6.3533,28.709
19.0,0.005277777777777778,17:50:09,6.4278,6.7081,6.3201,6.3791,28.711
19.96,0.005544444444444445,17:50:10,6.4256,6.7036,6.3159,6.3677,28.712
20.99,0.005830555555555555,17:50:11,6.4279,6.7074,6.3524,6.2888,28.709
21.96,0.0061,17:50:12,6.4237,6.7001,6.3228,6.3829,28.708
22.98,0.006383333333333334,17:50:13,6.4218,6.6999,6.3253,6.3893,28.709
23.96,0.006655555555555556,17:50:14,6.4199,6.6984,6.3103,6.3838,28.709
24.99,0.006941666666666666,17:50:15,6.4205,6.6954,6.3094,6.3321,28.712
26.07,0.007241666666666667,17:50:16,6.4231,6.6972,6.3117,6.3482,28.709
27.03,0.007508333333333334,17:50:17,6.4268,6.6971,6.326,6.35,28.707
27.96,0.0077666666666666665,17:50:18,6.4295,6.7007,6.3424,6.3139,28.705
28.96,0.008044444444444444,17:50:19,6.4275,6.7005,6.3356,6.3168,28.705
29.96,0.008322222222222222,17:50:20,6.4238,6.7017,6.3276,6.3142,28.707
30.96,0.0086,17:50:21,6.4222,6.7018,6.3122,6.3984,28.706
31.96,0.008877777777777778,17:50:22,6.4259,6.7019,6.3152,6.4016,28.707
32.96,0.009155555555555556,17:50:23,6.4259,6.7019,6.2967,6.4203,28.704
33.96,0.009433333333333334,17:50:24,6.4275,6.704,6.3006,6.3878,28.705
34.96,0.009711111111111111,17:50:25,6.4246,6.7033,6.2513,6.4084,28.704
35.96,0.00998888888888889,17:50:26,6.4287,6.7019,6.2542,6.424,28.705
36.96,0.010266666666666667,17:50:27,6.4285,6.7013,6.2559,6.4152,28.705
37.96,0.010544444444444445,17:50:28,6.4289,6.6995,6.2574,6.4535,28.704
38.96,0.010822222222222223,17:50:29,6.4283,6.7005,6.27,6.4427,28.704
39.96,0.0111,17:50:30,6.4245,6.7006,6.2739,6.4576,28.705
40.96,0.011377777777777778,17:50:31,6.4235,6.7052,6.2785,6.4209,28.709
41.96,0.011655555555555556,17:50:32,6.419,6.7038,6.2903,6.4287,28.709
42.96,0.011933333333333334,17:50:33,6.4215,6.7004,6.2833,6.4276,28.708
43.96,0.012211111111111112,17:50:34,6.4221,6.6959,6.3128,6.4069,28.708
44.96,0.01248888888888889,17:50:35,6.4237,6.6956,6.263,6.4465,28.708
