
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.811	1010	100.000	20.950	48.700	6.700	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.592	1008	100.000	20.950	52.500	20.678	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.855	1010	100.000	20.950	48.700	6.390	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.821	1010	100.000	20.950	48.700	6.660	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Data	Smoothing:	3	
Date:	8/29/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/29/2026	17:50:05	0.00		6.4105	6.4555	6.3548	6.3255	28.855	28.855	28.855	28.855	1009.98	55.882	28.855	---	---	6.639	20.423	6.374	6.664	38.493	384.619	34.032	42.186	0.707	7.584	0.718	0.680	
8/29/2026	17:50:07	1.39		6.4321	6.4541	6.3345	6.3178	28.855	28.855	28.855	28.855	1009.93	55.882	28.855	---	---	6.623	20.425	6.389	6.670	38.501	384.604	34.029	42.186	0.700	7.491	0.727	0.691	
8/29/2026	17:50:08	2.67		6.4309	6.4527	6.3251	6.3230	28.854	28.854	28.854	28.854	1009.95	55.882	28.854	---	---	6.624	20.428	6.396	6.666	38.505	384.607	34.026	42.194	0.696	7.464	0.725	0.679	
8/29/2026	17:50:09	3.84		6.4322	6.4531	6.3226	6.3216	28.852	28.852	28.852	28.852	1009.97	55.872	28.852	---	---	6.623	20.428	6.398	6.667	38.502	384.603	34.019	42.189	0.712	7.551	0.718	0.678	
8/29/2026	17:50:11	5.13		6.4317	6.4557	6.3362	6.3248	28.849	28.849	28.849	28.849	1010.03	55.861	28.849	---	---	6.624	20.424	6.388	6.665	38.501	384.604	34.017	42.192	0.719	7.532	0.714	0.678	
8/29/2026	17:50:12	6.35		6.4194	6.4546	6.3693	6.3222	28.851	28.851	28.851	28.851	1010.04	55.851	28.851	---	---	6.633	20.426	6.364	6.667	38.506	384.631	34.022	42.188	0.730	7.528	0.706	0.683	
8/29/2026	17:50:13	7.60		6.4116	6.4542	6.3669	6.3121	28.853	28.853	28.853	28.853	1010.02	55.851	28.853	---	---	6.639	20.426	6.365	6.675	38.505	384.619	34.020	42.181	0.722	7.512	0.695	0.679	
8/29/2026	17:50:14	8.76		6.3972	6.4532	6.3780	6.3049	28.856	28.856	28.856	28.856	1010.04	55.851	28.856	---	---	6.649	20.427	6.357	6.680	38.511	384.623	34.028	42.181	0.722	7.575	0.687	0.676	
8/29/2026	17:50:15	9.96		6.4112	6.4544	6.3528	6.2992	28.858	28.858	28.858	28.858	1010.02	55.851	28.858	---	---	6.638	20.424	6.375	6.684	38.505	384.600	34.024	42.176	0.722	7.569	0.696	0.673	
8/29/2026	17:50:17	11.17		6.4253	6.4525	6.3554	6.2782	28.859	28.859	28.859	28.859	1010.04	55.861	28.859	---	---	6.627	20.427	6.373	6.700	38.511	384.614	34.024	42.176	0.730	7.468	0.710	0.677	
8/29/2026	17:50:18	12.45		6.4158	6.4522	6.3475	6.3006	28.858	28.858	28.858	28.858	1009.97	55.872	28.858	---	---	6.635	20.428	6.379	6.683	38.508	384.611	34.016	42.164	0.722	7.484	0.724	0.687	
8/29/2026	17:50:19	13.69		6.4131	6.4508	6.3504	6.2881	28.857	28.857	28.857	28.857	1009.96	55.882	28.857	---	---	6.637	20.431	6.377	6.692	38.506	384.616	34.009	42.166	0.710	7.568	0.716	0.686	
8/29/2026	17:50:20	14.85		6.4133	6.4519	6.3367	6.3008	28.854	28.854	28.854	28.854	1009.93	55.882	28.854	---	---	6.637	20.430	6.387	6.683	38.512	384.615	34.012	42.171	0.707	7.577	0.711	0.686	
