seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.0,08:27:20,6.2342,6.2864,6.4101,6.2832,28.731
1.03,0.0002861111111111111,08:27:21,6.2318,6.2842,6.4107,6.287,28.735
2.0,0.0005555555555555556,08:27:22,6.2303,6.2839,6.4106,6.2862,28.736
3.0,0.0008333333333333334,08:27:23,6.2304,6.2831,6.4104,6.2783,28.738
4.0,0.0011111111111111111,08:27:24,6.2313,6.2842,6.4084,6.277,28.741
5.0,0.001388888888888889,08:27:25,6.2353,6.2837,6.4075,6.2785,28.738
6.0,0.0016666666666666668,08:27:26,6.2364,6.2847,6.4078,6.2897,28.737
7.0,0.0019444444444444444,08:27:27,6.2364,6.2849,6.4082,6.2921,28.734
8.0,0.0022222222222222222,08:27:28,6.2374,6.2835,6.4099,6.2852,28.738
9.0,0.0025,08:27:29,6.2335,6.2844,6.4091,6.2825,28.736
10.0,0.002777777777777778,08:27:30,6.234,6.2822,6.4085,6.2804,28.735
11.0,0.0030555555555555557,08:27:31,6.2322,6.2825,6.4067,6.2897,28.733
12.0,0.0033333333333333335,08:27:32,6.2341,6.2828,6.4066,6.2867,28.736
13.0,0.003611111111111111,08:27:33,6.2334,6.2857,6.4084,6.2911,28.734
14.0,0.0038888888888888888,08:27:34,6.2345,6.2841,6.4092,6.2917,28.733
15.0,0.004166666666666667,08:27:35,6.2359,6.2843,6.4091,6.2886,28.731
16.0,0.0044444444444444444,08:27:36,6.2343,6.2832,6.4107,6.2814,28.729
17.0,0.004722222222222222,08:27:37,6.2324,6.2849,6.4122,6.2803,28.728
18.0,0.005,08:27:38,6.2313,6.2831,6.4126,6.2832,28.731
19.0,0.005277777777777778,08:27:39,6.232,6.2832,6.4118,6.2888,28.732
20.0,0.005555555555555556,08:27:40,6.2338,6.2836,6.4095,6.2828,28.735
21.0,0.005833333333333334,08:27:41,6.2335,6.2834,6.4115,6.2802,28.734
