seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.0,17:14:57,6.2184,6.2715,6.344,6.2815,28.773
1.0,0.0002777777777777778,17:14:58,6.2186,6.2703,6.3443,6.2791,28.773
2.0,0.0005555555555555556,17:14:59,6.2193,6.2701,6.344,6.2811,28.771
3.0,0.0008333333333333334,17:15:00,6.2188,6.2692,6.3437,6.2836,28.77
4.0,0.0011111111111111111,17:15:01,6.2189,6.2685,6.3442,6.283,28.771
5.0,0.001388888888888889,17:15:02,6.2177,6.2683,6.3427,6.281,28.772
6.0,0.0016666666666666668,17:15:03,6.2154,6.2666,6.3418,6.2791,28.774
7.0,0.0019444444444444444,17:15:04,6.2153,6.2686,6.3407,6.2817,28.773
8.0,0.0022222222222222222,17:15:05,6.2178,6.2689,6.3435,6.2808,28.769
9.0,0.0025,17:15:06,6.2218,6.2695,6.342,6.2831,28.767
10.0,0.002777777777777778,17:15:07,6.2222,6.2724,6.3415,6.281,28.767
11.0,0.0030555555555555557,17:15:08,6.2223,6.2713,6.3405,6.2815,28.772
12.0,0.0033333333333333335,17:15:09,6.2212,6.2693,6.3435,6.278,28.772
13.0,0.003611111111111111,17:15:10,6.2214,6.267,6.3441,6.2802,28.772
14.0,0.0038888888888888888,17:15:11,6.2201,6.2669,6.3439,6.2799,28.773
15.0,0.004166666666666667,17:15:12,6.2206,6.2713,6.3442,6.2813,28.771
16.0,0.0044444444444444444,17:15:13,6.2186,6.2712,6.3441,6.2798,28.772
17.0,0.004722222222222222,17:15:14,6.2205,6.2716,6.343,6.2793,28.77
18.0,0.005,17:15:15,6.2214,6.2697,6.3415,6.2819,28.77
19.0,0.005277777777777778,17:15:16,6.2239,6.2699,6.3424,6.2814,28.767
20.0,0.005555555555555556,17:15:17,6.2225,6.2728,6.3412,6.2818,28.771
21.0,0.005833333333333334,17:15:18,6.2206,6.273,6.3423,6.2787,28.774
22.0,0.006111111111111111,17:15:19,6.2193,6.2739,6.3425,6.2766,28.779
23.0,0.006388888888888889,17:15:20,6.2207,6.2716,6.3428,6.2759,28.775
24.0,0.006666666666666667,17:15:21,6.2212,6.2706,6.3435,6.277,28.774
25.0,0.006944444444444444,17:15:22,6.2213,6.2673,6.3433,6.279,28.771
26.0,0.007222222222222222,17:15:23,6.2204,6.2684,6.3446,6.2799,28.77
27.0,0.0075,17:15:24,6.2188,6.2693,6.3435,6.2791,28.769
28.0,0.0077777777777777776,17:15:25,6.2182,6.2716,6.3435,6.281,28.772
