
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.951	1013	100.000	20.950	52.500	20.700	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.953	1013	100.000	20.950	52.500	20.695	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.951	1013	100.000	20.950	52.500	21.350	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/24/2026	
			 		Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/24/2026	17:15:29	0.00		---	6.3729	6.4188	6.4442	---	28.611	28.611	28.611	1008.69	51.353	28.611	---	---	---	20.735	20.651	21.261	---	136.841	221.911	79.901	---	7.449	7.320	11.438	
8/24/2026	17:15:30	1.00		---	6.3726	6.4217	6.4433	---	28.612	28.612	28.612	1008.69	51.373	28.612	---	---	---	20.736	20.646	21.262	---	136.827	221.899	79.931	---	7.441	7.351	11.467	
8/24/2026	17:15:31	2.00		---	6.3725	6.4207	6.4451	---	28.614	28.614	28.614	1008.71	51.353	28.614	---	---	---	20.735	20.647	21.258	---	136.831	221.894	79.935	---	7.447	7.366	11.392	
8/24/2026	17:15:32	3.00		---	6.3785	6.4213	6.4401	---	28.615	28.615	28.615	1008.73	51.353	28.615	---	---	---	20.725	20.646	21.267	---	136.834	221.892	79.929	---	7.463	7.356	11.377	
8/24/2026	17:15:33	4.00		---	6.3803	6.4213	6.4454	---	28.613	28.613	28.613	1008.74	51.353	28.613	---	---	---	20.722	20.646	21.258	---	136.837	221.901	79.909	---	7.531	7.358	11.359	
8/24/2026	17:15:34	5.00		---	6.3774	6.4215	6.4436	---	28.613	28.613	28.613	1008.73	51.353	28.613	---	---	---	20.727	20.646	21.262	---	136.849	221.879	79.887	---	7.558	7.383	11.430	
8/24/2026	17:15:35	6.00		---	6.3713	6.4197	6.4488	---	28.612	28.612	28.612	1008.74	51.353	28.612	---	---	---	20.738	20.649	21.253	---	136.813	221.894	79.906	---	7.518	7.402	11.453	
8/24/2026	17:15:36	7.00		---	6.3703	6.4162	6.4462	---	28.613	28.613	28.613	1008.72	51.353	28.613	---	---	---	20.739	20.655	21.257	---	136.789	221.889	79.912	---	7.461	7.376	11.494	
8/24/2026	17:15:37	8.00		---	6.3737	6.4136	6.4507	---	28.614	28.614	28.614	1008.74	51.373	28.614	---	---	---	20.733	20.659	21.249	---	136.780	221.900	79.936	---	7.453	7.363	11.459	
8/24/2026	17:15:38	9.00		---	6.3767	6.4160	6.4462	---	28.616	28.616	28.616	1008.72	51.373	28.616	---	---	---	20.727	20.654	21.256	---	136.813	221.877	79.934	---	7.457	7.311	11.434	
8/24/2026	17:15:39	10.00		---	6.3793	6.4131	6.4456	---	28.615	28.615	28.615	1008.72	51.373	28.615	---	---	---	20.723	20.660	21.258	---	136.826	221.895	79.902	---	7.498	7.324	11.363	
8/24/2026	17:15:40	11.00		---	6.3803	6.4160	6.4390	---	28.613	28.613	28.613	1008.70	51.373	28.613	---	---	---	20.722	20.655	21.270	---	136.832	221.914	79.878	---	7.519	7.306	11.348	
8/24/2026	17:15:41	12.00		---	6.3787	6.4138	6.4417	---	28.612	28.612	28.612	1008.71	51.373	28.612	---	---	---	20.725	20.659	21.265	---	136.822	221.936	79.865	---	7.560	7.382	11.401	
8/24/2026	17:15:42	13.00		---	6.3738	6.4203	6.4462	---	28.611	28.611	28.611	1008.75	51.373	28.611	---	---	---	20.734	20.648	21.258	---	136.830	221.924	79.884	---	7.511	7.400	11.370	
8/24/2026	17:15:43	14.00		---	6.3691	6.4167	6.4485	---	28.614	28.614	28.614	1008.72	51.383	28.614	---	---	---	20.741	20.654	21.253	---	136.813	221.917	79.904	---	7.483	7.428	11.409	
8/24/2026	17:15:44	15.00		---	6.3715	6.4184	6.4496	---	28.616	28.616	28.616	1008.71	51.393	28.616	---	---	---	20.736	20.650	21.250	---	136.822	221.900	79.911	---	7.453	7.380	11.355	
8/24/2026	17:15:45	16.00		---	6.3783	6.4145	6.4492	---	28.619	28.619	28.619	1008.69	51.403	28.619	---	---	---	20.724	20.656	21.250	---	136.810	221.899	79.898	---	7.513	7.395	11.430	
8/24/2026	17:15:46	17.00		---	6.3789	6.4148	6.4516	---	28.618	28.618	28.618	1008.73	51.403	28.618	---	---	---	20.723	20.656	21.246	---	136.804	221.893	79.893	---	7.503	7.365	11.339	
8/24/2026	17:15:47	18.00		---	6.3733	6.4140	6.4432	---	28.617	28.617	28.617	1008.72	51.403	28.617	---	---	---	20.733	20.658	21.261	---	136.794	221.906	79.878	---	7.528	7.417	11.421	
8/24/2026	17:15:48	19.00		---	6.3714	6.4144	6.4370	---	28.617	28.617	28.617	1008.69	51.403	28.617	---	---	---	20.736	20.657	21.272	---	136.793	221.898	79.887	---	7.509	7.385	11.402	
8/24/2026	17:15:49	20.00		---	6.3730	6.4158	6.4317	---	28.618	28.618	28.618	1008.68	51.403	28.618	---	---	---	20.733	20.654	21.281	---	136.802	221.906	79.885	---	7.535	7.397	11.446	
8/24/2026	17:15:50	21.00		---	6.3807	6.4172	6.4352	---	28.618	28.618	28.618	1008.66	51.403	28.618	---	---	---	20.720	20.652	21.275	---	136.800	221.888	79.897	---	7.499	7.356	11.347	
8/24/2026	17:15:51	22.00		---	6.3767	6.4158	6.4375	---	28.618	28.618	28.618	1008.68	51.403	28.618	---	---	---	20.727	20.654	21.271	---	136.806	221.891	79.890	---	7.498	7.357	11.366	
8/24/2026	17:15:52	23.00		---	6.3740	6.4154	6.4506	---	28.615	28.615	28.615	1008.69	51.403	28.615	---	---	---	20.732	20.656	21.249	---	136.814	221.891	79.885	---	7.491	7.343	11.376	
8/24/2026	17:15:53	24.00		---	6.3718	6.4138	6.4551	---	28.615	28.615	28.615	1008.72	51.403	28.615	---	---	---	20.736	20.658	21.241	---	136.816	221.904	79.871	---	7.552	7.354	11.437	
8/24/2026	17:15:54	25.00		---	6.3756	6.4169	6.4531	---	28.612	28.612	28.612	1008.73	51.403	28.612	---	---	---	20.730	20.654	21.246	---	136.824	221.916	79.885	---	7.583	7.399	11.426	
8/24/2026	17:15:55	26.00		---	6.3796	6.4188	6.4476	---	28.611	28.611	28.611	1008.72	51.403	28.611	---	---	---	20.724	20.651	21.255	---	136.814	221.912	79.887	---	7.544	7.426	11.466	
