seconds,hours,Ch1,Ch2,Ch4,Temp
0,0,201.37,201.02,201.4,26.682
5,0.001388889,201.37,200.98,201.6,26.681
10,0.002777778,201.34,201.31,201.59,26.683
15,0.004166667,200.76,202.14,201.68,26.683
20,0.005555556,200.81,201.98,201.51,26.683
25,0.006944444,201.58,201.53,201.58,26.68
30,0.008333333,202.15,201.21,201.58,26.681
35,0.009722222,202.65,201.4,201.52,26.683
40,0.011111111,201.77,201.85,201.47,26.685
45,0.0125,201.79,201.64,201.74,26.684
50,0.013888889,202,201.43,201.86,26.683
55,0.015277778,202.6,201.63,201.77,26.681
60,0.016666667,201.99,201.41,201.54,26.682
65,0.018055556,201.9,201.17,201.42,26.682
70,0.019444444,201.96,200.97,201.59,26.681
75,0.020833333,202.08,201.29,201.74,26.68
80,0.022222222,201.99,200.98,201.88,26.68
85,0.023611111,201.2,200.62,201.82,26.681
90,0.025,201.7,200.66,201.76,26.679
95,0.026388889,201.15,201.14,201.66,26.679
100,0.027777778,201.43,201.44,201.6,26.681
105,0.029166667,201.23,200.89,201.44,26.685
110,0.030555556,201.64,200.44,201.37,26.686
115,0.031944444,201.68,200.09,201.55,26.684
120,0.033333333,201.78,200.09,201.66,26.685
125,0.034722222,201.85,200.24,201.63,26.684
130,0.036111111,202.34,200.21,201.38,26.687
135,0.0375,202.36,200.51,201.18,26.684
140,0.038888889,201.96,200.7,201.14,26.684
145,0.040277778,201.58,200.59,201.11,26.684
150,0.041666667,200.86,200.73,201.11,26.686
155,0.043055556,200.37,200.41,201.31,26.685
160,0.044444444,200.59,200.35,201.24,26.685
165,0.045833333,200.57,200.35,201.39,26.683
170,0.047222222,201.36,200.72,201.17,26.685
175,0.048611111,200.84,200.95,201.17,26.687
180,0.05,201.41,200.84,201.09,26.69
185,0.051388889,201.43,200.45,201.03,26.691
190,0.052777778,201.29,200.37,201.16,26.69
195,0.054166667,200.95,200.37,201.2,26.69
200,0.055555556,201.04,200.56,201.27,26.69
205,0.056944444,201.17,200.44,201.25,26.691
210,0.058333333,201.19,200.36,201.1,26.69
215,0.059722222,201.16,199.95,201.16,26.689
220,0.061111111,201.04,200.38,200.99,26.686
225,0.0625,201.39,200.01,201.09,26.687
230,0.063888889,201.58,200.41,201.03,26.687
235,0.065277778,202.25,200,201.06,26.689
240,0.066666667,202.19,200.19,200.93,26.688
245,0.068055556,201.47,200.05,200.95,26.687
250,0.069444444,200.76,199.81,200.9,26.686
255,0.070833333,200.18,199.8,201.12,26.685
260,0.072222222,200.07,199.96,201.02,26.685
265,0.073611111,200.47,200.55,201.09,26.686
270,0.075,200.45,200.57,201.08,26.687
275,0.076388889,200.28,200.43,201.02,26.689
280,0.077777778,199.86,200.17,201.11,26.689
285,0.079166667,200.41,199.95,200.85,26.69
290,0.080555556,200.62,199.78,200.98,26.687
295,0.081944444,201.29,199.87,200.9,26.686
300,0.083333333,201.32,200.11,201.1,26.689
305,0.084722222,201.19,200.11,200.95,26.69
310,0.086111111,200.72,200,200.89,26.688
315,0.0875,200.93,200.01,200.68,26.686
320,0.088888889,201.04,200.11,200.84,26.688
325,0.090277778,200.99,200.25,200.81,26.691
330,0.091666667,200.23,200.09,200.95,26.691
335,0.093055556,200.85,199.89,200.87,26.691
340,0.094444444,200.85,199.37,200.83,26.69
345,0.095833333,200.82,199.47,200.59,26.69
350,0.097222222,200.73,199.55,200.41,26.69
355,0.098611111,201.14,199.77,200.4,26.691
360,0.1,200.98,199.74,200.52,26.692
365,0.101388889,201.04,199.78,200.61,26.695
370,0.102777778,200.6,199.77,200.68,26.699
375,0.104166667,200.68,199.76,200.57,26.701
380,0.105555556,200.04,199.53,200.36,26.701
385,0.106944444,200.51,199.39,200.18,26.701
390,0.108333333,200.62,199.35,200.37,26.7
395,0.109722222,200.95,199.6,200.58,26.7
400,0.111111111,200.34,199.8,200.85,26.698
405,0.1125,200.16,199.56,200.73,26.696
410,0.113888889,200.1,199.86,200.66,26.693
415,0.115277778,200.14,199.47,200.46,26.692
420,0.116666667,200.88,199.43,200.31,26.692
425,0.118055556,201.01,198.94,200.28,26.691
430,0.119444444,201.09,199.19,200.28,26.692
435,0.120833333,201,199.27,200.17,26.692
440,0.122222222,200.3,199.48,200.1,26.693
445,0.123611111,200.07,199.64,200.16,26.692
450,0.125,199.53,199.92,200.02,26.693
455,0.126388889,200.31,199.72,199.87,26.694
460,0.127777778,201.22,199.87,199.81,26.696
465,0.129166667,201.08,199.61,199.97,26.696
470,0.130555556,200.54,199.73,200.11,26.697
475,0.131944444,199.71,199.62,199.92,26.696
480,0.133333333,200.55,199.5,200,26.696
485,0.134722222,200.54,199.34,200.13,26.696
490,0.136111111,200.66,199.28,200.32,26.695
