sconds,hours,Ch1,Ch3,Ch4,Temp
0,0,193.11,192.2,193.85,26.988
5,0.001388889,193.16,192.19,193.85,26.99
10,0.002777778,193.22,192.19,193.84,26.991
15,0.004166667,193.25,192.18,193.79,26.996
20,0.005555556,193.3,192.17,193.78,26.996
25,0.006944444,193.35,192.16,193.74,26.997
30,0.008333333,193.37,192.13,193.77,26.999
35,0.009722222,193.41,192.12,193.79,27
40,0.011111111,193.42,192.1,193.8,27.002
45,0.0125,193.47,192.12,193.75,27.001
50,0.013888889,193.5,192.12,193.75,27.002
55,0.015277778,193.56,192.11,193.75,27.001
60,0.016666667,193.6,192.1,193.77,27.001
65,0.018055556,193.63,192.12,193.78,26.998
70,0.019444444,193.66,192.14,193.8,26.996
75,0.020833333,193.67,192.16,193.81,26.994
80,0.022222222,193.73,192.17,193.83,26.993
85,0.023611111,193.74,192.16,193.87,26.99
90,0.025,193.8,192.15,193.89,26.989
95,0.026388889,193.82,192.16,193.9,26.987
100,0.027777778,193.87,192.18,193.89,26.985
105,0.029166667,193.9,192.19,193.89,26.985
110,0.030555556,193.96,192.21,193.88,26.984
115,0.031944444,193.98,192.17,193.92,26.985
120,0.033333333,193.98,192.18,193.93,26.985
125,0.034722222,193.99,192.16,193.93,26.986
130,0.036111111,194.04,192.17,193.93,26.983
135,0.0375,194.06,192.18,193.92,26.985
140,0.038888889,194.09,192.17,193.95,26.985
145,0.040277778,194.1,192.16,193.95,26.988
150,0.041666667,194.12,192.15,193.96,26.987
155,0.043055556,194.14,192.15,193.93,26.986
160,0.044444444,194.15,192.16,193.94,26.987
165,0.045833333,194.21,192.16,193.94,26.988
170,0.047222222,194.21,192.18,193.97,26.985
175,0.048611111,194.27,192.19,193.95,26.98
180,0.05,194.28,192.22,193.96,26.975
185,0.051388889,194.34,192.22,193.98,26.971
190,0.052777778,194.38,192.25,194.02,26.968
195,0.054166667,194.42,192.26,194.05,26.966
200,0.055555556,194.42,192.27,194.04,26.966
205,0.056944444,194.42,192.25,194.06,26.966
210,0.058333333,194.46,192.25,194.07,26.966
215,0.059722222,194.53,192.27,194.08,26.963
220,0.061111111,194.55,192.29,194.05,26.961
225,0.0625,194.57,192.32,194.02,26.961
230,0.063888889,194.55,192.29,194.02,26.965
235,0.065277778,194.58,192.3,194.01,26.965
240,0.066666667,194.59,192.29,194,26.963
245,0.068055556,194.59,192.3,193.97,26.963
250,0.069444444,194.6,192.26,193.97,26.964
255,0.070833333,194.6,192.25,193.95,26.967
260,0.072222222,194.6,192.24,193.98,26.968
265,0.073611111,194.59,192.22,193.95,26.971
270,0.075,194.61,192.22,193.97,26.972
275,0.076388889,194.58,192.2,193.95,26.974
280,0.077777778,194.53,192.21,193.97,26.974
285,0.079166667,194.52,192.17,193.95,26.978
290,0.080555556,194.56,192.15,193.96,26.978
295,0.081944444,194.6,192.13,193.96,26.977
300,0.083333333,194.58,192.15,193.96,26.976
305,0.084722222,194.55,192.15,193.9,26.975
310,0.086111111,194.54,192.16,193.88,26.973
315,0.0875,194.54,192.15,193.89,26.972
320,0.088888889,194.6,192.16,193.91,26.97
325,0.090277778,194.64,192.15,193.94,26.97
330,0.091666667,194.67,192.17,193.91,26.967
335,0.093055556,194.66,192.17,193.91,26.966
340,0.094444444,194.65,192.19,193.87,26.966
345,0.095833333,194.64,192.19,193.89,26.965
350,0.097222222,194.67,192.24,193.91,26.959
355,0.098611111,194.7,192.25,193.95,26.954
360,0.1,194.76,192.24,193.96,26.952
365,0.101388889,194.71,192.24,193.98,26.953
370,0.102777778,194.7,192.23,193.96,26.954
375,0.104166667,194.66,192.23,193.96,26.954
380,0.105555556,194.68,192.2,193.94,26.955
385,0.106944444,194.67,192.19,193.95,26.953
390,0.108333333,194.71,192.2,193.97,26.953
395,0.109722222,194.75,192.2,193.98,26.951
400,0.111111111,194.74,192.22,193.97,26.952
405,0.1125,194.73,192.21,193.95,26.953
410,0.113888889,194.72,192.18,193.92,26.955
415,0.115277778,194.74,192.13,193.92,26.957
420,0.116666667,194.71,192.1,193.93,26.957
425,0.118055556,194.67,192.09,193.92,26.961
430,0.119444444,194.63,192.08,193.9,26.965
435,0.120833333,194.66,192.06,193.87,26.967
440,0.122222222,194.65,192.05,193.86,26.97
445,0.123611111,194.69,192.06,193.87,26.968
450,0.125,194.66,192.05,193.86,26.969
455,0.126388889,194.66,192.03,193.88,26.969
460,0.127777778,194.68,192.04,193.89,26.97
465,0.129166667,194.66,192.03,193.91,26.968
470,0.130555556,194.67,192.05,193.92,26.965
475,0.131944444,194.64,192.03,193.93,26.965
480,0.133333333,194.68,192.04,193.94,26.965
485,0.134722222,194.69,192.04,193.92,26.964
490,0.136111111,194.69,192.05,193.9,26.964
495,0.1375,194.69,192.07,193.89,26.963
500,0.138888889,194.69,192.07,193.92,26.963
505,0.140277778,194.67,192.08,193.92,26.961
510,0.141666667,194.65,192.06,193.92,26.957
515,0.143055556,194.66,192.08,193.95,26.953
520,0.144444444,194.71,192.07,193.96,26.951
525,0.145833333,194.74,192.1,193.99,26.948
530,0.147222222,194.74,192.07,193.96,26.951
535,0.148611111,194.72,192.1,193.98,26.949
540,0.15,194.73,192.08,193.97,26.951
545,0.151388889,194.72,192.1,193.98,26.949
550,0.152777778,194.67,192.07,193.96,26.949
555,0.154166667,194.67,192.07,193.95,26.949
560,0.155555556,194.69,192.06,193.94,26.95
565,0.156944444,194.73,192.06,193.95,26.95
570,0.158333333,194.73,192.07,193.97,26.95
575,0.159722222,194.76,192.05,193.96,26.95
580,0.161111111,194.72,192.02,193.95,26.953
585,0.1625,194.74,192.02,193.97,26.95
590,0.163888889,194.76,192.02,193.98,26.946
595,0.165277778,194.78,192.05,193.98,26.946
600,0.166666667,194.75,192.04,193.96,26.948
605,0.168055556,194.71,192.02,193.96,26.954
610,0.169444444,194.69,192.01,193.95,26.955
615,0.170833333,194.68,191.99,193.94,26.959
620,0.172222222,194.67,191.97,193.94,26.96
625,0.173611111,194.68,191.95,193.96,26.961
630,0.175,194.7,191.96,193.97,26.958
635,0.176388889,194.7,191.99,193.98,26.956
640,0.177777778,194.72,191.98,193.97,26.952
645,0.179166667,194.72,191.97,193.99,26.952
650,0.180555556,194.69,191.96,194,26.952
655,0.181944444,194.66,191.96,194.01,26.953
660,0.183333333,194.68,191.97,194.02,26.954
665,0.184722222,194.71,191.94,193.99,26.954
670,0.186111111,194.74,191.94,193.98,26.956
675,0.1875,194.7,191.91,193.96,26.955
680,0.188888889,194.7,191.9,193.97,26.957
685,0.190277778,194.67,191.89,193.96,26.955
690,0.191666667,194.71,191.9,193.97,26.953
695,0.193055556,194.68,191.88,193.97,26.953
700,0.194444444,194.67,191.87,193.99,26.954
705,0.195833333,194.64,191.86,193.97,26.957
710,0.197222222,194.65,191.87,193.99,26.956
715,0.198611111,194.66,191.87,193.98,26.955
720,0.2,194.67,191.84,193.97,26.955
725,0.201388889,194.7,191.84,193.96,26.953
730,0.202777778,194.7,191.8,193.97,26.953
735,0.204166667,194.74,191.82,193.98,26.948
740,0.205555556,194.76,191.81,194,26.945
745,0.206944444,194.76,191.83,194.01,26.942
750,0.208333333,194.78,191.82,194.02,26.941
755,0.209722222,194.78,191.81,194.03,26.941
760,0.211111111,194.8,191.8,194.06,26.938
765,0.2125,194.79,191.8,194.07,26.937
770,0.213888889,194.83,191.81,194.09,26.935
775,0.215277778,194.82,191.8,194.06,26.936
780,0.216666667,194.85,191.78,194.07,26.935
785,0.218055556,194.87,191.74,194.06,26.934
790,0.219444444,194.89,191.73,194.09,26.931
795,0.220833333,194.91,191.72,194.09,26.931
800,0.222222222,194.89,191.7,194.07,26.933
805,0.223611111,194.88,191.67,194.07,26.936
810,0.225,194.85,191.62,194.09,26.937
815,0.226388889,194.83,191.6,194.09,26.937
820,0.227777778,194.86,191.58,194.06,26.937
825,0.229166667,194.84,191.58,194.04,26.938
830,0.230555556,194.85,191.57,194.03,26.938
835,0.231944444,194.8,191.54,194.03,26.94
840,0.233333333,194.82,191.5,194,26.942
845,0.234722222,194.82,191.46,193.99,26.947
850,0.236111111,194.83,191.43,193.97,26.951
855,0.2375,194.79,191.39,193.97,26.955
860,0.238888889,194.75,191.4,193.95,26.955
