seconds,hours,Ch2,Ch3,Ch4,Temp
0,0,168.6,171.65,190.81,26.577
2.3,0.000638889,168.64,171.66,190.82,26.568
4.6,0.001277778,168.65,171.68,190.82,26.562
7.01,0.001947222,168.63,171.64,190.79,26.564
9.47,0.002630556,168.68,171.7,190.88,26.543
11.91,0.003308333,168.74,171.75,190.93,26.525
14.35,0.003986111,168.75,171.8,190.97,26.51
16.78,0.004661111,168.75,171.76,190.97,26.508
19.26,0.00535,168.73,171.72,190.98,26.504
21.79,0.006052778,168.76,171.74,191,26.498
24.28,0.006744444,168.75,171.75,190.98,26.495
26.8,0.007444444,168.78,171.79,191,26.489
29.34,0.00815,168.75,171.78,190.98,26.487
31.86,0.00885,168.76,171.8,190.99,26.483
34.36,0.009544444,168.74,171.78,190.96,26.482
36.88,0.010244444,168.72,171.77,190.93,26.482
39.39,0.010941667,168.7,171.74,190.92,26.48
41.93,0.011647222,168.69,171.72,190.94,26.478
44.45,0.012347222,168.71,171.7,190.96,26.474
46.97,0.013047222,168.71,171.72,190.96,26.471
49.5,0.01375,168.71,171.74,190.94,26.467
52.05,0.014458333,168.72,171.77,190.94,26.464
54.61,0.015169444,168.72,171.75,190.93,26.461
57.13,0.015869444,168.71,171.74,190.96,26.462
59.64,0.016566667,168.7,171.72,190.94,26.462
62.16,0.017266667,168.69,171.68,190.92,26.465
64.68,0.017966667,168.69,171.66,190.88,26.462
67.21,0.018669444,168.68,171.64,190.88,26.462
69.72,0.019366667,168.68,171.66,190.87,26.46
72.25,0.020069444,168.68,171.69,190.88,26.459
74.79,0.020775,168.68,171.67,190.86,26.458
77.32,0.021477778,168.66,171.68,190.85,26.455
79.84,0.022177778,168.64,171.67,190.84,26.455
82.37,0.022880556,168.64,171.7,190.84,26.452
84.89,0.023580556,168.64,171.67,190.84,26.454
87.42,0.024283333,168.64,171.66,190.83,26.453
89.94,0.024983333,168.63,171.64,190.83,26.452
92.45,0.025680556,168.64,171.64,190.83,26.449
94.96,0.026377778,168.63,171.62,190.83,26.448
97.48,0.027077778,168.64,171.61,190.84,26.448
100.02,0.027783333,168.64,171.6,190.83,26.448
