seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0,0,176.13,189.93,103.1,129.16,26.645
5,0.001388889,176.06,189.88,103.43,129.28,26.649
10,0.002777778,176.02,189.81,103.76,129.44,26.652
15,0.004166667,175.99,189.77,104.11,129.61,26.651
20,0.005555556,175.97,189.73,104.47,129.79,26.649
25,0.006944444,175.94,189.7,104.86,129.97,26.646
30,0.008333333,175.92,189.67,105.25,130.15,26.643
35,0.009722222,175.9,189.66,105.65,130.33,26.641
40,0.011111111,175.89,189.65,106.03,130.52,26.636
45,0.0125,175.89,189.63,106.42,130.71,26.633
50,0.013888889,175.87,189.58,106.79,130.89,26.631
55,0.015277778,175.82,189.57,107.16,131.08,26.632
60,0.016666667,175.77,189.56,107.55,131.28,26.633
65,0.018055556,175.73,189.49,107.92,131.46,26.638
70,0.019444444,175.72,189.46,108.3,131.64,26.64
75,0.020833333,175.71,189.42,108.66,131.82,26.644
80,0.022222222,175.7,189.42,109.03,132.01,26.646
85,0.023611111,175.66,189.38,109.39,132.19,26.65
90,0.025,175.63,189.36,109.78,132.37,26.654
95,0.026388889,175.6,189.34,110.16,132.56,26.653
100,0.027777778,175.59,189.3,110.52,132.74,26.653
105,0.029166667,175.58,189.26,110.9,132.92,26.65
110,0.030555556,175.59,189.26,111.28,133.08,26.648
115,0.031944444,175.6,189.26,111.66,133.26,26.643
120,0.033333333,175.62,189.27,112.03,133.42,26.64
125,0.034722222,175.6,189.26,112.38,133.59,26.638
130,0.036111111,175.6,189.26,112.77,133.73,26.636
135,0.0375,175.6,189.23,113.15,133.88,26.636
140,0.038888889,175.6,189.2,113.53,134.03,26.635
145,0.040277778,175.59,189.18,113.87,134.17,26.637
150,0.041666667,175.6,189.16,114.21,134.33,26.639
155,0.043055556,175.56,189.13,114.55,134.48,26.643
160,0.044444444,175.52,189.09,114.89,134.62,26.646
165,0.045833333,175.49,189.08,115.24,134.78,26.647
170,0.047222222,175.49,189.06,115.59,134.94,26.646
175,0.048611111,175.51,189.05,115.92,135.1,26.646
180,0.05,175.5,189.01,116.24,135.23,26.65
185,0.051388889,175.47,188.96,116.56,135.34,26.656
190,0.052777778,175.44,188.91,116.88,135.47,26.662
195,0.054166667,175.41,188.86,117.17,135.63,26.668
200,0.055555556,175.38,188.85,117.47,135.8,26.671
205,0.056944444,175.39,188.83,117.78,135.99,26.671
210,0.058333333,175.38,188.83,118.09,136.14,26.671
215,0.059722222,175.38,188.8,118.41,136.31,26.669
220,0.061111111,175.35,188.78,118.72,136.47,26.671
225,0.0625,175.33,188.76,119.05,136.64,26.672
230,0.063888889,175.35,188.75,119.36,136.8,26.673
235,0.065277778,175.35,188.75,119.7,136.97,26.672
240,0.066666667,175.37,188.74,120.01,137.14,26.669
245,0.068055556,175.37,188.71,120.32,137.3,26.668
250,0.069444444,175.35,188.68,120.63,137.45,26.669
255,0.070833333,175.34,188.65,120.93,137.62,26.67
260,0.072222222,175.36,188.67,121.25,137.81,26.669
265,0.073611111,175.38,188.68,121.57,137.99,26.668
270,0.075,175.38,188.69,121.89,138.18,26.665
275,0.076388889,175.35,188.66,122.19,138.37,26.663
280,0.077777778,175.37,188.64,122.5,138.56,26.661
285,0.079166667,175.35,188.62,122.83,138.71,26.66
290,0.080555556,175.37,188.63,123.13,138.85,26.659
295,0.081944444,175.35,188.6,123.42,138.98,26.658
300,0.083333333,175.35,188.57,123.7,139.12,26.661
305,0.084722222,175.34,188.54,124.01,139.25,26.661
310,0.086111111,175.34,188.52,124.32,139.38,26.662
315,0.0875,175.35,188.53,124.62,139.5,26.658
320,0.088888889,175.35,188.53,124.9,139.62,26.657
325,0.090277778,175.36,188.54,125.16,139.75,26.655
330,0.091666667,175.34,188.52,125.39,139.86,26.656
