seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
1.031,0.000286389,211.952,204.595,204.34,206.437,26.162
6.031,0.001675278,212.047,204.82,204.37,206.332,26.161
11.031,0.003064167,212.05,204.614,204.246,205.726,26.163
16.029,0.0044525,212.126,204.554,204.318,205.459,26.161
21.03,0.005841667,212.018,204.616,204.178,205.005,26.159
25.959,0.007210833,212.165,204.478,204.318,204.747,26.161
30.96,0.0086,211.887,204.357,204.052,204.339,26.165
35.958,0.009988333,212.083,204.494,203.937,203.849,26.159
41.035,0.011398611,212.307,204.273,204.189,203.634,26.162
46.104,0.012806667,212.025,204.514,204.095,203.301,26.165
51.103,0.014195278,211.973,204.327,203.959,203.138,26.162
56.105,0.015584722,212.137,204.205,203.989,202.71,26.161
61.109,0.016974722,211.846,204.475,203.975,202.408,26.157
66.104,0.018362222,212.047,204.327,203.94,202.055,26.16
71.104,0.019751111,211.999,204.224,203.937,201.789,26.158
76.183,0.021161944,211.943,204.17,203.973,201.287,26.159
81.104,0.022528889,211.954,204.199,203.927,201.353,26.159
86.18,0.023938889,211.909,204.124,203.832,201.148,26.159
91.181,0.025328056,211.934,204.1,203.795,200.533,26.16
96.182,0.026717222,211.878,204.014,203.741,200.48,26.162
101.183,0.028106389,211.923,204.076,203.841,200.17,26.164
106.185,0.029495833,211.937,204.108,203.704,199.923,26.164
111.18,0.030883333,212.03,203.952,203.623,199.955,26.164
116.182,0.032272778,211.76,203.862,203.614,199.627,26.162
121.186,0.033662778,211.988,203.967,203.582,199.286,26.161
126.186,0.035051667,211.712,203.892,203.582,199.194,26.159
131.182,0.036439444,211.954,203.878,203.644,199.107,26.161
136.182,0.037828333,211.728,204.062,203.582,198.789,26.159
141.185,0.039218056,211.742,203.846,203.498,198.688,26.162
146.183,0.040606389,211.841,203.808,203.63,198.468,26.16
151.112,0.041975556,211.776,203.902,203.625,198.394,26.158
156.186,0.043385,211.697,203.84,203.493,198.169,26.16
161.183,0.044773056,211.877,203.81,203.538,198.158,26.157
166.187,0.046163056,211.595,203.762,203.509,198.056,26.156
171.189,0.0475525,211.57,203.926,203.56,197.904,26.159
176.189,0.048941389,211.599,203.959,203.644,197.698,26.159
181.187,0.050329722,211.9,203.714,203.536,197.552,26.158
186.113,0.051698056,211.751,203.741,203.639,197.474,26.159
191.114,0.053087222,211.447,203.582,203.592,197.374,26.159
196.117,0.054476944,211.751,203.83,203.525,197.19,26.162
201.044,0.055845556,211.594,203.816,203.563,197.195,26.16
206.046,0.057235,211.629,203.643,203.687,197.028,26.157
211.044,0.058623333,211.674,203.743,203.659,196.906,26.158
215.972,0.059992222,211.694,203.643,203.617,196.901,26.157
221.046,0.061401667,211.515,203.496,203.606,196.745,26.16
225.973,0.062770278,211.475,203.552,203.512,196.576,26.16
231.048,0.06418,211.649,203.436,203.522,196.61,26.159
236.045,0.065568056,211.708,203.398,203.711,196.446,26.156
241.046,0.066957222,211.714,203.649,203.495,196.311,26.158
246.05,0.068347222,211.742,203.506,203.592,196.278,26.158
250.976,0.069715556,211.579,203.369,203.418,196.128,26.164
255.977,0.071104722,211.638,203.595,203.625,196.038,26.159
260.977,0.072493611,211.559,203.313,203.568,195.893,26.16
265.976,0.073882222,211.627,203.359,203.389,195.973,26.164
270.976,0.075271111,211.545,203.6,203.517,195.898,26.16
275.975,0.076659722,211.799,203.598,203.421,195.86,26.162
280.977,0.078049167,211.545,203.412,203.437,195.862,26.16
285.977,0.079438056,211.475,203.402,203.375,195.617,26.164
290.977,0.080826944,211.692,203.496,203.407,195.684,26.159
295.974,0.082215,211.669,203.323,203.353,195.74,26.16
300.976,0.083604444,211.402,203.482,203.286,195.568,26.162
305.976,0.084993333,211.619,203.431,203.348,195.464,26.16
310.975,0.086381944,211.663,203.619,203.329,195.519,26.159
315.977,0.087771389,211.467,203.45,203.367,195.482,26.159
320.978,0.089160556,211.633,203.59,203.23,195.527,26.163
325.979,0.090549722,211.363,203.463,203.267,195.279,26.159
330.978,0.091938333,211.576,203.366,203.151,195.348,26.156
335.98,0.093327778,211.447,203.318,203.221,195.091,26.159
340.979,0.094716389,211.547,203.395,203.256,195.214,26.156
346.129,0.096146944,211.245,203.388,203.267,195.135,26.158
351.129,0.097535833,211.311,203.395,203.218,195.142,26.157
356.127,0.098924167,211.323,203.294,203.098,194.901,26.16
361.129,0.100313611,211.408,203.168,203.066,195.014,26.158
366.128,0.101702222,211.338,203.251,203.112,194.986,26.159
371.126,0.103090556,211.379,203.291,203.146,194.844,26.158
376.142,0.104483889,211.449,203.296,203.119,195.088,26.158
381.131,0.105869722,211.352,203.284,203.069,194.783,26.162
386.133,0.107259167,211.27,203.369,203.009,194.704,26.161
391.127,0.108646389,211.379,203.291,202.963,194.952,26.158
396.214,0.110059444,211.349,203.243,203.009,194.745,26.16
401.205,0.111445833,211.273,203.256,202.91,194.704,26.161
406.201,0.112833611,211.445,203.16,202.97,194.797,26.165
411.199,0.114221944,211.372,203.308,202.937,194.573,26.16
416.207,0.115613056,211.374,203.299,202.94,194.493,26.161
421.206,0.117001667,211.354,203.154,202.996,194.66,26.162
426.206,0.118390556,211.438,203.159,202.757,194.539,26.157
431.205,0.119779167,211.115,203.264,202.768,194.406,26.155
436.205,0.121168056,211.172,203.323,202.803,194.301,26.159
441.202,0.122556111,211.236,203.13,202.765,194.458,26.158
446.205,0.123945833,211.161,203.232,202.868,194.358,26.16
451.207,0.125335278,211.422,203.144,202.685,194.082,26.158
456.204,0.126723333,211.272,203.17,202.725,194.258,26.156
461.203,0.128111944,211.2,203.157,202.723,194.381,26.158
466.202,0.129500556,211.295,203.13,202.897,194.243,26.161
471.205,0.130890278,211.231,203.079,202.846,194.064,26.161
476.203,0.132278611,211.281,203.234,202.776,194.145,26.157
481.206,0.133668333,211.166,203.087,202.755,194.286,26.16
486.208,0.135057778,210.998,202.945,202.68,194.107,26.159
491.205,0.136445833,210.925,203.138,202.643,194.072,26.16
496.205,0.137834722,211.152,203.13,202.803,194.163,26.157
501.205,0.139223611,211.127,203.05,202.685,193.969,26.161
506.209,0.140613611,210.954,203.278,202.637,194.138,26.162
511.204,0.142001111,211.118,203.229,202.621,193.872,26.16
516.209,0.143391389,211.077,203.166,202.689,194.097,26.162
521.209,0.144780278,211.22,203.157,202.68,193.964,26.16
526.21,0.146169444,211.099,203.154,202.64,193.854,26.159
531.211,0.147558611,211.239,203.082,202.661,193.929,26.16
536.209,0.148946944,211.025,203.164,202.425,193.989,26.157
541.213,0.150336944,211.245,202.974,202.723,194.077,26.158
546.207,0.151724167,211.129,203.108,202.631,193.953,26.157
551.212,0.153114444,211.202,203.103,202.57,194.038,26.158
556.209,0.1545025,211.065,203.084,202.551,193.823,26.156
