seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0,0,193.04,194.84,183.71,203.73,26.954
5,0.001388889,193.03,194.81,183.68,203.71,26.955
10,0.002777778,193.05,194.75,183.69,203.75,26.955
15,0.004166667,193.06,194.65,183.64,203.75,26.955
20,0.005555556,193.07,194.59,183.66,203.74,26.956
25,0.006944444,193.04,194.55,183.67,203.77,26.957
30,0.008333333,193.04,194.54,183.68,203.79,26.957
35,0.009722222,193.02,194.49,183.65,203.79,26.958
40,0.011111111,193.04,194.44,183.65,203.77,26.955
45,0.0125,193.06,194.37,183.64,203.73,26.956
50,0.013888889,193.11,194.31,183.67,203.78,26.952
55,0.015277778,193.13,194.27,183.66,203.78,26.952
60,0.016666667,193.12,194.23,183.66,203.81,26.952
65,0.018055556,193.1,194.18,183.63,203.77,26.955
70,0.019444444,193.09,194.11,183.63,203.76,26.954
75,0.020833333,193.1,194.05,183.64,203.76,26.951
80,0.022222222,193.1,194,183.63,203.76,26.951
85,0.023611111,193.12,193.95,183.64,203.77,26.953
90,0.025,193.11,193.91,183.66,203.78,26.952
95,0.026388889,193.12,193.87,183.67,203.83,26.951
100,0.027777778,193.12,193.84,183.65,203.82,26.95
105,0.029166667,193.13,193.77,183.62,203.81,26.952
110,0.030555556,193.13,193.71,183.6,203.8,26.952
115,0.031944444,193.11,193.68,183.6,203.83,26.954
120,0.033333333,193.12,193.66,183.59,203.83,26.952
125,0.034722222,193.1,193.62,183.56,203.82,26.953
130,0.036111111,193.13,193.59,183.59,203.83,26.949
135,0.0375,193.11,193.55,183.61,203.84,26.949
140,0.038888889,193.12,193.52,183.64,203.84,26.947
145,0.040277778,193.08,193.46,183.65,203.84,26.95
150,0.041666667,193.09,193.42,183.63,203.83,26.949
155,0.043055556,193.09,193.38,183.6,203.82,26.95
160,0.044444444,193.11,193.33,183.56,203.81,26.951
165,0.045833333,193.12,193.29,183.55,203.8,26.954
170,0.047222222,193.1,193.28,183.57,203.82,26.951
175,0.048611111,193.09,193.26,183.56,203.8,26.953
180,0.05,193.08,193.25,183.57,203.82,26.953
185,0.051388889,193.07,193.2,183.59,203.81,26.956
190,0.052777778,193.08,193.16,183.61,203.82,26.954
195,0.054166667,193.06,193.12,183.6,203.79,26.955
200,0.055555556,193.08,193.09,183.57,203.79,26.954
205,0.056944444,193.09,193.06,183.55,203.77,26.954
210,0.058333333,193.1,193.03,183.55,203.76,26.954
215,0.059722222,193.07,193.03,183.54,203.74,26.956
220,0.061111111,193.06,193,183.54,203.77,26.954
225,0.0625,193.04,192.97,183.55,203.8,26.954
230,0.063888889,193.05,192.91,183.57,203.78,26.954
235,0.065277778,193.05,192.88,183.56,203.75,26.954
240,0.066666667,193.06,192.84,183.55,203.72,26.955
245,0.068055556,193.07,192.82,183.52,203.7,26.955
250,0.069444444,193.08,192.8,183.5,203.72,26.956
255,0.070833333,193.09,192.79,183.49,203.72,26.956
260,0.072222222,193.09,192.77,183.5,203.73,26.956
265,0.073611111,193.05,192.73,183.53,203.73,26.957
270,0.075,193.07,192.74,183.52,203.76,26.954
275,0.076388889,193.03,192.71,183.51,203.77,26.954
280,0.077777778,193.06,192.68,183.49,203.76,26.954
285,0.079166667,193.03,192.64,183.5,203.73,26.956
290,0.080555556,193.09,192.63,183.51,203.75,26.955
295,0.081944444,193.08,192.62,183.52,203.75,26.953
300,0.083333333,193.07,192.61,183.51,203.78,26.952
305,0.084722222,193.07,192.58,183.48,203.76,26.951
310,0.086111111,193.05,192.58,183.47,203.74,26.951
315,0.0875,193.08,192.59,183.48,203.75,26.95
320,0.088888889,193.06,192.56,183.47,203.76,26.951
325,0.090277778,193.04,192.55,183.46,203.78,26.95
330,0.091666667,193.02,192.52,183.45,203.75,26.95
335,0.093055556,192.99,192.52,183.44,203.76,26.95
340,0.094444444,192.99,192.52,183.47,203.75,26.95
345,0.095833333,193,192.48,183.47,203.72,26.95
350,0.097222222,193.01,192.47,183.48,203.69,26.951
355,0.098611111,193.02,192.41,183.48,203.7,26.952
360,0.1,193.01,192.43,183.48,203.75,26.952
365,0.101388889,193.01,192.43,183.49,203.76,26.951
370,0.102777778,193.02,192.42,183.49,203.74,26.95
375,0.104166667,193.03,192.38,183.47,203.71,26.95
380,0.105555556,193.03,192.33,183.45,203.71,26.948
385,0.106944444,193,192.33,183.46,203.7,26.947
390,0.108333333,193,192.36,183.47,203.68,26.946
395,0.109722222,193.01,192.36,183.5,203.67,26.946
400,0.111111111,193,192.34,183.49,203.65,26.948
405,0.1125,192.98,192.3,183.5,203.66,26.949
410,0.113888889,192.95,192.28,183.5,203.66,26.948
415,0.115277778,192.96,192.25,183.49,203.67,26.946
420,0.116666667,192.93,192.26,183.5,203.63,26.946
425,0.118055556,192.93,192.23,183.49,203.62,26.947
430,0.119444444,192.95,192.22,183.51,203.59,26.946
435,0.120833333,192.95,192.19,183.49,203.56,26.945
440,0.122222222,192.97,192.2,183.5,203.52,26.946
445,0.123611111,192.97,192.17,183.47,203.49,26.947
450,0.125,192.95,192.12,183.48,203.45,26.947
455,0.126388889,192.94,192.11,183.47,203.44,26.945
460,0.127777778,192.9,192.15,183.48,203.4,26.943
465,0.129166667,192.91,192.15,183.49,203.38,26.942
470,0.130555556,192.91,192.14,183.49,203.31,26.942
475,0.131944444,192.93,192.11,183.48,203.26,26.944
480,0.133333333,192.96,192.12,183.47,203.21,26.945
485,0.134722222,192.92,192.11,183.48,203.12,26.945
490,0.136111111,192.92,192.1,183.47,203.05,26.946
495,0.1375,192.93,192.08,183.48,202.97,26.944
500,0.138888889,192.95,192.08,183.47,202.89,26.945
505,0.140277778,192.91,192.06,183.49,202.82,26.943
510,0.141666667,192.87,192.05,183.47,202.73,26.944
515,0.143055556,192.89,192.05,183.5,202.66,26.944
520,0.144444444,192.95,192.07,183.49,202.52,26.942
525,0.145833333,192.97,192.06,183.5,202.43,26.942
530,0.147222222,192.93,192.05,183.5,202.3,26.94
535,0.148611111,192.91,192.04,183.49,202.15,26.941
540,0.15,192.92,192.04,183.46,201.98,26.941
545,0.151388889,192.91,192.03,183.44,201.82,26.944
550,0.152777778,192.88,192.03,183.44,201.65,26.944
555,0.154166667,192.85,192,183.45,201.48,26.946
560,0.155555556,192.84,191.97,183.45,201.31,26.948
565,0.156944444,192.84,191.96,183.43,201.16,26.949
570,0.158333333,192.8,191.96,183.45,200.99,26.95
575,0.159722222,192.79,191.98,183.43,200.8,26.947
580,0.161111111,192.81,191.94,183.44,200.62,26.947
585,0.1625,192.81,191.92,183.42,200.41,26.947
590,0.163888889,192.85,191.9,183.43,200.19,26.947
595,0.165277778,192.84,191.9,183.45,199.93,26.946
600,0.166666667,192.83,191.93,183.43,199.62,26.945
605,0.168055556,192.82,191.96,183.44,199.28,26.944
610,0.169444444,192.83,191.99,183.43,198.92,26.943
615,0.170833333,192.88,191.98,183.45,198.58,26.942
620,0.172222222,192.9,191.99,183.45,198.3,26.941
625,0.173611111,192.87,191.98,183.44,198.01,26.941
630,0.175,192.84,191.99,183.41,197.73,26.944
635,0.176388889,192.81,191.96,183.41,197.41,26.944
640,0.177777778,192.8,191.93,183.39,197.12,26.944
645,0.179166667,192.82,191.94,183.42,196.84,26.942
650,0.180555556,192.83,191.97,183.42,196.58,26.941
655,0.181944444,192.84,191.99,183.44,196.32,26.941
660,0.183333333,192.81,192,183.43,196.08,26.941
665,0.184722222,192.82,191.99,183.46,195.82,26.941
670,0.186111111,192.78,192.02,183.44,195.61,26.942
675,0.1875,192.81,192,183.42,195.4,26.941
680,0.188888889,192.79,192.03,183.39,195.3,26.941
685,0.190277778,192.82,192.01,183.4,195.19,26.941
690,0.191666667,192.79,192.01,183.43,195.13,26.942
695,0.193055556,192.76,191.96,183.45,195.05,26.942
700,0.194444444,192.77,191.98,183.44,194.98,26.942
705,0.195833333,192.79,191.99,183.42,194.83,26.942
710,0.197222222,192.81,192.03,183.41,194.75,26.943
715,0.198611111,192.81,191.98,183.39,194.61,26.947
720,0.2,192.77,191.94,183.39,194.63,26.949
725,0.201388889,192.75,191.92,183.4,194.54,26.949
730,0.202777778,192.7,191.95,183.41,194.5,26.949
735,0.204166667,192.72,191.97,183.4,194.44,26.946
740,0.205555556,192.7,191.99,183.4,194.43,26.946
745,0.206944444,192.73,191.99,183.4,194.46,26.942
750,0.208333333,192.73,191.99,183.42,194.46,26.942
755,0.209722222,192.74,192.01,183.44,194.44,26.939
760,0.211111111,192.73,192.03,183.45,194.52,26.941
765,0.2125,192.73,192.06,183.44,194.56,26.94
770,0.213888889,192.76,192.07,183.43,194.69,26.941
775,0.215277778,192.76,192.07,183.42,194.62,26.942
780,0.216666667,192.74,192.06,183.4,194.62,26.946
785,0.218055556,192.71,192.07,183.39,194.56,26.947
790,0.219444444,192.7,192.06,183.39,194.57,26.947
795,0.220833333,192.71,192.09,183.41,194.66,26.944
800,0.222222222,192.69,192.07,183.41,194.77,26.944
805,0.223611111,192.68,192.11,183.43,194.95,26.943
810,0.225,192.68,192.13,183.43,194.96,26.942
815,0.226388889,192.71,192.13,183.44,194.98,26.941
820,0.227777778,192.73,192.13,183.44,194.97,26.941
825,0.229166667,192.72,192.1,183.42,195.04,26.943
830,0.230555556,192.71,192.12,183.41,195.01,26.943
835,0.231944444,192.7,192.11,183.35,195,26.945
840,0.233333333,192.69,192.12,183.39,195.05,26.941
845,0.234722222,192.68,192.12,183.39,195.14,26.942
850,0.236111111,192.66,192.13,183.4,195.19,26.941
855,0.2375,192.67,192.12,183.38,195.21,26.943
860,0.238888889,192.68,192.11,183.38,195.22,26.943
865,0.240277778,192.72,192.11,183.38,195.28,26.943
870,0.241666667,192.73,192.1,183.36,195.33,26.943
875,0.243055556,192.7,192.1,183.36,195.45,26.943
880,0.244444444,192.71,192.1,183.39,195.55,26.942
885,0.245833333,192.71,192.1,183.4,195.62,26.942
890,0.247222222,192.75,192.09,183.43,195.65,26.94
895,0.248611111,192.7,192.06,183.41,195.68,26.943
900,0.25,192.65,192.06,183.41,195.72,26.943
905,0.251388889,192.62,192.06,183.4,195.74,26.944
910,0.252777778,192.64,192.08,183.38,195.78,26.942
915,0.254166667,192.65,192.1,183.39,195.86,26.941
920,0.255555556,192.67,192.09,183.38,195.91,26.941
925,0.256944444,192.64,192.09,183.39,195.97,26.941
930,0.258333333,192.63,192.11,183.36,195.98,26.942
