seconds,hours,Ch2,Ch3,Ch4,Temp
0,0,138.01,175.56,183.31,26.158
5,0.001388889,137.92,175.48,183.25,26.157
10,0.002777778,137.65,175.42,183.16,26.154
15,0.004166667,137.54,175.34,183.11,26.154
20,0.005555556,137.64,175.28,183.08,26.152
25,0.006944444,137.99,175.21,183.06,26.151
30,0.008333333,138.51,175.17,183,26.149
35,0.009722222,139,175.1,182.93,26.152
40,0.011111111,139.81,175.03,182.88,26.153
45,0.0125,141.2,174.96,182.83,26.154
50,0.013888889,142.97,174.88,182.8,26.155
55,0.015277778,144.55,174.82,182.72,26.159
60,0.016666667,145.56,174.78,182.64,26.158
65,0.018055556,146.29,174.76,182.55,26.157
70,0.019444444,146.81,174.73,182.5,26.154
75,0.020833333,147.72,174.69,182.43,26.154
80,0.022222222,148.72,174.66,182.36,26.155
85,0.023611111,149.8,174.64,182.3,26.154
90,0.025,150.4,174.64,182.26,26.154
95,0.026388889,150.81,174.63,182.2,26.152
100,0.027777778,151.21,174.61,182.16,26.153
105,0.029166667,151.67,174.56,182.11,26.153
110,0.030555556,152.02,174.52,182.06,26.157
115,0.031944444,152.22,174.49,182.01,26.158
120,0.033333333,152.25,174.47,181.95,26.161
125,0.034722222,152.09,174.46,181.91,26.16
130,0.036111111,151.72,174.43,181.86,26.162
135,0.0375,151.22,174.42,181.82,26.161
140,0.038888889,150.91,174.41,181.79,26.16
145,0.040277778,150.79,174.42,181.75,26.158
150,0.041666667,150.88,174.4,181.73,26.16
155,0.043055556,151.09,174.35,181.68,26.162
160,0.044444444,151.7,174.3,181.63,26.164
165,0.045833333,152.38,174.25,181.54,26.165
170,0.047222222,153.11,174.24,181.48,26.166
175,0.048611111,153.59,174.22,181.45,26.164
180,0.05,153.93,174.22,181.44,26.161
185,0.051388889,154.13,174.18,181.37,26.16
190,0.052777778,154.28,174.13,181.35,26.162
195,0.054166667,154.53,174.11,181.32,26.161
200,0.055555556,154.9,174.11,181.31,26.16
205,0.056944444,155.32,174.09,181.27,26.16
210,0.058333333,155.82,174.05,181.24,26.162
215,0.059722222,156.57,174.01,181.23,26.163
220,0.061111111,157.7,174,181.23,26.159
225,0.0625,158.91,173.99,181.18,26.159
230,0.063888889,159.98,173.97,181.15,26.158
235,0.065277778,160.78,173.94,181.09,26.162
