seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0.929,0.000258056,192.320663,185.410049,181.501144,186.224182,27.011
5.926,0.001646111,193.194946,185.318253,181.991455,187.390396,27.013
10.928,0.003035556,191.825867,185.17601,183.390396,186.650085,27.015
15.927,0.004424167,193.265961,185.881363,181.507278,187.457001,27.016
20.929,0.005813611,191.859665,183.683533,183.416748,186.241089,27.014
25.928,0.007202222,192.451126,184.015518,182.260269,187.023163,27.014
30.929,0.008591389,193.65033,185.404999,183.562103,188.51123,27.017
35.93,0.009980556,192.299774,183.1689,182.924332,186.841553,27.014
40.93,0.011369444,194.637573,184.922226,182.682724,185.665237,27.019
45.93,0.012758333,191.581741,184.900162,182.697617,186.533325,27.017
50.932,0.014147778,193.108353,185.656586,183.572067,186.906006,27.016
55.927,0.015535278,193.563324,184.400543,181.746613,188.159225,27.012
60.929,0.016924722,193.394821,184.084381,181.772537,186.72464,27.015
65.93,0.018313889,192.720459,184.729401,183.463043,186.045441,27.019
70.93,0.019702778,190.927261,184.962585,181.700912,187.359833,27.016
75.93,0.021091667,192.075653,184.311371,183.623428,186.846619,27.012
80.928,0.02248,191.747925,184.719345,182.388062,187.204971,27.017
85.929,0.023869167,191.519608,184.101273,182.121414,185.722397,27.014
90.933,0.025259167,193.171432,184.185303,183.235321,186.853455,27.021
95.933,0.026648056,192.396317,183.320724,181.338501,187.227142,27.019
100.932,0.028036667,190.520035,183.815979,181.89122,187.822311,27.018
105.932,0.029425556,190.299103,183.609879,181.588669,187.194839,27.018
110.933,0.030814722,189.760986,184.311386,181.946869,188.360092,27.019
115.933,0.032203611,191.260498,184.153275,181.998825,186.411621,27.019
120.932,0.033592222,190.399139,185.123596,183.126587,187.591721,27.021
125.933,0.034981389,191.376968,184.444489,182.034729,187.045273,27.018
130.935,0.036370833,191.439087,182.929031,182.595627,187.030029,27.021
135.936,0.03776,191.100143,185.347397,181.471527,187.109863,27.018
140.935,0.039148611,189.492813,184.629929,181.573822,185.633347,27.02
144.853,0.040236944,191.922028,183.668533,181.359406,186.480942,27.019
149.851,0.041625278,190.945206,184.81572,183.292892,186.736542,27.019
154.852,0.043014444,192.145905,185.434189,182.67775,186.513062,27.019
159.854,0.044403889,191.688141,183.857819,182.152435,187.897507,27.021
164.851,0.045791944,190.206558,184.726257,181.237579,187.972794,27.019
169.852,0.047181111,190.872971,183.911575,182.682724,187.677063,27.019
174.854,0.048570556,191.906403,184.87999,180.703705,187.281647,27.023
179.852,0.049958889,191.151749,185.018784,181.651474,185.819824,27.024
184.853,0.051348056,191.711456,185.028915,182.41539,187.516708,27.022
189.856,0.052737778,190.383636,183.516266,182.9207,186.860321,27.024
194.853,0.054125833,191.395035,185.406937,181.953033,185.866913,27.022
199.854,0.055515,189.860596,184.773453,182.425339,186.062317,27.021
204.853,0.056903611,193.155701,183.995468,182.487442,187.084412,27.025
209.852,0.058292222,191.511642,183.795914,181.979004,188.301865,27.023
214.853,0.059681389,192.252777,184.783554,182.240387,186.684021,27.023
219.855,0.061070833,193.048004,184.555725,181.922089,186.062302,27.02
224.855,0.062459722,192.885422,183.54805,181.313843,186.694183,27.021
229.854,0.063848333,189.878357,184.180222,181.8405,186.264679,27.025
234.854,0.065237222,191.017426,184.746399,183.474426,188.156082,27.022
239.855,0.066626389,190.322098,184.476501,182.384369,187.484329,27.02
244.853,0.068014722,192.169342,184.249222,182.276382,188.367142,27.023
249.854,0.069403889,190.841843,182.924042,182.549637,186.785675,27.024
254.856,0.070793333,190.620346,185.461441,181.075226,186.945145,27.021
259.856,0.072182222,192.04689,183.980423,180.077011,186.492783,27.023
264.855,0.073570833,192.443283,184.785461,181.897369,186.940079,27.023
269.857,0.074960278,190.687195,184.064285,181.329788,186.185394,27.027
274.856,0.076348889,191.895981,183.911575,181.835571,187.014771,27.024
279.857,0.077738056,190.301392,183.869659,180.912018,187.351456,27.024
284.854,0.079126111,190.901321,184.847809,181.62558,186.806015,27.023
289.856,0.080515556,190.7258,184.684128,182.451401,186.084229,27.023
294.857,0.081904722,188.508865,184.429382,181.912201,186.413361,27.024
299.857,0.083293611,190.76445,184.325089,181.075226,187.684006,27.024
304.856,0.084682222,189.326523,184.150131,182.498657,186.440384,27.029
309.854,0.086070556,189.145844,184.330124,181.605789,187.533859,27.025
314.856,0.08746,189.571564,183.202316,181.53923,188.248749,27.023
319.855,0.088848611,189.150986,183.753998,181.866425,186.940079,27.024
324.858,0.090238333,190.692398,183.938477,181.554047,187.646484,27.026
329.858,0.091627222,189.906464,183.39592,181.222748,187.074249,27.027
334.857,0.093015833,189.428757,184.313232,180.485886,186.912933,27.021
339.857,0.094404722,190.576553,184.567657,182.333466,185.566147,27.025
344.857,0.095793611,190.517166,185.045929,182.021057,186.770462,27.028
349.859,0.097183056,190.5327,184.308167,181.615707,186.972305,27.024
354.86,0.098572222,189.806793,183.901535,180.481003,187.271469,27.024
359.86,0.099961111,190.48381,185.354462,180.648514,187.042007,27.027
364.86,0.10135,189.9655,185.793228,181.44191,187.774506,27.022
369.864,0.10274,190.759308,183.938477,181.933212,186.440384,27.029
374.864,0.104128889,189.786118,185.013733,180.78566,187.069138,27.028
379.862,0.105517222,190.633011,183.977188,181.949249,187.293625,27.028
384.864,0.106906667,189.978088,186.130981,182.431595,186.393051,27.029
389.865,0.108295833,190.986343,184.113113,182.472534,187.15921,27.025
394.864,0.109684444,190.445236,183.785858,182.246613,187.819046,27.028
399.865,0.111073611,190.854614,184.611694,179.775116,186.962189,27.027
404.865,0.1124625,190.01651,184.73822,182.287567,185.851776,27.028
409.865,0.113851389,190.759308,185.179916,182.565842,187.186462,27.027
414.864,0.11524,187.726059,184.298157,180.811371,186.323776,27.029
419.866,0.116629444,190.006195,183.665283,181.626755,187.47084,27.028
424.866,0.118018333,189.829681,183.812714,183.050507,186.445435,27.026
