seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0.917,0.000254722,208.749,229.459,209.184,205.559,26.085
5.919,0.001644167,208.745,229.651,209.311,205.608,26.081
10.922,0.003033889,208.898,229.54,209.301,205.414,26.087
15.92,0.004422222,208.712,229.641,209.317,205.421,26.078
21.001,0.005833611,208.842,229.493,209.234,205.282,26.082
25.924,0.007201111,209.013,229.582,209.036,205.298,26.079
31.012,0.008614444,208.751,229.641,209.239,205.388,26.081
36.072,0.01002,208.577,229.564,209.117,205.397,26.081
41.07,0.011408333,208.847,229.586,209.103,205.096,26.081
46.071,0.0127975,208.689,229.429,209.197,205.164,26.078
51.073,0.014186944,208.939,229.477,208.922,205.282,26.081
56.073,0.015575833,208.861,229.515,208.801,205.181,26.081
61.072,0.016964444,208.726,229.52,208.748,205.053,26.08
66.009,0.018335833,208.601,229.38,208.72,205.159,26.078
70.996,0.019721111,208.814,229.336,208.661,205.101,26.079
75.992,0.021108889,208.728,229.348,208.905,205.055,26.079
80.993,0.022498056,208.861,229.041,208.748,204.976,26.081
85.997,0.023888056,208.745,229.215,208.825,205.053,26.081
90.996,0.025276667,208.892,229.146,208.661,204.93,26.079
95.923,0.026645278,208.599,229.138,208.781,204.971,26.084
100.998,0.028055,208.737,228.988,208.739,205.025,26.079
105.998,0.029443889,208.814,229.314,208.57,204.777,26.079
110.997,0.0308325,208.488,229.02,208.684,204.857,26.081
115.997,0.032221389,208.814,229.087,208.487,204.559,26.078
120.998,0.033610556,208.682,229.073,208.49,204.642,26.082
125.999,0.034999722,208.629,228.846,208.476,204.614,26.081
130.998,0.036388333,208.717,228.863,208.531,204.796,26.079
135.999,0.0377775,208.823,228.84,208.437,204.633,26.081
140.999,0.039166389,208.712,228.727,208.501,204.625,26.081
146,0.040555556,208.775,228.836,208.429,204.586,26.079
151,0.041944444,208.742,228.733,208.24,204.573,26.078
156,0.043333333,208.751,228.694,208.39,204.524,26.08
160.999,0.044721944,208.707,228.743,208.205,204.69,26.081
165.997,0.046110278,208.603,228.664,208.237,204.722,26.075
171.001,0.047500278,208.543,228.597,208.235,204.605,26.077
176,0.048888889,208.582,228.532,208.279,204.548,26.079
180.999,0.0502775,208.579,228.593,208.135,204.488,26.078
185.998,0.051666111,208.864,228.435,208.362,204.597,26.082
190.999,0.053055278,208.684,228.64,208.182,204.491,26.078
195.998,0.054443889,208.59,228.434,208.205,204.462,26.08
201.006,0.055835,208.538,228.353,208.221,204.41,26.079
205.999,0.057221944,208.612,228.593,208.265,204.312,26.075
