seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,18:02:59,8.1466,4.2451,nan,5.9448,19.207
1.0,0.000277778,18:03:00,8.1462,4.2448,nan,5.9461,19.212
2.0,0.000555556,18:03:01,8.1291,4.2445,nan,5.9521,19.212
3.0,0.000833333,18:03:02,8.0967,4.2435,nan,5.9596,19.217
4.0,0.001111111,18:03:03,8.1005,4.2436,nan,5.9656,19.216
5.0,0.001388889,18:03:04,8.0784,4.243,nan,5.9715,19.22
6.0,0.001666667,18:03:05,8.0953,4.2433,nan,5.9736,19.217
7.0,0.001944444,18:03:06,8.0935,4.2452,nan,5.9799,19.218
8.0,0.002222222,18:03:07,8.0887,4.2482,nan,5.9805,19.218
9.0,0.002500000,18:03:08,8.1001,4.2506,nan,5.9868,19.219
10.0,0.002777778,18:03:09,8.0879,4.2512,nan,5.9881,19.219
11.0,0.003055556,18:03:10,8.0895,4.2493,nan,5.9931,19.22
12.0,0.003333333,18:03:11,8.0597,4.2466,nan,5.9953,19.225
13.0,0.003611111,18:03:12,8.0484,4.2455,nan,5.9986,19.232
14.0,0.003888889,18:03:13,8.0175,4.2455,nan,6.0059,19.236
15.0,0.004166667,18:03:14,8.022,4.2488,nan,6.0145,19.236
16.0,0.004444444,18:03:15,7.9875,4.2481,nan,6.0191,19.24
17.0,0.004722222,18:03:16,8.0084,4.2494,nan,6.0193,19.244
18.0,0.005000000,18:03:17,8.0178,4.247,nan,6.0217,19.252
19.0,0.005277778,18:03:18,8.0091,4.2466,nan,6.0278,19.255
20.0,0.005555556,18:03:19,8.017,4.2453,nan,6.0317,19.261
21.0,0.005833333,18:03:20,7.9855,4.2472,nan,6.0341,19.266
22.0,0.006111111,18:03:21,7.9932,4.2484,nan,6.037,19.267
23.0,0.006388889,18:03:22,7.9431,4.2483,nan,6.0464,19.269
24.0,0.006666667,18:03:23,7.9355,4.248,nan,6.0529,19.271
25.0,0.006944444,18:03:24,7.9323,4.2484,nan,6.0592,19.273
26.0,0.007222222,18:03:25,7.9191,4.2498,nan,6.0597,19.274
27.0,0.007500000,18:03:26,7.9157,4.2507,nan,6.0643,19.274
28.0,0.007777778,18:03:27,7.8994,4.2532,nan,6.0639,19.277
29.0,0.008055556,18:03:28,7.8993,4.256,nan,6.0697,19.279
30.0,0.008333333,18:03:29,7.8676,4.2556,nan,6.0728,19.278
31.0,0.008611111,18:03:30,7.8818,4.2565,nan,6.0822,19.273
32.0,0.008888889,18:03:31,7.8632,4.2544,nan,6.0856,19.273
33.0,0.009166667,18:03:32,7.8758,4.2574,nan,6.0873,19.274
34.0,0.009444444,18:03:33,7.8358,4.2564,nan,6.0918,19.273
35.0,0.009722222,18:03:34,7.8398,4.2586,nan,6.0956,19.27
36.0,0.010000000,18:03:35,7.8642,4.2611,nan,6.1033,19.269
37.0,0.010277778,18:03:36,7.8821,4.265,nan,6.1091,19.27
38.0,0.010555556,18:03:37,7.9014,4.2667,nan,6.1145,19.267
39.0,0.010833333,18:03:38,7.8584,4.2671,nan,6.1181,19.264
40.0,0.011111111,18:03:39,7.8429,4.2675,nan,6.1189,19.263
41.0,0.011388889,18:03:40,7.8341,4.2709,nan,6.1269,19.263
42.0,0.011666667,18:03:41,7.8213,4.2719,nan,6.1331,19.261
43.0,0.011944444,18:03:42,7.8384,4.2748,nan,6.138,19.258
44.0,0.012222222,18:03:43,7.8156,4.2764,nan,6.1455,19.255
45.0,0.012500000,18:03:44,7.79,4.2782,nan,6.1496,19.255
46.0,0.012777778,18:03:45,7.7577,4.2821,nan,6.1557,19.253
47.0,0.013055556,18:03:46,7.7578,4.2832,nan,6.1547,19.253
48.0,0.013333333,18:03:47,7.7838,4.2866,nan,6.1598,19.251
49.0,0.013611111,18:03:48,7.7904,4.2865,nan,6.161,19.25
50.0,0.013888889,18:03:49,7.8055,4.2889,nan,6.1663,19.248
51.0,0.014166667,18:03:50,7.8137,4.2922,nan,6.1713,19.247
52.0,0.014444444,18:03:51,7.7983,4.2957,nan,6.1773,19.246
53.0,0.014722222,18:03:52,7.7791,4.301,nan,6.1787,19.244
54.0,0.015000000,18:03:53,7.7672,4.3038,nan,6.1817,19.24
55.0,0.015277778,18:03:54,7.755,4.3066,nan,6.1859,19.235
56.0,0.015555556,18:03:55,7.7306,4.3089,nan,6.1955,19.229
57.0,0.015833333,18:03:56,7.7311,4.3122,nan,6.2015,19.223
58.0,0.016111111,18:03:57,7.754,4.3143,nan,6.2101,19.219
59.0,0.016388889,18:03:58,7.7694,4.3151,nan,6.2154,19.215
60.0,0.016666667,18:03:59,7.7568,4.3183,nan,6.2228,19.211
61.0,0.016944444,18:04:00,7.736,4.3204,nan,6.2273,19.206
62.0,0.017222222,18:04:01,7.7334,4.3241,nan,6.2324,19.201
63.39,0.017608333,18:04:02,7.74,4.3262,nan,6.2345,19.197
64.22,0.017838889,18:04:03,7.7403,4.3338,nan,6.2448,19.196
65.1,0.018083333,18:04:04,7.7304,4.3366,nan,6.2527,19.195
66.0,0.018333333,18:04:05,7.7261,4.3396,nan,6.2586,19.195
67.01,0.018613889,18:04:06,7.7299,4.3389,nan,6.2573,19.196
68.0,0.018888889,18:04:07,7.7145,4.3423,nan,6.2571,19.198
69.0,0.019166667,18:04:08,7.7133,4.3429,nan,6.2631,19.199
70.0,0.019444444,18:04:09,7.7225,4.3458,nan,6.2679,19.197
71.0,0.019722222,18:04:10,7.7497,4.3479,nan,6.2741,19.199
72.0,0.020000000,18:04:11,7.7095,4.3489,nan,6.2705,19.204
73.0,0.020277778,18:04:12,7.6769,4.3514,nan,6.2772,19.207
74.0,0.020555556,18:04:13,7.6547,4.3519,nan,6.2747,19.207
75.0,0.020833333,18:04:14,7.6615,4.3554,nan,6.2851,19.205
76.0,0.021111111,18:04:15,7.6833,4.3558,nan,6.2842,19.208
