
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.328	1011	100.000	20.950	52.500	21.747	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.502	1011	100.000	20.950	52.500	20.916	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.664	1011	100.000	20.950	52.500	20.766	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.785	1011	100.000	20.950	52.500	20.842	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/10/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/10/2026	17:41:50	0.00		4.2941	5.0734	3.5883	4.6795	17.682	17.682	17.682	17.682	1010.82	70.734	17.682	---	---	29.191	26.324	30.328	27.241	138.400	245.717	903.475	531.121	7.116	7.493	7.221	7.220	
8/10/2026	17:41:51	1.27		4.2823	5.0694	3.5879	4.6794	17.688	17.688	17.688	17.688	1010.83	70.744	17.688	---	---	29.222	26.332	30.327	27.239	138.310	245.728	903.351	531.064	7.107	7.460	7.266	7.227	
8/10/2026	17:41:52	2.34		4.2881	5.0655	3.5897	4.6765	17.704	17.704	17.704	17.704	1010.83	70.754	17.704	---	---	29.200	26.335	30.316	27.241	138.327	245.730	903.054	531.031	6.922	7.422	7.181	7.559	
8/10/2026	17:41:53	3.38		4.2846	5.0651	3.5905	4.6733	17.717	17.717	17.717	17.717	1010.89	70.764	17.717	---	---	29.206	26.332	30.308	27.244	138.293	245.699	902.898	531.022	6.879	7.360	7.133	7.765	
8/10/2026	17:41:54	4.43		4.2965	5.0721	3.5943	4.6713	17.726	17.726	17.726	17.726	1010.86	70.774	17.726	---	---	29.169	26.312	30.293	27.247	138.269	245.640	902.651	530.997	7.118	7.414	7.183	7.997	
8/10/2026	17:41:55	5.48		4.2985	5.0718	3.5949	4.6702	17.720	17.720	17.720	17.720	1010.84	70.782	17.720	---	---	29.166	26.315	30.293	27.251	138.288	245.601	902.487	531.008	7.312	7.507	7.274	7.620	
8/10/2026	17:41:57	6.52		4.2871	5.0729	3.5989	4.6727	17.713	17.713	17.713	17.713	1010.80	70.789	17.713	---	---	29.200	26.315	30.282	27.247	138.200	245.554	902.182	530.980	7.436	7.535	7.274	7.334	
8/10/2026	17:41:57	7.49		4.2834	5.0663	3.6003	4.6733	17.708	17.708	17.708	17.708	1010.83	70.797	17.708	---	---	29.212	26.332	30.279	27.247	138.252	245.603	901.971	530.994	7.391	7.566	7.296	7.335	
8/10/2026	17:41:59	8.52		4.2860	5.0706	3.6042	4.6744	17.710	17.710	17.710	17.710	1010.83	70.797	17.710	---	---	29.204	26.321	30.266	27.244	138.223	245.611	901.758	530.988	7.495	7.616	7.411	7.646	
8/10/2026	17:41:59	9.50		4.2924	5.0685	3.6048	4.6755	17.713	17.713	17.713	17.713	1010.84	70.797	17.713	---	---	29.185	26.325	30.263	27.240	138.226	245.600	901.530	530.984	7.381	7.638	7.565	7.817	
8/10/2026	17:42:00	10.49		4.3034	5.0703	3.6052	4.6747	17.717	17.717	17.717	17.717	1010.82	70.797	17.717	---	---	29.153	26.319	30.260	27.241	138.150	245.596	901.344	530.966	7.372	7.632	7.630	7.873	
8/10/2026	17:42:01	11.50		4.3066	5.0712	3.6057	4.6750	17.721	17.721	17.721	17.721	1010.80	70.797	17.721	---	---	29.143	26.316	30.257	27.239	138.085	245.559	901.181	530.906	7.438	7.646	7.610	7.759	
8/10/2026	17:42:03	12.51		4.3021	5.0695	3.6082	4.6697	17.722	17.722	17.722	17.722	1010.77	70.797	17.722	---	---	29.155	26.320	30.248	27.252	138.088	245.562	901.041	530.968	7.412	7.528	7.478	7.852	
8/10/2026	17:42:03	13.50		4.3009	5.0683	3.6124	4.6714	17.717	17.717	17.717	17.717	1010.79	70.789	17.717	---	---	29.160	26.324	30.236	27.249	138.111	245.530	900.781	530.891	7.146	7.411	7.310	7.577	
8/10/2026	17:42:04	14.50		4.3022	5.0685	3.6152	4.6726	17.712	17.712	17.712	17.712	1010.79	70.782	17.712	---	---	29.158	26.325	30.228	27.248	138.000	245.533	900.622	530.831	6.799	7.282	7.270	7.418	
8/10/2026	17:42:05	15.50		4.3064	5.0660	3.6168	4.6777	17.709	17.709	17.709	17.709	1010.81	70.782	17.709	---	---	29.148	26.333	30.224	27.236	138.007	245.523	900.380	530.749	6.929	7.291	7.360	7.312	
8/10/2026	17:42:07	16.51		4.2993	5.0694	3.6179	4.6776	17.713	17.713	17.713	17.713	1010.81	70.782	17.713	---	---	29.166	26.323	30.219	27.235	137.935	245.490	900.200	530.748	7.179	7.446	7.500	7.498	
8/10/2026	17:42:08	17.53		4.2980	5.0659	3.6198	4.6783	17.713	17.713	17.713	17.713	1010.85	70.782	17.713	---	---	29.170	26.331	30.213	27.233	137.975	245.472	899.928	530.768	7.387	7.524	7.423	7.523	
8/10/2026	17:42:09	18.52		4.3121	5.0704	3.6230	4.6795	17.710	17.710	17.710	17.710	1010.83	70.782	17.710	---	---	29.131	26.322	30.204	27.231	137.920	245.529	899.765	530.831	7.438	7.705	7.412	7.535	
8/10/2026	17:42:10	19.52		4.3167	5.0737	3.6251	4.6790	17.706	17.706	17.706	17.706	1010.81	70.789	17.706	---	---	29.120	26.315	30.198	27.233	137.944	245.535	899.612	530.909	7.551	7.745	7.393	7.581	
8/10/2026	17:42:11	20.53		4.3230	5.0771	3.6283	4.6797	17.704	17.704	17.704	17.704	1010.76	70.797	17.704	---	---	29.103	26.308	30.188	27.233	137.926	245.506	899.402	530.918	7.353	7.685	7.328	7.543	
8/10/2026	17:42:12	21.52		4.3160	5.0805	3.6293	4.6772	17.703	17.703	17.703	17.703	1010.78	70.797	17.703	---	---	29.123	26.300	30.185	27.239	138.053	245.426	899.183	530.854	7.179	7.535	7.253	7.372	
8/10/2026	17:42:13	22.52		4.3240	5.0738	3.6325	4.6771	17.701	17.701	17.701	17.701	1010.77	70.797	17.701	---	---	29.102	26.317	30.176	27.240	138.045	245.470	898.894	530.816	6.863	7.435	7.074	7.274	
8/10/2026	17:42:14	23.53		4.3296	5.0761	3.6338	4.6744	17.697	17.697	17.697	17.697	1010.81	70.797	17.697	---	---	29.088	26.313	30.173	27.248	138.015	245.462	898.741	530.830	7.152	7.517	7.085	7.364	
8/10/2026	17:42:15	24.53		4.3332	5.0773	3.6360	4.6767	17.694	17.694	17.694	17.694	1010.81	70.807	17.694	---	---	29.078	26.311	30.166	27.243	137.993	245.534	898.581	530.783	7.162	7.509	7.053	7.409	
8/10/2026	17:42:16	25.54		4.3186	5.0779	3.6376	4.6806	17.691	17.691	17.691	17.691	1010.83	70.818	17.691	---	---	29.120	26.311	30.162	27.235	137.958	245.456	898.417	530.772	7.327	7.520	7.192	7.425	
8/10/2026	17:42:17	26.53		4.3119	5.0747	3.6406	4.6815	17.689	17.689	17.689	17.689	1010.79	70.828	17.689	---	---	29.139	26.319	30.153	27.233	137.947	245.504	898.221	530.768	7.267	7.566	7.272	7.398	
8/10/2026	17:42:18	27.52		4.3098	5.0697	3.6412	4.6814	17.689	17.689	17.689	17.689	1010.76	70.828	17.689	---	---	29.145	26.331	30.151	27.233	137.804	245.422	898.017	530.776	7.576	7.769	7.440	7.612	
8/10/2026	17:42:19	28.53		4.3197	5.0729	3.6426	4.6789	17.690	17.690	17.690	17.690	1010.76	70.828	17.690	---	---	29.117	26.322	30.146	27.239	137.869	245.474	897.794	530.763	7.466	7.658	7.323	7.445	
8/10/2026	17:42:20	29.54		4.3187	5.0725	3.6423	4.6829	17.697	17.697	17.697	17.697	1010.78	70.828	17.697	---	---	29.118	26.321	30.145	27.227	137.923	245.462	897.551	530.628	7.167	7.499	7.194	7.386	
8/10/2026	17:42:21	30.53		4.3265	5.0714	3.6461	4.6824	17.697	17.697	17.697	17.697	1010.79	70.828	17.697	---	---	29.096	26.324	30.132	27.228	138.005	245.494	897.340	530.660	7.153	7.427	7.185	7.322	
8/10/2026	17:42:22	31.55		4.3295	5.0707	3.6496	4.6835	17.693	17.693	17.693	17.693	1010.79	70.828	17.693	---	---	29.089	26.327	30.122	27.227	138.018	245.415	897.172	530.642	7.256	7.537	7.229	7.324	
