seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.0,07:27:46,nan,6.6506,7.1209,6.1211,19.247
1.09,0.0003027777777777778,07:27:47,nan,6.6419,7.1176,6.1299,19.245
2.12,0.0005888888888888889,07:27:48,nan,6.6293,7.1147,6.1623,19.246
3.17,0.0008805555555555555,07:27:49,nan,6.6226,7.1102,6.1844,19.244
4.14,0.00115,07:27:50,nan,6.6179,7.1061,6.1575,19.247
5.25,0.0014583333333333334,07:27:51,nan,6.6133,7.1,6.1463,19.244
6.26,0.0017388888888888888,07:27:52,nan,6.6075,7.1012,6.1421,19.246
7.22,0.0020055555555555556,07:27:53,nan,6.5993,7.1004,6.1482,19.246
8.2,0.0022777777777777774,07:27:54,nan,6.6016,7.1041,6.1389,19.245
9.18,0.0025499999999999997,07:27:55,nan,6.5991,7.0963,6.126,19.243
10.14,0.002816666666666667,07:27:56,nan,6.5992,7.0941,6.1113,19.24
11.12,0.003088888888888889,07:27:57,nan,6.5861,7.0842,6.0923,19.242
12.1,0.003361111111111111,07:27:58,nan,6.5802,7.0844,6.0907,19.242
13.06,0.003627777777777778,07:27:59,nan,6.5742,7.0801,6.1148,19.244
14.03,0.003897222222222222,07:28:00,nan,6.5696,7.0808,6.1361,19.244
15.05,0.004180555555555555,07:28:01,nan,6.5637,7.0794,6.1239,19.244
16.06,0.004461111111111111,07:28:02,nan,6.556,7.0734,6.1126,19.242
17.08,0.004744444444444444,07:28:03,nan,6.5481,7.0766,6.1008,19.242
18.51,0.005141666666666667,07:28:04,nan,6.5364,7.0747,6.1291,19.243
19.49,0.005413888888888888,07:28:05,nan,6.5363,7.0727,6.1259,19.244
20.5,0.005694444444444445,07:28:06,nan,6.5431,7.069,6.1312,19.244
21.51,0.005975,07:28:07,nan,6.5403,7.0681,6.1162,19.244
22.51,0.006252777777777778,07:28:08,nan,6.5312,7.0703,6.1009,19.246
23.51,0.006530555555555556,07:28:09,nan,6.5213,7.0657,6.0968,19.246
24.5,0.006805555555555555,07:28:10,nan,6.511,7.0632,6.078,19.246
25.5,0.007083333333333333,07:28:11,nan,6.5047,7.0589,6.091,19.242
26.51,0.0073638888888888894,07:28:12,nan,6.497,7.0548,6.0805,19.242
27.51,0.007641666666666667,07:28:13,nan,6.498,7.0521,6.1187,19.241
28.52,0.007922222222222223,07:28:14,nan,6.494,7.05,6.1395,19.241
29.5,0.008194444444444445,07:28:15,nan,6.4826,7.0511,6.1703,19.241
30.52,0.008477777777777779,07:28:16,nan,6.4768,7.0471,6.1508,19.241
31.51,0.008752777777777778,07:28:17,nan,6.4745,7.0449,6.1193,19.243
32.53,0.009036111111111111,07:28:18,nan,6.478,7.0418,6.094,19.241
33.52,0.009311111111111112,07:28:19,nan,6.4754,7.0395,6.1013,19.241
34.53,0.009591666666666667,07:28:20,nan,6.4727,7.0379,6.1155,19.241
35.51,0.009863888888888889,07:28:21,nan,6.4685,7.0322,6.1388,19.243
36.52,0.010144444444444446,07:28:22,nan,6.4613,7.0322,6.1353,19.244
37.52,0.010422222222222223,07:28:23,nan,6.4531,7.0307,6.1328,19.245
38.53,0.010702777777777778,07:28:24,nan,6.4489,7.0297,6.1126,19.241
39.53,0.010980555555555556,07:28:25,nan,6.4402,7.0244,6.1198,19.241
40.53,0.011258333333333334,07:28:26,nan,6.4356,7.0202,6.1213,19.239
41.52,0.011533333333333335,07:28:27,nan,6.424,7.0162,6.1188,19.243
42.62,0.011838888888888888,07:28:28,nan,6.4245,7.016,6.1047,19.242
43.58,0.012105555555555555,07:28:29,nan,6.4168,7.0103,6.0983,19.242
44.58,0.012383333333333333,07:28:30,nan,6.4181,7.0103,6.1053,19.242
45.6,0.012666666666666666,07:28:31,nan,6.4156,7.0026,6.0897,19.239
46.59,0.012941666666666667,07:28:32,nan,6.42,7.0078,6.0811,19.239
47.6,0.013222222222222222,07:28:33,nan,6.4114,7.0057,6.0892,19.239
48.66,0.013516666666666666,07:28:34,nan,6.4073,7.0049,6.0992,19.242
49.67,0.013797222222222223,07:28:35,nan,6.3934,6.995,6.1123,19.243
50.63,0.01406388888888889,07:28:36,nan,6.3902,6.9941,6.1027,19.241
51.63,0.014341666666666667,07:28:37,nan,6.389,6.9905,6.1219,19.243
52.63,0.014619444444444445,07:28:38,nan,6.3858,6.9953,6.1062,19.237
53.63,0.014897222222222223,07:28:39,nan,6.3795,6.9927,6.1044,19.22
54.72,0.0152,07:28:40,nan,6.378,7.0026,6.0825,19.188
55.75,0.015486111111111112,07:28:41,nan,6.3825,7.0038,6.1127,19.16
56.79,0.015775,07:28:42,nan,6.391,7.0096,6.1464,19.129
57.83,0.016063888888888888,07:28:43,nan,6.3895,7.0077,6.185,19.109
58.87,0.01635277777777778,07:28:45,nan,6.394,7.0099,6.182,19.09
59.91,0.016641666666666666,07:28:46,nan,6.3936,7.0077,6.1768,19.079
60.96,0.016933333333333335,07:28:47,nan,6.3929,7.0068,6.1859,19.068
62.07,0.017241666666666666,07:28:48,nan,6.3872,6.9999,6.1798,19.059
63.04,0.01751111111111111,07:28:49,nan,6.3782,6.9958,6.1697,19.053
64.06,0.017794444444444446,07:28:50,nan,6.3755,6.9931,6.1702,19.049
