
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.328	1011	100.000	20.950	52.500	21.747	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.502	1011	100.000	20.950	52.500	20.916	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.664	1011	100.000	20.950	52.500	20.766	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.785	1011	100.000	20.950	52.500	20.842	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/11/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/11/2026	07:27:46	0.00		---	6.6506	7.1209	6.1211	19.247	19.247	19.247	19.247	1013.92	75.634	19.247	---	---	58.940	22.618	21.697	23.532	0.343	295.073	610.075	99.756	7.582	7.429	7.228	7.217	
8/11/2026	07:27:47	1.09		---	6.6419	7.1176	6.1299	19.245	19.245	19.245	19.245	1013.93	75.624	19.245	---	---	57.308	22.634	21.703	23.516	0.381	295.216	610.172	99.726	7.496	7.361	7.152	6.971	
8/11/2026	07:27:48	2.12		---	6.6293	7.1147	6.1623	19.246	19.246	19.246	19.246	1013.90	75.614	19.246	---	---	55.430	22.656	21.707	23.454	0.318	295.342	610.251	99.820	7.530	7.374	7.079	7.173	
8/11/2026	07:27:49	3.17		---	6.6226	7.1102	6.1844	19.244	19.244	19.244	19.244	1013.93	75.604	19.244	---	---	41.017	22.668	21.715	23.413	0.315	295.458	610.360	99.859	7.654	7.438	7.129	7.290	
8/11/2026	07:27:50	4.14		---	6.6179	7.1061	6.1575	19.247	19.247	19.247	19.247	1013.95	75.604	19.247	---	---	-48.370	22.675	21.721	23.463	0.293	295.663	610.540	99.860	7.663	7.382	7.064	7.289	
8/11/2026	07:27:51	5.25		---	6.6133	7.1000	6.1463	19.244	19.244	19.244	19.244	1013.94	75.604	19.244	---	---	-46.761	22.684	21.731	23.485	0.296	295.903	610.654	99.777	7.569	7.404	7.138	7.073	
8/11/2026	07:27:52	6.26		---	6.6075	7.1012	6.1421	19.246	19.246	19.246	19.246	1013.95	75.604	19.246	---	---	38.345	22.694	21.729	23.492	0.194	296.064	610.749	99.740	7.438	7.262	7.010	6.895	
8/11/2026	07:27:53	7.22		---	6.5993	7.1004	6.1482	19.246	19.246	19.246	19.246	1013.92	75.604	19.246	---	---	33.352	22.708	21.730	23.480	0.145	296.211	610.817	99.833	7.470	7.408	7.181	7.115	
8/11/2026	07:27:54	8.20		---	6.6016	7.1041	6.1389	19.245	19.245	19.245	19.245	1013.93	75.604	19.245	---	---	37.642	22.705	21.725	23.498	0.258	296.311	611.014	99.855	7.502	7.474	7.246	7.144	
8/11/2026	07:27:55	9.18		---	6.5991	7.0963	6.1260	19.243	19.243	19.243	19.243	1013.91	75.604	19.243	---	---	59.818	22.710	21.738	23.523	0.360	296.446	611.149	99.944	7.564	7.605	7.450	7.355	
8/11/2026	07:27:56	10.14		---	6.5992	7.0941	6.1113	19.240	19.240	19.240	19.240	1013.93	75.596	19.240	---	---	162.583	22.710	21.742	23.552	0.436	296.626	611.287	99.890	7.565	7.558	7.467	7.308	
8/11/2026	07:27:57	11.12		---	6.5861	7.0842	6.0923	19.242	19.242	19.242	19.242	1013.92	75.589	19.242	---	---	155.439	22.733	21.757	23.588	0.429	296.789	611.387	99.980	7.605	7.468	7.402	7.319	
8/11/2026	07:27:58	12.10		---	6.5802	7.0844	6.0907	19.242	19.242	19.242	19.242	1013.89	75.581	19.242	---	---	54.481	22.743	21.757	23.591	0.412	296.933	611.529	99.882	7.690	7.445	7.340	7.317	
