seconds,hours,Ch2,Ch4,Temp
0,0,180.18,181.03,25.5
5,0.001388889,180.11,181.02,25.491
10,0.002777778,180.07,180.97,25.485
15,0.004166667,180.02,180.95,25.483
20,0.005555556,179.95,180.91,25.481
25,0.006944444,179.89,180.87,25.479
30,0.008333333,179.84,180.82,25.475
35,0.009722222,179.79,180.77,25.473
40,0.011111111,179.74,180.75,25.47
45,0.0125,179.68,180.7,25.47
50,0.013888889,179.62,180.62,25.472
55,0.015277778,179.56,180.56,25.472
60,0.016666667,179.5,180.46,25.473
65,0.018055556,179.45,180.42,25.471
70,0.019444444,179.37,180.36,25.472
75,0.020833333,179.3,180.31,25.472
80,0.022222222,179.21,180.28,25.473
85,0.023611111,179.16,180.22,25.473
90,0.025,179.13,180.19,25.472
95,0.026388889,179.13,180.17,25.469
100,0.027777778,179.12,180.17,25.467
105,0.029166667,179.09,180.17,25.466
110,0.030555556,179.05,180.12,25.466
115,0.031944444,178.98,180.08,25.466
120,0.033333333,178.91,180.02,25.466
125,0.034722222,178.86,179.99,25.466
130,0.036111111,178.82,179.96,25.465
135,0.0375,178.8,179.95,25.463
140,0.038888889,178.77,179.91,25.462
145,0.040277778,178.73,179.89,25.464
150,0.041666667,178.68,179.85,25.466
155,0.043055556,178.63,179.82,25.468
160,0.044444444,178.58,179.79,25.47
165,0.045833333,178.49,179.75,25.471
170,0.047222222,178.46,179.72,25.471
175,0.048611111,178.44,179.7,25.471
180,0.05,178.45,179.69,25.473
185,0.051388889,178.41,179.68,25.473
190,0.052777778,178.35,179.62,25.473
195,0.054166667,178.3,179.55,25.474
200,0.055555556,178.26,179.51,25.476
205,0.056944444,178.24,179.49,25.477
210,0.058333333,178.22,179.5,25.476
215,0.059722222,178.21,179.47,25.475
220,0.061111111,178.22,179.46,25.474
225,0.0625,178.25,179.45,25.471
230,0.063888889,178.24,179.43,25.47
235,0.065277778,178.2,179.41,25.47
240,0.066666667,178.18,179.39,25.469
245,0.068055556,178.15,179.4,25.47
250,0.069444444,178.15,179.38,25.468
255,0.070833333,178.16,179.36,25.467
260,0.072222222,178.15,179.31,25.464
265,0.073611111,178.12,179.29,25.463
270,0.075,178.04,179.3,25.464
275,0.076388889,178.02,179.3,25.466
280,0.077777778,178.01,179.27,25.467
285,0.079166667,178.02,179.23,25.465
290,0.080555556,178.01,179.19,25.465
295,0.081944444,177.99,179.13,25.465
300,0.083333333,177.95,179.12,25.468
305,0.084722222,177.89,179.09,25.47
310,0.086111111,177.85,179.07,25.47
315,0.0875,177.83,179.02,25.47
320,0.088888889,177.83,179.01,25.466
325,0.090277778,177.8,179,25.467
330,0.091666667,177.78,179,25.466
335,0.093055556,177.74,179,25.468
340,0.094444444,177.69,178.99,25.47
345,0.095833333,177.64,178.98,25.472
350,0.097222222,177.6,178.94,25.474
355,0.098611111,177.59,178.93,25.473
360,0.1,177.56,178.93,25.472
365,0.101388889,177.54,178.92,25.472
370,0.102777778,177.5,178.9,25.474
375,0.104166667,177.46,178.85,25.476
380,0.105555556,177.44,178.81,25.478
385,0.106944444,177.43,178.78,25.479
390,0.108333333,177.41,178.78,25.479
395,0.109722222,177.38,178.77,25.477
400,0.111111111,177.34,178.76,25.474
405,0.1125,177.33,178.72,25.473
410,0.113888889,177.31,178.72,25.471
415,0.115277778,177.3,178.71,25.471
420,0.116666667,177.25,178.71,25.472
425,0.118055556,177.26,178.67,25.474
430,0.119444444,177.28,178.67,25.474
435,0.120833333,177.3,178.64,25.473
440,0.122222222,177.24,178.64,25.472
445,0.123611111,177.2,178.64,25.472
450,0.125,177.18,178.63,25.47
455,0.126388889,177.15,178.6,25.471
460,0.127777778,177.14,178.58,25.471
465,0.129166667,177.13,178.55,25.471
470,0.130555556,177.12,178.55,25.471
475,0.131944444,177.1,178.52,25.471
480,0.133333333,177.08,178.51,25.474
485,0.134722222,177.1,178.47,25.475
490,0.136111111,177.08,178.46,25.477
495,0.1375,177.07,178.44,25.476
500,0.138888889,177.02,178.46,25.478
505,0.140277778,176.99,178.43,25.478
510,0.141666667,176.99,178.44,25.477
515,0.143055556,176.99,178.41,25.478
520,0.144444444,177,178.41,25.476
525,0.145833333,177.02,178.39,25.475
530,0.147222222,177.02,178.4,25.471
535,0.148611111,177.01,178.39,25.471
540,0.15,176.97,178.38,25.472
545,0.151388889,176.96,178.39,25.473
550,0.152777778,176.97,178.37,25.475
555,0.154166667,176.98,178.35,25.475
560,0.155555556,176.96,178.32,25.473
565,0.156944444,176.95,178.29,25.473
570,0.158333333,176.94,178.26,25.475
575,0.159722222,176.9,178.19,25.481
580,0.161111111,176.89,178.18,25.483
585,0.1625,176.86,178.16,25.484
590,0.163888889,176.87,178.14,25.484
595,0.165277778,176.83,178.1,25.485
600,0.166666667,176.82,178.07,25.486
605,0.168055556,176.8,178.07,25.484
610,0.169444444,176.81,178.05,25.484
615,0.170833333,176.8,178.03,25.485
620,0.172222222,176.78,178.01,25.487
625,0.173611111,176.75,177.96,25.488
630,0.175,176.71,177.95,25.488
635,0.176388889,176.66,177.95,25.488
640,0.177777778,176.6,177.94,25.49
645,0.179166667,176.56,177.92,25.49
650,0.180555556,176.55,177.87,25.489
655,0.181944444,176.54,177.85,25.489
660,0.183333333,176.54,177.81,25.489
665,0.184722222,176.52,177.78,25.492
670,0.186111111,176.49,177.75,25.492
675,0.1875,176.47,177.71,25.492
680,0.188888889,176.45,177.68,25.493
685,0.190277778,176.45,177.64,25.494
690,0.191666667,176.43,177.62,25.497
695,0.193055556,176.41,177.59,25.498
700,0.194444444,176.39,177.55,25.498
705,0.195833333,176.36,177.52,25.499
710,0.197222222,176.32,177.5,25.5
715,0.198611111,176.3,177.49,25.499
720,0.2,176.29,177.45,25.5
725,0.201388889,176.29,177.43,25.498
730,0.202777778,176.26,177.4,25.5
735,0.204166667,176.22,177.4,25.499
740,0.205555556,176.19,177.39,25.498
745,0.206944444,176.2,177.38,25.496
750,0.208333333,176.21,177.4,25.49
755,0.209722222,176.23,177.41,25.488
760,0.211111111,176.21,177.4,25.485
765,0.2125,176.19,177.37,25.485
770,0.213888889,176.19,177.36,25.483
775,0.215277778,176.18,177.33,25.483
780,0.216666667,176.18,177.31,25.483
785,0.218055556,176.1,177.28,25.485
790,0.219444444,176.09,177.29,25.485
795,0.220833333,176.04,177.27,25.486
800,0.222222222,176.09,177.27,25.484
805,0.223611111,176.06,177.26,25.483
810,0.225,176.04,177.26,25.482
815,0.226388889,176,177.25,25.483
820,0.227777778,176.02,177.22,25.485
825,0.229166667,176.05,177.21,25.486
830,0.230555556,176.02,177.21,25.487
835,0.231944444,176.02,177.19,25.484
840,0.233333333,176.01,177.17,25.484
845,0.234722222,176.01,177.15,25.482
850,0.236111111,175.97,177.15,25.483
855,0.2375,175.93,177.11,25.484
860,0.238888889,175.9,177.11,25.483
865,0.240277778,175.88,177.09,25.483
870,0.241666667,175.88,177.09,25.481
875,0.243055556,175.89,177.05,25.48
880,0.244444444,175.86,177.05,25.479
885,0.245833333,175.83,177.03,25.478
890,0.247222222,175.8,177.02,25.48
895,0.248611111,175.78,176.98,25.481
900,0.25,175.75,176.94,25.484
905,0.251388889,175.71,176.91,25.484
910,0.252777778,175.66,176.86,25.488
915,0.254166667,175.63,176.84,25.492
920,0.255555556,175.57,176.79,25.498
925,0.256944444,175.56,176.78,25.497
930,0.258333333,175.53,176.75,25.496
935,0.259722222,175.52,176.77,25.492
940,0.261111111,175.51,176.75,25.49
945,0.2625,175.49,176.74,25.488
950,0.263888889,175.48,176.71,25.484
955,0.265277778,175.46,176.71,25.483
960,0.266666667,175.46,176.67,25.482
965,0.268055556,175.43,176.65,25.483
970,0.269444444,175.43,176.63,25.48
975,0.270833333,175.42,176.61,25.48
980,0.272222222,175.4,176.61,25.479
985,0.273611111,175.37,176.58,25.481
990,0.275,175.36,176.59,25.481
