seconds,hours,Ch2,Ch3,Ch4,Temp
0,0,183.73,192.13,193.14,25.328
5,0.001388889,182.36,191.89,192.94,25.328
10,0.002777778,180.85,191.67,192.71,25.325
15,0.004166667,179.05,191.47,192.51,25.325
20,0.005555556,176.96,191.3,192.27,25.326
25,0.006944444,174.66,191.13,192.09,25.328
30,0.008333333,172.11,190.95,191.88,25.33
35,0.009722222,169.34,190.81,191.68,25.33
40,0.011111111,166.27,190.66,191.51,25.33
45,0.0125,163.1,190.57,191.35,25.332
50,0.013888889,160.01,190.43,191.23,25.333
55,0.015277778,157.19,190.36,191.06,25.333
60,0.016666667,154.38,190.24,190.92,25.331
65.02,0.018061111,151.69,190.17,190.79,25.33
70.03,0.019452778,149.11,190.07,190.73,25.332
75.02,0.020838889,146.88,190,190.72,25.33
80.02,0.022227778,144.84,189.91,190.7,25.331
85.02,0.023616667,142.99,189.84,190.62,25.33
90.03,0.025008333,141.34,189.81,190.52,25.329
95.02,0.026394444,139.8,189.77,190.46,25.329
100.02,0.027783333,138.37,189.73,190.4,25.328
105.02,0.029172222,137.04,189.66,190.32,25.331
110.03,0.030563889,135.94,189.62,190.27,25.332
115.03,0.031952778,134.98,189.57,190.22,25.333
120.03,0.033341667,134.13,189.55,190.22,25.332
125.02,0.034727778,133.32,189.51,190.15,25.333
130.03,0.036119444,132.37,189.48,190.13,25.336
135.02,0.037505556,131.4,189.44,190.08,25.339
140.01,0.038891667,130.49,189.4,190.05,25.341
145.02,0.040283333,129.85,189.39,190.02,25.34
150.01,0.041669444,129.34,189.36,189.97,25.341
155.02,0.043061111,128.87,189.36,189.96,25.341
160.02,0.04445,128.41,189.35,189.91,25.343
165.03,0.045841667,127.96,189.35,189.88,25.345
170.02,0.047227778,127.55,189.34,189.86,25.345
175.02,0.048616667,127.15,189.35,189.84,25.344
180.02,0.050005556,126.77,189.33,189.84,25.344
185.03,0.051397222,126.41,189.33,189.84,25.343
190.03,0.052786111,126.07,189.32,189.86,25.343
195.02,0.054172222,125.76,189.34,189.85,25.343
200.03,0.055563889,125.45,189.34,189.84,25.345
205.02,0.05695,125.14,189.37,189.84,25.343
210.02,0.058338889,124.85,189.38,189.86,25.343
215.03,0.059730556,124.57,189.41,189.86,25.341
220.02,0.061116667,124.31,189.42,189.87,25.341
225.01,0.062502778,124.08,189.43,189.88,25.341
230.02,0.063894444,123.86,189.46,189.9,25.34
235.02,0.065283333,123.66,189.47,189.9,25.34
240.03,0.066675,123.48,189.48,189.96,25.336
245.02,0.068061111,123.35,189.5,189.99,25.336
250.02,0.06945,123.21,189.5,190.01,25.337
255.02,0.070838889,123.07,189.54,190.03,25.338
260.02,0.072227778,122.92,189.54,190.04,25.34
265.03,0.073619444,122.82,189.56,190.05,25.34
270.02,0.075005556,122.76,189.54,190.03,25.341
275.03,0.076397222,122.73,189.56,190.06,25.34
280.03,0.077786111,122.7,189.59,190.08,25.34
285.02,0.079172222,122.65,189.62,190.07,25.34
290.03,0.080563889,122.61,189.62,190.09,25.341
295.02,0.08195,122.57,189.57,190.11,25.342
300.03,0.083341667,122.52,189.54,190.11,25.347
305.02,0.084727778,122.48,189.53,190.05,25.347
310.02,0.086116667,122.44,189.55,190.02,25.347
315.03,0.087508333,122.41,189.58,190.02,25.343
320.03,0.088897222,122.37,189.6,190.01,25.346
325.02,0.090283333,122.34,189.63,190.03,25.346
330.02,0.091672222,122.33,189.64,190.03,25.347
335.02,0.093061111,122.32,189.66,190.06,25.346
340.02,0.09445,122.33,189.66,190.06,25.345
345.02,0.095838889,122.34,189.66,190.09,25.343
350.02,0.097227778,122.34,189.65,190.06,25.342
355.01,0.098613889,122.35,189.65,190.05,25.342
360.03,0.100008333,122.37,189.64,190.06,25.345
365.02,0.101394444,122.4,189.68,190.1,25.345
370.03,0.102786111,122.45,189.7,190.11,25.345
375.02,0.104172222,122.51,189.7,190.12,25.343
380.02,0.105561111,122.56,189.7,190.08,25.343
385.03,0.106952778,122.59,189.7,190.07,25.344
