seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0.066,1.83333E-05,200.42,195.735,198.136,196.896,26.749
5.064,0.001406667,200.422,195.522,198.048,197.119,26.749
10.065,0.002795833,200.43,195.548,197.929,196.874,26.749
15.143,0.004206389,200.318,195.385,197.963,196.854,26.75
20.068,0.005574444,200.071,195.449,198.046,196.978,26.745
25.143,0.006984167,200.328,195.373,197.937,196.991,26.745
30.143,0.008373056,200.102,195.497,198.077,196.986,26.745
35.14,0.009761111,200.228,195.405,197.766,196.965,26.745
40.215,0.011170833,200.208,195.332,197.854,197.071,26.745
45.219,0.012560833,200.368,195.319,197.849,196.867,26.747
50.29,0.013969444,200.415,195.462,197.932,196.895,26.747
55.218,0.015338333,200.336,195.194,197.818,196.968,26.747
60.216,0.016726667,200.387,195.345,197.867,196.849,26.747
65.222,0.018117222,200.432,195.366,197.749,196.821,26.747
70.218,0.019505,200.29,195.251,197.79,196.772,26.751
75.218,0.020893889,200.298,195.33,197.834,196.943,26.751
80.218,0.022282778,200.288,195.356,197.842,197.113,26.751
85.222,0.023672778,200.49,195.427,197.806,196.806,26.751
90.219,0.025060833,200.249,195.354,197.695,196.985,26.751
95.217,0.026449167,200.559,195.333,197.656,196.982,26.749
100.218,0.027838333,200.306,195.302,197.788,196.698,26.749
105.219,0.0292275,200.321,195.442,197.803,197.038,26.749
110.221,0.030616944,200.314,195.328,197.615,196.814,26.748
115.219,0.032005278,200.441,195.392,197.649,196.867,26.748
120.243,0.033400833,200.286,195.336,197.804,196.786,26.75
125.22,0.034783333,200.254,195.359,197.809,196.864,26.749
130.224,0.036173333,200.388,195.292,197.605,197.013,26.749
135.222,0.037561667,200.083,195.229,197.845,196.859,26.749
140.22,0.03895,200.281,195.26,197.582,196.727,26.748
145.297,0.040360278,200.279,195.316,197.67,196.586,26.75
150.292,0.041747778,200.244,195.206,197.618,196.691,26.75
155.294,0.043137222,200.181,195.146,197.539,196.792,26.75
160.298,0.044527222,200.444,195.329,197.544,196.617,26.75
165.295,0.045915278,200.431,195.156,197.603,196.748,26.75
170.296,0.047304444,200.339,195.316,197.513,196.694,26.747
175.294,0.048692778,200.212,195.265,197.641,196.84,26.747
180.298,0.050082778,200.362,195.303,197.59,196.645,26.747
185.295,0.051470833,200.367,195.321,197.631,196.686,26.747
190.299,0.052860833,200.341,195.282,197.497,196.588,26.747
195.298,0.054249444,200.225,195.367,197.6,196.817,26.751
200.298,0.055638333,200.32,195.285,197.662,196.699,26.751
205.298,0.057027222,200.331,195.272,197.577,196.758,26.751
210.298,0.058416111,200.26,195.311,197.453,196.689,26.751
215.3,0.059805556,200.163,195.288,197.394,196.702,26.751
220.225,0.061173611,200.434,195.212,197.516,196.625,26.75
225.221,0.062561389,200.203,195.309,197.524,196.597,26.752
230.223,0.063950833,200.274,195.181,197.412,196.697,26.752
235.224,0.06534,200.319,195.251,197.384,196.71,26.752
240.23,0.066730556,200.324,195.057,197.557,196.806,26.751
245.225,0.068118056,200.34,195.21,197.405,196.749,26.75
250.225,0.069506944,200.238,195.04,197.341,196.523,26.75
255.225,0.070895833,200.116,195.011,197.511,196.638,26.75
260.227,0.072285278,200.225,195.223,197.382,196.618,26.75
265.234,0.073676111,200.141,195.124,197.462,196.698,26.749
270.23,0.075063889,200.133,195.116,197.527,196.726,26.75
275.248,0.076457778,200.259,195.078,197.236,196.472,26.75
280.232,0.077842222,200.077,194.938,197.4,196.672,26.751
285.228,0.07923,200.241,195.088,197.228,196.562,26.751
290.159,0.080599722,200.131,195.025,197.421,196.549,26.751
295.23,0.082008333,200.251,195.035,197.228,196.523,26.752
300.158,0.083377222,200.251,194.976,197.48,196.621,26.752
305.161,0.084766944,200.204,194.984,197.2,196.562,26.752
310.234,0.086176111,200.296,195.078,197.344,196.454,26.752
315.235,0.087565278,200.357,194.976,197.349,196.513,26.752
320.239,0.088955278,200.154,195.119,197.241,196.297,26.755
325.236,0.090343333,200.231,194.873,197.37,196.552,26.754
330.237,0.0917325,200.191,194.923,197.15,196.495,26.754
335.235,0.093120833,200.278,194.87,197.205,196.472,26.754
340.235,0.094509722,200.167,194.972,197.163,196.544,26.754
345.313,0.095920278,200.323,194.713,197.244,196.318,26.753
350.313,0.097309167,200.171,194.903,197.293,196.403,26.753
355.314,0.098698333,200.181,194.913,197.177,196.341,26.753
360.311,0.100086389,200.276,194.929,197.247,196.362,26.753
365.31,0.101475,200.271,194.97,197.125,196.416,26.752
370.313,0.102864722,200.202,194.916,197.252,196.326,26.755
375.31,0.104252778,200.244,194.855,197.094,196.313,26.755
380.309,0.105641389,200.137,194.711,197.115,196.388,26.755
385.311,0.107030833,200.239,194.726,197.04,196.416,26.755
390.315,0.108420833,200.281,194.814,197.203,196.421,26.755
395.313,0.109809167,200.426,194.764,196.93,196.258,26.757
400.312,0.111197778,200.124,194.893,196.976,196.303,26.757
405.316,0.112587778,200.205,194.688,197.056,196.311,26.757
410.316,0.113976667,200.279,194.64,197.097,196.275,26.757
415.312,0.115364444,200.242,194.653,197.002,196.383,26.757
420.33,0.116758333,200.09,194.772,196.902,196.248,26.757
425.312,0.118142222,200.259,194.775,196.928,196.058,26.757
430.315,0.119531944,200.177,194.772,197.16,196.194,26.757
435.313,0.120920278,200.195,194.861,196.979,196.199,26.757
440.242,0.122289444,200.177,194.749,196.951,196.14,26.757
445.315,0.123698611,200.264,194.762,196.987,196.35,26.761
450.241,0.125066944,200.388,194.544,197,196.273,26.761
455.313,0.126475833,200.038,194.805,196.838,196.233,26.761
460.312,0.127864444,200.24,194.531,197.077,196.099,26.761
465.266,0.129240556,200.038,194.704,196.843,196.238,26.761
470.242,0.130622778,200.207,194.671,196.949,196.223,26.758
475.24,0.132011111,200.065,194.587,196.846,196.138,26.758
480.24,0.1334,200.346,194.597,196.941,196.166,26.758
485.244,0.13479,200.096,194.458,196.895,195.917,26.758
490.243,0.136178611,200.191,194.545,196.808,196.118,26.758
495.243,0.1375675,200.183,194.613,196.962,196.146,26.757
500.243,0.138956389,200.16,194.306,196.813,196.213,26.757
