seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
4.679,0.001299722,205.323,226.464,148.585,191.741,25.541
9.68,0.002688889,205.333,226.198,147.307,191.663,25.543
14.681,0.004078056,205.144,225.73,146.007,191.645,25.54
19.678,0.005466111,204.982,225.569,144.899,191.438,25.54
24.679,0.006855278,205.182,225.389,143.836,191.19,25.542
29.681,0.008244722,205.063,225.192,142.841,190.94,25.542
34.679,0.009633056,205.009,225.052,142.033,190.872,25.542
39.678,0.011021667,204.764,224.56,141.194,190.755,25.538
44.677,0.012410278,204.667,224.24,140.647,190.491,25.544
49.678,0.013799444,204.675,223.806,139.904,190.668,25.541
54.677,0.015188056,204.406,223.716,139.449,190.454,25.544
59.677,0.016576944,204.251,223.29,138.859,190.27,25.545
64.677,0.017965833,204.471,223.41,138.351,190.27,25.546
69.679,0.019355278,204.326,223.101,137.8,189.996,25.547
74.682,0.020745,204.425,223.007,137.288,190.071,25.545
79.678,0.022132778,204.444,222.924,137.073,189.793,25.546
84.679,0.023521944,204.304,222.887,136.813,189.867,25.546
89.682,0.024911667,204.242,222.987,136.405,189.914,25.544
94.678,0.026299444,204.231,223.12,136.129,189.822,25.544
99.678,0.027688333,204.159,222.926,135.976,189.547,25.54
104.678,0.029077222,204.092,222.75,135.721,189.624,25.541
109.677,0.030465833,203.998,222.588,135.437,189.572,25.544
114.748,0.031874444,204.103,222.412,135.373,189.577,25.543
119.765,0.033268056,204.065,222.454,135.102,189.473,25.543
124.826,0.034673889,204.049,222.436,134.868,189.325,25.543
129.751,0.036041944,203.872,222.155,134.699,189.404,25.544
134.745,0.037429167,203.848,222.045,134.52,189.416,25.543
139.763,0.038823056,203.741,222.615,134.36,189.305,25.545
144.747,0.0402075,203.942,222.929,134.122,189.387,25.543
149.746,0.041596111,203.735,223.259,134.111,189.243,25.544
154.745,0.042984722,203.998,223.349,133.986,189.122,25.546
159.746,0.044373889,203.899,223.506,133.886,189.083,25.544
