seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
2.495,0.000693056,254.271,228.46,220.364,205.509,25.433
7.494,0.002081667,254.338,228.331,220.453,205.591,25.433
12.494,0.003470556,254.124,228.099,220.291,205.608,25.433
17.495,0.004859722,253.963,227.814,220.146,205.518,25.434
22.496,0.006248889,253.633,227.755,220.052,205.425,25.434
27.495,0.0076375,253.302,227.78,220.075,205.447,25.438
32.493,0.009025833,253.326,227.399,219.961,205.618,25.435
37.495,0.010415278,253.118,227.559,219.729,205.488,25.437
42.494,0.011803889,252.747,227.636,219.869,205.466,25.436
47.495,0.013193056,252.765,227.513,219.755,205.417,25.433
52.494,0.014581667,252.357,227.277,219.687,205.164,25.434
57.495,0.015970833,252.338,227.13,219.712,205.297,25.437
62.496,0.01736,251.907,227.286,219.611,205.398,25.438
67.495,0.018748611,252.103,227.181,219.641,205.264,25.435
72.497,0.020138056,251.816,227.292,219.573,205.316,25.437
77.497,0.021526944,251.675,227.21,219.529,205.03,25.438
82.498,0.022916111,251.336,226.974,219.306,204.93,25.436
87.497,0.024304722,251.3,226.986,219.355,204.97,25.438
92.497,0.025693611,251.131,226.766,219.256,204.973,25.433
97.499,0.027083056,250.865,227.136,219.297,205.003,25.437
102.5,0.028472222,250.672,226.943,219.254,204.721,25.437
107.5,0.029861111,250.622,227.113,219.204,204.786,25.441
112.499,0.031249722,250.369,226.867,219.218,204.55,25.439
117.5,0.032638889,250.026,227.039,219.066,204.428,25.439
122.501,0.034028056,249.978,226.813,219.037,204.553,25.435
127.501,0.035416944,249.984,226.931,218.946,204.312,25.441
132.501,0.036805833,249.774,226.9,218.963,204.347,25.439
137.501,0.038194722,249.781,226.928,218.963,204.309,25.437
142.501,0.039583611,249.486,226.735,218.89,204.09,25.437
147.503,0.040973056,249.528,226.717,218.738,204.157,25.441
152.504,0.042362222,249.36,226.803,218.788,204.095,25.437
157.504,0.043751111,249.203,226.77,218.794,204.02,25.438
162.504,0.04514,248.894,226.494,218.788,203.901,25.436
167.512,0.046531111,248.97,226.696,218.773,203.774,25.437
