seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,18:10:04,199.12,195.3,209.82,180.68,22.815
2.09,0.000580556,18:10:06,199.13,195.3,209.83,180.7,22.813
4.17,0.001158333,18:10:08,199.13,195.3,209.83,180.7,22.813
6.27,0.001741667,18:10:10,199.12,195.29,209.85,180.69,22.814
8.42,0.002338889,18:10:12,199.15,195.33,209.88,180.7,22.811
10.53,0.002925000,18:10:14,199.19,195.34,209.87,180.71,22.808
12.63,0.003508333,18:10:16,199.21,195.34,209.85,180.7,22.807
14.7,0.004083333,18:10:18,199.21,195.35,209.86,180.71,22.807
16.78,0.004661111,18:10:20,199.2,195.34,209.89,180.71,22.807
18.87,0.005241667,18:10:23,199.22,195.35,209.94,180.73,22.805
20.94,0.005816667,18:10:25,199.21,195.35,209.9,180.7,22.807
23.04,0.006400000,18:10:27,199.2,195.38,209.92,180.72,22.805
25.13,0.006980556,18:10:29,199.22,195.38,209.94,180.73,22.804
27.22,0.007561111,18:10:31,199.25,195.42,209.98,180.78,22.799
29.31,0.008141667,18:10:33,199.28,195.43,209.99,180.76,22.796
31.44,0.008733333,18:10:35,199.3,195.46,209.99,180.78,22.792
33.53,0.009313889,18:10:37,199.33,195.47,210.03,180.75,22.79
35.63,0.009897222,18:10:39,199.33,195.47,210.03,180.8,22.79
37.74,0.010483333,18:10:41,199.34,195.47,210.05,180.77,22.79
39.81,0.011058333,18:10:43,199.33,195.48,210.06,180.78,22.789
41.88,0.011633333,18:10:46,199.37,195.48,210.08,180.76,22.787
43.95,0.012208333,18:10:48,199.35,195.48,210.11,180.79,22.786
46.02,0.012783333,18:10:50,199.33,195.46,210.11,180.84,22.788
48.1,0.013361111,18:10:52,199.35,195.48,210.11,180.84,22.79
50.17,0.013936111,18:10:54,199.36,195.46,210.08,180.82,22.792
52.26,0.014516667,18:10:56,199.38,195.47,210.06,180.78,22.792
54.35,0.015097222,18:10:58,199.36,195.47,210.04,180.75,22.792
56.43,0.015675000,18:11:00,199.35,195.48,210.06,180.72,22.793
58.54,0.016261111,18:11:02,199.33,195.48,210.06,180.7,22.795
60.62,0.016838889,18:11:04,199.31,195.43,210.08,180.68,22.798
62.69,0.017413889,18:11:06,199.31,195.41,210.06,180.67,22.8
64.77,0.017991667,18:11:08,199.33,195.4,210.07,180.63,22.803
66.84,0.018566667,18:11:10,199.34,195.43,210.05,180.64,22.803
68.93,0.019147222,18:11:13,199.34,195.41,210.04,180.64,22.803
71.01,0.019725000,18:11:15,199.33,195.4,210.03,180.65,22.804
73.14,0.020316667,18:11:17,199.31,195.38,210.03,180.67,22.806
75.22,0.020894444,18:11:19,199.32,195.39,210.05,180.67,22.809
77.3,0.021472222,18:11:21,199.33,195.39,210.03,180.66,22.81
79.42,0.022061111,18:11:23,199.36,195.41,210.01,180.6,22.812
81.5,0.022638889,18:11:25,199.35,195.41,209.99,180.57,22.813
83.59,0.023219444,18:11:27,199.34,195.39,209.98,180.58,22.817
85.68,0.023800000,18:11:29,199.31,195.38,209.97,180.58,22.818
