seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,10:54:32,199.22,231.44,199.47,201.17,21.073
2.11,0.000586111,10:54:34,199.22,231.35,199.53,201.13,21.074
4.18,0.001161111,10:54:36,199.18,231.31,199.56,201.14,21.072
6.36,0.001766667,10:54:38,199.14,231.32,199.54,201.12,21.073
8.71,0.002419444,10:54:40,199.11,231.26,199.54,201.11,21.073
10.95,0.003041667,10:54:43,199.08,231.25,199.54,201.09,21.073
13.03,0.003619444,10:54:45,199.09,231.19,199.58,201.05,21.071
15.11,0.004197222,10:54:47,199.07,231.21,199.59,201.04,21.07
17.19,0.004775000,10:54:49,199.08,231.2,199.62,201.03,21.068
19.29,0.005358333,10:54:51,199.05,231.13,199.62,201.0,21.069
21.37,0.005936111,10:54:53,199.07,231.09,199.67,200.97,21.069
23.45,0.006513889,10:54:55,199.04,231.03,199.71,200.94,21.07
25.52,0.007088889,10:54:57,199.02,231.02,199.73,200.92,21.069
27.6,0.007666667,10:54:59,198.98,230.94,199.76,200.89,21.07
29.68,0.008244444,10:55:01,198.98,230.9,199.73,200.86,21.07
31.77,0.008825000,10:55:03,198.97,230.85,199.75,200.82,21.073
33.86,0.009405556,10:55:06,198.98,230.85,199.72,200.77,21.073
35.92,0.009977778,10:55:08,198.95,230.8,199.79,200.73,21.072
37.99,0.010552778,10:55:10,198.94,230.79,199.83,200.73,21.07
40.09,0.011136111,10:55:12,198.91,230.74,199.86,200.75,21.069
42.35,0.011763889,10:55:14,198.94,230.74,199.91,200.77,21.066
44.57,0.012380556,10:55:16,198.95,230.7,199.95,200.75,21.062
46.81,0.013002778,10:55:18,198.97,230.68,199.98,200.74,21.058
48.99,0.013608333,10:55:21,198.95,230.61,199.99,200.69,21.059
51.18,0.014216667,10:55:23,198.94,230.59,199.99,200.66,21.06
53.38,0.014827778,10:55:25,198.93,230.51,199.99,200.64,21.063
55.59,0.015441667,10:55:27,198.91,230.45,200.02,200.64,21.063
57.78,0.016050000,10:55:29,198.9,230.44,200.04,200.61,21.059
59.99,0.016663889,10:55:32,198.9,230.44,200.06,200.56,21.058
62.19,0.017275000,10:55:34,198.89,230.39,200.06,200.51,21.058
64.4,0.017888889,10:55:36,198.85,230.25,200.06,200.5,21.062
66.62,0.018505556,10:55:38,198.84,230.19,200.07,200.49,21.064
68.82,0.019116667,10:55:40,198.83,230.17,200.06,200.5,21.063
71.05,0.019736111,10:55:43,198.83,230.13,200.1,200.47,21.064
73.27,0.020352778,10:55:45,198.82,230.14,200.11,200.46,21.061
75.47,0.020963889,10:55:47,198.78,230.13,200.09,200.39,21.065
77.68,0.021577778,10:55:49,198.79,230.11,200.09,200.37,21.065
79.89,0.022191667,10:55:52,198.79,230.01,200.1,200.33,21.066
82.12,0.022811111,10:55:54,198.8,229.95,200.11,200.33,21.064
84.39,0.023441667,10:55:56,198.76,229.95,200.12,200.28,21.064
86.57,0.024047222,10:55:58,198.75,229.91,200.12,200.29,21.065
88.95,0.024708333,10:56:01,198.76,229.87,200.14,200.28,21.064
91.29,0.025358333,10:56:03,198.74,229.78,200.11,200.27,21.066
93.65,0.026013889,10:56:05,198.75,229.76,200.11,200.22,21.065
95.99,0.026663889,10:56:08,198.69,229.71,200.09,200.19,21.066
98.34,0.027316667,10:56:10,198.74,229.71,200.09,200.19,21.063
100.69,0.027969444,10:56:12,198.72,229.66,200.09,200.16,21.063
103.05,0.028625000,10:56:15,198.75,229.61,200.1,200.15,21.063
105.39,0.029275000,10:56:17,198.75,229.58,200.12,200.06,21.064
107.74,0.029927778,10:56:19,198.74,229.52,200.11,200.03,21.066
110.09,0.030580556,10:56:22,198.76,229.55,200.09,199.98,21.066
112.44,0.031233333,10:56:24,198.74,229.53,200.11,200.03,21.064
114.8,0.031888889,10:56:26,198.76,229.51,200.13,200.04,21.061
117.14,0.032538889,10:56:29,198.73,229.45,200.14,200.06,21.061
119.51,0.033197222,10:56:31,198.72,229.39,200.12,200.03,21.064
121.85,0.033847222,10:56:33,198.72,229.38,200.08,200.0,21.066
124.2,0.034500000,10:56:36,198.72,229.36,200.11,199.98,21.063
126.56,0.035155556,10:56:38,198.7,229.35,200.1,199.95,21.061
128.91,0.035808333,10:56:41,198.7,229.32,200.14,199.93,21.058
131.27,0.036463889,10:56:43,198.7,229.29,200.09,199.9,21.057
133.62,0.037116667,10:56:45,198.73,229.27,200.08,199.86,21.059
135.97,0.037769444,10:56:48,198.72,229.25,200.08,199.86,21.059
138.29,0.038413889,10:56:50,198.73,229.25,200.1,199.83,21.06
140.65,0.039069444,10:56:52,198.72,229.21,200.12,199.81,21.058
142.99,0.039719444,10:56:55,198.71,229.18,200.1,199.77,21.058
145.36,0.040377778,10:56:57,198.71,229.12,200.09,199.75,21.059
147.72,0.041033333,10:56:59,198.71,229.14,200.09,199.76,21.056
150.09,0.041691667,10:57:02,198.74,229.08,200.11,199.76,21.054
152.46,0.042350000,10:57:04,198.75,229.07,200.12,199.73,21.053
154.81,0.043002778,10:57:06,198.72,229.03,200.09,199.68,21.059
157.17,0.043658333,10:57:09,198.72,229.04,200.08,199.65,21.06
159.56,0.044322222,10:57:11,198.71,229.04,200.08,199.64,21.058
161.91,0.044975000,10:57:14,198.73,229.03,200.07,199.63,21.058
164.26,0.045627778,10:57:16,198.69,229.02,200.06,199.63,21.059
166.6,0.046277778,10:57:18,198.68,229.02,200.05,199.59,21.06
168.94,0.046927778,10:57:21,198.7,229.04,200.06,199.6,21.058
171.27,0.047575000,10:57:23,198.7,229.01,200.03,199.57,21.059
173.62,0.048227778,10:57:25,198.74,229.0,199.99,199.53,21.059
175.99,0.048886111,10:57:28,198.74,228.95,200.0,199.5,21.06
178.35,0.049541667,10:57:30,198.77,228.92,200.0,199.47,21.06
180.7,0.050194444,10:57:32,198.71,228.86,199.98,199.46,21.062
