#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial1-newbox-10Nov
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/10/2025	12/31/2000	20.311	52.300	0.804000	0.095680	4000	-0.081700	0.969000	0.584349	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.898	28.235	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
10-11-2025	19:38:52.182	0.731	202.993	20.553	431	0	OK	10-11-2025	19:38:52.182	0.731	28.424	OK	10-11-2025	19:38:52.182	0.731	1013	OK
10-11-2025	19:38:54.183	2.731	202.960	20.555	431	0	OK	10-11-2025	19:38:54.183	2.731	28.423	OK	10-11-2025	19:38:54.183	2.731	1013	OK
10-11-2025	19:38:56.185	4.733	202.812	20.563	431	0	OK	10-11-2025	19:38:56.185	4.733	28.422	OK	10-11-2025	19:38:56.185	4.733	1013	OK
10-11-2025	19:38:58.184	6.733	202.822	20.563	431	0	OK	10-11-2025	19:38:58.184	6.733	28.420	OK	10-11-2025	19:38:58.184	6.733	1013	OK
10-11-2025	19:39:00.186	8.734	202.740	20.567	431	0	OK	10-11-2025	19:39:00.186	8.734	28.421	OK	10-11-2025	19:39:00.186	8.734	1013	OK
10-11-2025	19:39:02.185	10.734	202.635	20.573	431	0	OK	10-11-2025	19:39:02.185	10.734	28.419	OK	10-11-2025	19:39:02.185	10.734	1013	OK
10-11-2025	19:39:04.185	12.734	202.740	20.567	430	0	OK	10-11-2025	19:39:04.185	12.734	28.421	OK	10-11-2025	19:39:04.185	12.734	1013	OK
10-11-2025	19:39:06.185	14.734	202.702	20.569	430	0	OK	10-11-2025	19:39:06.185	14.734	28.421	OK	10-11-2025	19:39:06.185	14.734	1013	OK
10-11-2025	19:39:08.186	16.734	202.893	20.559	430	-1	OK	10-11-2025	19:39:08.186	16.734	28.421	OK	10-11-2025	19:39:08.186	16.734	1013	OK
10-11-2025	19:39:10.185	18.733	202.769	20.565	430	0	OK	10-11-2025	19:39:10.185	18.733	28.423	OK	10-11-2025	19:39:10.185	18.733	1013	OK
10-11-2025	19:39:12.185	20.734	202.840	20.561	430	-1	OK	10-11-2025	19:39:12.185	20.734	28.424	OK	10-11-2025	19:39:12.185	20.734	1013	OK
10-11-2025	19:39:14.184	22.733	203.008	20.553	430	0	OK	10-11-2025	19:39:14.184	22.733	28.421	OK	10-11-2025	19:39:14.184	22.733	1013	OK
10-11-2025	19:39:16.185	24.734	202.731	20.568	430	0	OK	10-11-2025	19:39:16.185	24.734	28.419	OK	10-11-2025	19:39:16.185	24.734	1013	OK
10-11-2025	19:39:18.185	26.734	202.711	20.568	430	0	OK	10-11-2025	19:39:18.185	26.734	28.423	OK	10-11-2025	19:39:18.185	26.734	1013	OK
10-11-2025	19:39:20.187	28.736	202.639	20.571	431	0	OK	10-11-2025	19:39:20.187	28.736	28.426	OK	10-11-2025	19:39:20.187	28.736	1013	OK
