#--- Experiment --------------------------------------------------------------------------
#O
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - SC7-525-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/11/2025	12/31/2000	20.925	52.500	0.804000	0.095680	4000	-0.081700	0.969000	0.584349	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.428	27.887	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (µmol/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
11-11-2025	18:55:23.768	0.394	196.896	21.908	454	-1	OK	11-11-2025	18:55:23.768	0.394	26.750	OK	11-11-2025	18:55:23.768	0.394	1012	OK
11-11-2025	18:55:28.662	5.287	197.119	21.897	454	0	OK	11-11-2025	18:55:28.662	5.287	26.745	OK	11-11-2025	18:55:28.662	5.287	1012	OK
11-11-2025	18:55:33.665	10.290	196.874	21.910	454	-1	OK	11-11-2025	18:55:33.665	10.290	26.747	OK	11-11-2025	18:55:33.665	10.290	1012	OK
11-11-2025	18:55:38.669	15.295	196.854	21.910	454	-1	OK	11-11-2025	18:55:38.669	15.295	26.751	OK	11-11-2025	18:55:38.669	15.295	1012	OK
11-11-2025	18:55:43.685	20.310	196.978	21.904	454	-1	OK	11-11-2025	18:55:43.685	20.310	26.748	OK	11-11-2025	18:55:43.685	20.310	1011	OK
11-11-2025	18:55:48.591	25.217	196.991	21.903	454	-1	OK	11-11-2025	18:55:48.591	25.217	26.749	OK	11-11-2025	18:55:48.591	25.217	1012	OK
11-11-2025	18:55:53.594	30.219	196.986	21.903	454	0	OK	11-11-2025	18:55:53.594	30.219	26.750	OK	11-11-2025	18:55:53.594	30.219	1012	OK
11-11-2025	18:55:58.591	35.216	196.965	21.905	454	0	OK	11-11-2025	18:55:58.591	35.216	26.747	OK	11-11-2025	18:55:58.591	35.216	1012	OK
11-11-2025	18:56:03.516	40.141	197.071	21.898	454	-1	OK	11-11-2025	18:56:03.516	40.141	26.751	OK	11-11-2025	18:56:03.516	40.141	1012	OK
11-11-2025	18:56:08.519	45.144	196.867	21.909	454	0	OK	11-11-2025	18:56:08.519	45.144	26.752	OK	11-11-2025	18:56:08.519	45.144	1012	OK
11-11-2025	18:56:13.518	50.144	196.895	21.908	454	-1	OK	11-11-2025	18:56:13.518	50.144	26.750	OK	11-11-2025	18:56:13.518	50.144	1012	OK
11-11-2025	18:56:18.517	55.142	196.968	21.904	454	0	OK	11-11-2025	18:56:18.517	55.142	26.750	OK	11-11-2025	18:56:18.517	55.142	1012	OK
11-11-2025	18:56:23.515	60.141	196.849	21.910	454	0	OK	11-11-2025	18:56:23.515	60.141	26.752	OK	11-11-2025	18:56:23.515	60.141	1012	OK
11-11-2025	18:56:28.521	65.146	196.821	21.911	454	-1	OK	11-11-2025	18:56:28.521	65.146	26.754	OK	11-11-2025	18:56:28.521	65.146	1012	OK
11-11-2025	18:56:33.517	70.142	196.772	21.914	454	-1	OK	11-11-2025	18:56:33.517	70.142	26.753	OK	11-11-2025	18:56:33.517	70.142	1012	OK
11-11-2025	18:56:38.517	75.143	196.943	21.904	454	0	OK	11-11-2025	18:56:38.517	75.143	26.755	OK	11-11-2025	18:56:38.517	75.143	1012	OK
11-11-2025	18:56:43.518	80.144	197.113	21.894	454	0	OK	11-11-2025	18:56:43.518	80.144	26.757	OK	11-11-2025	18:56:43.518	80.144	1012	OK
11-11-2025	18:56:48.519	85.144	196.806	21.911	454	-1	OK	11-11-2025	18:56:48.519	85.144	26.757	OK	11-11-2025	18:56:48.519	85.144	1012	OK
11-11-2025	18:56:53.520	90.145	196.985	21.900	454	-1	OK	11-11-2025	18:56:53.520	90.145	26.761	OK	11-11-2025	18:56:53.520	90.145	1012	OK
11-11-2025	18:56:58.519	95.144	196.982	21.901	454	0	OK	11-11-2025	18:56:58.519	95.144	26.758	OK	11-11-2025	18:56:58.519	95.144	1012	OK
11-11-2025	18:57:03.517	100.142	196.698	21.917	454	0	OK	11-11-2025	18:57:03.517	100.142	26.757	OK	11-11-2025	18:57:03.517	100.142	1012	OK
11-11-2025	18:57:08.519	105.144	197.038	21.899	454	0	OK	11-11-2025	18:57:08.519	105.144	26.754	OK	11-11-2025	18:57:08.519	105.144	1012	OK
11-11-2025	18:57:13.520	110.145	196.814	21.910	454	-1	OK	11-11-2025	18:57:13.520	110.145	26.759	OK	11-11-2025	18:57:13.520	110.145	1012	OK
11-11-2025	18:57:18.517	115.142	196.867	21.906	454	0	OK	11-11-2025	18:57:18.517	115.142	26.763	OK	11-11-2025	18:57:18.517	115.142	1012	OK
11-11-2025	18:57:23.537	120.162	196.786	21.911	454	0	OK	11-11-2025	18:57:23.537	120.162	26.761	OK	11-11-2025	18:57:23.537	120.162	1012	OK
11-11-2025	18:57:28.521	125.146	196.864	21.907	454	0	OK	11-11-2025	18:57:28.521	125.146	26.760	OK	11-11-2025	18:57:28.521	125.146	1012	OK
11-11-2025	18:57:33.522	130.147	197.013	21.899	454	-1	OK	11-11-2025	18:57:33.522	130.147	26.759	OK	11-11-2025	18:57:33.522	130.147	1012	OK
11-11-2025	18:57:38.522	135.147	196.859	21.907	454	0	OK	11-11-2025	18:57:38.522	135.147	26.761	OK	11-11-2025	18:57:38.522	135.147	1012	OK
11-11-2025	18:57:43.520	140.145	196.727	21.914	454	0	OK	11-11-2025	18:57:43.520	140.145	26.762	OK	11-11-2025	18:57:43.520	140.145	1012	OK
11-11-2025	18:57:48.524	145.149	196.586	21.921	454	0	OK	11-11-2025	18:57:48.524	145.149	26.765	OK	11-11-2025	18:57:48.524	145.149	1012	OK
11-11-2025	18:57:53.520	150.145	196.691	21.916	454	0	OK	11-11-2025	18:57:53.520	150.145	26.762	OK	11-11-2025	18:57:53.520	150.145	1012	OK
11-11-2025	18:57:58.523	155.148	196.792	21.909	454	-1	OK	11-11-2025	18:57:58.523	155.148	26.767	OK	11-11-2025	18:57:58.523	155.148	1012	OK
11-11-2025	18:58:03.523	160.148	196.617	21.919	454	-1	OK	11-11-2025	18:58:03.523	160.148	26.766	OK	11-11-2025	18:58:03.523	160.148	1012	OK
11-11-2025	18:58:08.521	165.146	196.748	21.912	454	-1	OK	11-11-2025	18:58:08.521	165.146	26.765	OK	11-11-2025	18:58:08.521	165.146	1012	OK
11-11-2025	18:58:13.521	170.146	196.694	21.915	454	-1	OK	11-11-2025	18:58:13.521	170.146	26.765	OK	11-11-2025	18:58:13.521	170.146	1012	OK
11-11-2025	18:58:18.520	175.145	196.840	21.908	454	-1	OK	11-11-2025	18:58:18.520	175.145	26.761	OK	11-11-2025	18:58:18.520	175.145	1012	OK
11-11-2025	18:58:23.524	180.149	196.645	21.918	454	-1	OK	11-11-2025	18:58:23.524	180.149	26.764	OK	11-11-2025	18:58:23.524	180.149	1012	OK
11-11-2025	18:58:28.522	185.147	196.686	21.916	454	0	OK	11-11-2025	18:58:28.522	185.147	26.763	OK	11-11-2025	18:58:28.522	185.147	1012	OK
11-11-2025	18:58:33.523	190.148	196.588	21.922	454	-1	OK	11-11-2025	18:58:33.523	190.148	26.761	OK	11-11-2025	18:58:33.523	190.148	1012	OK
11-11-2025	18:58:38.525	195.151	196.817	21.909	454	-1	OK	11-11-2025	18:58:38.525	195.151	26.762	OK	11-11-2025	18:58:38.525	195.151	1012	OK
11-11-2025	18:58:43.524	200.149	196.699	21.915	454	-1	OK	11-11-2025	18:58:43.524	200.149	26.764	OK	11-11-2025	18:58:43.524	200.149	1012	OK
11-11-2025	18:58:48.525	205.151	196.758	21.912	454	-1	OK	11-11-2025	18:58:48.525	205.151	26.763	OK	11-11-2025	18:58:48.525	205.151	1012	OK
11-11-2025	18:58:53.523	210.148	196.689	21.915	454	-1	OK	11-11-2025	18:58:53.523	210.148	26.766	OK	11-11-2025	18:58:53.523	210.148	1012	OK
11-11-2025	18:58:58.599	215.224	196.702	21.914	454	-1	OK	11-11-2025	18:58:58.599	215.224	26.767	OK	11-11-2025	18:58:58.599	215.224	1012	OK
11-11-2025	18:59:03.674	220.299	196.625	21.918	454	-1	OK	11-11-2025	18:59:03.674	220.299	26.768	OK	11-11-2025	18:59:03.674	220.299	1012	OK
11-11-2025	18:59:08.670	225.295	196.597	21.919	454	-1	OK	11-11-2025	18:59:08.670	225.295	26.770	OK	11-11-2025	18:59:08.670	225.295	1012	OK
11-11-2025	18:59:13.672	230.297	196.697	21.914	454	-1	OK	11-11-2025	18:59:13.672	230.297	26.768	OK	11-11-2025	18:59:13.672	230.297	1012	OK
11-11-2025	18:59:18.672	235.297	196.710	21.913	454	-1	OK	11-11-2025	18:59:18.672	235.297	26.769	OK	11-11-2025	18:59:18.672	235.297	1012	OK
11-11-2025	18:59:23.679	240.304	196.806	21.908	454	-1	OK	11-11-2025	18:59:23.679	240.304	26.768	OK	11-11-2025	18:59:23.679	240.304	1012	OK
