
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 2
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.170	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.638	1009	100.000	20.950	48.700	6.708	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.170	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.633	1009	100.000	20.950	48.700	6.572	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.170	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.610	1009	100.000	20.950	48.700	6.627	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.170	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.603	1009	100.000	20.950	48.700	6.619	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.170	
Data	Smoothing:	3	
Date:	11/12/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/12/2025	19:11:49	0.00		204.82	196.96	195.76	202.65	26.415	26.415	26.415	26.415	1009.27	71.595	26.415	---	---	6.787	6.840	6.926	6.747	31.778	51.610	40.511	53.734	0.610	0.610	0.610	0.610	
11/12/2025	19:11:54	5.00		204.72	197.13	195.51	202.50	26.414	26.414	26.414	26.414	1009.28	71.539	26.414	---	---	6.789	6.836	6.933	6.751	31.782	51.610	40.529	53.737	0.610	0.610	0.610	0.610	
11/12/2025	19:11:59	10.00		204.45	197.25	195.72	202.64	26.414	26.414	26.414	26.414	1009.31	71.494	26.414	---	---	6.796	6.833	6.927	6.747	31.779	51.612	40.538	53.738	0.610	0.610	0.610	0.610	
11/12/2025	19:12:04	15.00		204.70	196.90	195.73	202.75	26.413	26.413	26.413	26.413	1009.30	71.445	26.413	---	---	6.790	6.842	6.927	6.745	31.785	51.609	40.542	53.737	0.610	0.610	0.610	0.610	
11/12/2025	19:12:09	20.00		204.92	196.87	196.13	202.58	26.412	26.412	26.412	26.412	1009.29	71.410	26.412	---	---	6.785	6.843	6.917	6.749	31.781	51.611	40.541	53.731	0.610	0.610	0.610	0.610	
11/12/2025	19:12:14	25.00		205.18	196.77	195.89	202.44	26.410	26.410	26.410	26.410	1009.29	71.382	26.410	---	---	6.779	6.846	6.923	6.753	31.780	51.609	40.545	53.730	0.610	0.610	0.610	0.610	
11/12/2025	19:12:19	30.00		204.88	197.17	196.16	202.50	26.409	26.409	26.409	26.409	1009.27	71.374	26.409	---	---	6.786	6.836	6.917	6.751	31.779	51.607	40.543	53.730	0.610	0.610	0.610	0.610	
11/12/2025	19:12:24	35.00		204.96	197.09	196.07	202.67	26.408	26.408	26.408	26.408	1009.27	71.382	26.408	---	---	6.784	6.838	6.919	6.747	31.782	51.603	40.540	53.731	0.610	0.610	0.610	0.610	
11/12/2025	19:12:29	40.00		204.65	196.97	196.09	202.84	26.407	26.407	26.407	26.407	1009.26	71.371	26.407	---	---	6.792	6.841	6.919	6.743	31.786	51.597	40.540	53.734	0.610	0.610	0.610	0.610	
11/12/2025	19:12:34	45.00		205.12	196.84	195.98	202.68	26.407	26.407	26.407	26.407	1009.26	71.371	26.407	---	---	6.781	6.845	6.921	6.747	31.786	51.593	40.545	53.736	0.610	0.610	0.610	0.610	
11/12/2025	19:12:39	50.00		204.94	196.65	195.85	202.63	26.406	26.406	26.406	26.406	1009.26	71.364	26.406	---	---	6.785	6.849	6.925	6.749	31.781	51.595	40.550	53.743	0.610	0.610	0.610	0.610	
11/12/2025	19:12:44	55.00		205.27	196.62	195.87	202.29	26.407	26.407	26.407	26.407	1009.26	71.364	26.407	---	---	6.777	6.850	6.924	6.757	31.778	51.594	40.547	53.750	0.610	0.610	0.610	0.610	
11/12/2025	19:12:49	60.00		204.96	196.44	195.92	202.33	26.407	26.407	26.407	26.407	1009.29	71.326	26.407	---	---	6.785	6.854	6.923	6.756	31.775	51.598	40.542	53.758	0.610	0.610	0.610	0.610	
