seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,19:12:19,204.06,202.64,199.95,203.42,26.509
5.0,0.001388889,19:12:24,204.04,202.63,199.94,203.39,26.51
10.0,0.002777778,19:12:29,204.01,202.62,199.94,203.42,26.511
15.0,0.004166667,19:12:34,204.0,202.63,199.95,203.43,26.511
20.0,0.005555556,19:12:39,204.02,202.6,199.93,203.44,26.511
25.0,0.006944444,19:12:44,204.03,202.57,199.91,203.41,26.512
30.0,0.008333333,19:12:49,204.0,202.52,199.86,203.35,26.519
35.0,0.009722222,19:12:54,204.01,202.51,199.83,203.3,26.522
40.0,0.011111111,19:12:59,203.98,202.47,199.77,203.24,26.527
45.0,0.012500000,19:13:04,203.99,202.46,199.73,203.29,26.525
50.0,0.013888889,19:13:09,203.96,202.45,199.7,203.27,26.527
55.0,0.015277778,19:13:14,203.96,202.44,199.69,203.3,26.528
60.0,0.016666667,19:13:19,203.96,202.43,199.68,203.3,26.53
65.0,0.018055556,19:13:24,203.92,202.35,199.7,203.27,26.535
70.0,0.019444444,19:13:29,203.93,202.34,199.72,203.23,26.536
75.0,0.020833333,19:13:34,203.91,202.31,199.71,203.19,26.538
80.0,0.022222222,19:13:39,203.9,202.33,199.62,203.21,26.541
85.0,0.023611111,19:13:44,203.9,202.32,199.6,203.21,26.542
90.0,0.025000000,19:13:49,203.91,202.29,199.57,203.19,26.546
95.0,0.026388889,19:13:54,203.91,202.27,199.62,203.16,26.546
100.0,0.027777778,19:13:59,203.89,202.26,199.57,203.15,26.545
105.0,0.029166667,19:14:04,203.9,202.25,199.55,203.09,26.545
110.0,0.030555556,19:14:09,203.91,202.23,199.51,203.11,26.546
115.0,0.031944444,19:14:14,203.91,202.23,199.53,203.11,26.546
120.0,0.033333333,19:14:19,203.88,202.19,199.48,203.13,26.547
125.0,0.034722222,19:14:24,203.87,202.2,199.45,203.13,26.545
130.0,0.036111111,19:14:29,203.87,202.19,199.46,203.11,26.548
135.0,0.037500000,19:14:34,203.85,202.19,199.49,203.1,26.548
140.0,0.038888889,19:14:39,203.82,202.16,199.5,203.04,26.551
145.0,0.040277778,19:14:44,203.8,202.15,199.45,203.05,26.552
150.0,0.041666667,19:14:49,203.81,202.15,199.42,203.04,26.553
155.0,0.043055556,19:14:54,203.82,202.15,199.37,203.04,26.554
160.0,0.044444444,19:14:59,203.85,202.11,199.37,203.0,26.556
165.0,0.045833333,19:15:04,203.83,202.08,199.37,203.01,26.555
170.0,0.047222222,19:15:09,203.84,202.06,199.35,203.0,26.556
175.0,0.048611111,19:15:14,203.81,202.05,199.31,203.03,26.558
180.0,0.050000000,19:15:19,203.8,202.03,199.28,203.03,26.561
185.0,0.051388889,19:15:24,203.79,201.99,199.26,203.02,26.562
190.0,0.052777778,19:15:29,203.79,201.97,199.27,202.97,26.562
195.0,0.054166667,19:15:34,203.79,201.94,199.26,202.9,26.564
200.0,0.055555556,19:15:39,203.77,201.94,199.27,202.89,26.566
205.0,0.056944444,19:15:44,203.73,201.92,199.25,202.87,26.569
