
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-525-209	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-525-209	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-525-209	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-525-209	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	5.930	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	24.228	1009	100.000	20.950	52.500	21.373	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.930	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	24.231	1009	100.000	20.950	52.500	21.342	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.930	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	24.260	1009	100.000	20.950	52.500	21.164	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.930	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	24.268	1009	100.000	20.950	52.500	21.248	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.930	
Data	Smoothing:	3	
Date:	11/12/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/12/2025	19:12:19	0.00		204.06	202.64	199.95	203.42	26.509	26.509	26.509	26.509	1009.27	68.407	26.509	---	---	21.358	21.405	21.380	21.271	506.271	382.652	449.207	262.744	7.311	7.595	7.332	7.364	
11/12/2025	19:12:24	5.00		204.04	202.63	199.94	203.39	26.510	26.510	26.510	26.510	1009.23	68.396	26.510	---	---	21.359	21.405	21.381	21.273	506.249	382.643	449.257	262.747	7.281	7.623	7.332	7.364	
11/12/2025	19:12:29	10.00		204.01	202.62	199.94	203.42	26.511	26.511	26.511	26.511	1009.25	68.396	26.511	---	---	21.360	21.406	21.381	21.271	506.225	382.641	449.306	262.733	7.287	7.669	7.328	7.351	
11/12/2025	19:12:34	15.00		204.00	202.63	199.95	203.43	26.511	26.511	26.511	26.511	1009.21	68.396	26.511	---	---	21.360	21.405	21.380	21.270	506.205	382.641	449.368	262.737	7.291	7.659	7.349	7.338	
11/12/2025	19:12:39	20.00		204.02	202.60	199.93	203.44	26.511	26.511	26.511	26.511	1009.26	68.396	26.511	---	---	21.359	21.407	21.381	21.270	506.190	382.643	449.436	262.740	7.327	7.591	7.374	7.332	
11/12/2025	19:12:44	25.00		204.03	202.57	199.91	203.41	26.512	26.512	26.512	26.512	1009.28	68.419	26.512	---	---	21.358	21.408	21.382	21.271	506.164	382.641	449.507	262.760	7.332	7.555	7.396	7.330	
11/12/2025	19:12:49	30.00		204.00	202.52	199.86	203.35	26.519	26.519	26.519	26.519	1009.26	68.430	26.519	---	---	21.358	21.409	21.383	21.272	506.138	382.643	449.557	262.766	7.315	7.555	7.389	7.329	
11/12/2025	19:12:54	35.00		204.01	202.51	199.83	203.30	26.522	26.522	26.522	26.522	1009.24	68.437	26.522	---	---	21.357	21.409	21.384	21.274	506.119	382.642	449.613	262.780	7.311	7.549	7.393	7.333	
11/12/2025	19:12:59	40.00		203.98	202.47	199.77	203.24	26.527	26.527	26.527	26.527	1009.23	68.445	26.527	---	---	21.357	21.410	21.386	21.276	506.106	382.652	449.658	262.785	7.329	7.532	7.365	7.348	
11/12/2025	19:13:04	45.00		203.99	202.46	199.73	203.29	26.525	26.525	26.525	26.525	1009.30	68.442	26.525	---	---	21.357	21.411	21.388	21.274	506.093	382.657	449.704	262.779	7.308	7.567	7.390	7.366	
11/12/2025	19:13:09	50.00		203.96	202.45	199.70	203.27	26.527	26.527	26.527	26.527	1009.31	68.462	26.527	---	---	21.358	21.411	21.390	21.275	506.075	382.665	449.756	262.772	7.301	7.574	7.364	7.389	
11/12/2025	19:13:14	55.00		203.96	202.44	199.69	203.30	26.528	26.528	26.528	26.528	1009.31	68.473	26.528	---	---	21.358	21.411	21.390	21.273	506.065	382.670	449.806	262.758	7.301	7.558	7.386	7.417	
11/12/2025	19:13:19	60.00		203.96	202.43	199.68	203.30	26.530	26.530	26.530	26.530	1009.29	68.462	26.530	---	---	21.358	21.411	21.390	21.272	506.061	382.674	449.874	262.754	7.317	7.549	7.384	7.389	
