dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
0.087,,,,,,,200.924,26.494,1011.0,,,,2.4166666666666663e-05,26.494,,200.924,,
10.088,,,,,,,200.971,26.492,1011.0,,,,0.0028022222222222,26.492,,200.971,,
100.09,,,,,,,200.88,26.488,1011.0,,,,0.0278027777777777,26.488,,200.88,,
1000.135,,,,,,,197.827,26.534,1011.0,,,,0.2778152777777777,26.534,,197.827,,
10000.438,172.031,26.722,1013.0,,,,,,,,,,2.7778994444444445,26.722,,,,172.031
10000.673,,,,,,,180.587,26.722,1013.0,,,,2.7779647222222223,26.722,,180.587,,
10003.611,,,,,,,,,,169.721,26.723,1013.0,2.7787808333333337,26.723,,,169.721,
10004.204,,,,204.478,26.72,1013.0,,,,,,,2.7789455555555556,26.72,204.478,,,
10005.439,171.899,26.72,1013.0,,,,,,,,,,2.7792886111111113,26.72,,,,171.899
10005.675,,,,,,,180.584,26.719,1013.0,,,,2.7793541666666663,26.719,,180.584,,
10008.61,,,,,,,,,,169.64,26.724,1013.0,2.7801694444444447,26.724,,,169.64,
10009.206,,,,204.501,26.723,1013.0,,,,,,,2.780335,26.723,204.501,,,
10010.439,171.82,26.72,1013.0,,,,,,,,,,2.7806775,26.72,,,,171.82
10010.673,,,,,,,180.502,26.719,1013.0,,,,2.7807425,26.719,,180.502,,
10013.611,,,,,,,,,,169.497,26.718,1013.0,2.7815586111111115,26.718,,,169.497,
10014.205,,,,204.483,26.719,1013.0,,,,,,,2.781723611111111,26.719,204.483,,,
10015.439,171.874,26.722,1013.0,,,,,,,,,,2.782066388888889,26.722,,,,171.874
10015.674,,,,,,,180.497,26.72,1013.0,,,,2.782131666666667,26.72,,180.497,,
10018.61,,,,,,,,,,169.591,26.721,1013.0,2.7829472222222225,26.721,,,169.591,
10019.204,,,,204.411,26.722,1013.0,,,,,,,2.783112222222222,26.722,204.411,,,
1002.985,,,,,,,,,,187.379,26.538,1011.0,0.2786069444444444,26.538,,,187.379,
10020.438,171.792,26.723,1013.0,,,,,,,,,,2.783455,26.723,,,,171.792
10020.673,,,,,,,180.495,26.724,1013.0,,,,2.783520277777778,26.724,,180.495,,
10023.611,,,,,,,,,,169.554,26.719,1013.0,2.7843363888888892,26.719,,,169.554,
10024.204,,,,204.288,26.72,1013.0,,,,,,,2.784501111111111,26.72,204.288,,,
10025.438,171.876,26.718,1013.0,,,,,,,,,,2.784843888888889,26.718,,,,171.876
10025.673,,,,,,,180.539,26.718,1013.0,,,,2.784909166666667,26.718,,180.539,,
10028.611,,,,,,,,,,169.556,26.722,1013.0,2.785725277777778,26.722,,,169.556,
10029.206,,,,204.677,26.722,1013.0,,,,,,,2.7858905555555555,26.722,204.677,,,
1003.667,,,,214.542,26.541,1011.0,,,,,,,0.2787963888888889,26.541,214.542,,,
10030.446,171.847,26.721,1013.0,,,,,,,,,,2.786235,26.721,,,,171.847
10030.673,,,,,,,180.575,26.721,1013.0,,,,2.7862980555555557,26.721,,180.575,,
10033.612,,,,,,,,,,169.586,26.715,1013.0,2.787114444444444,26.715,,,169.586,
10034.205,,,,204.347,26.716,1013.0,,,,,,,2.7872791666666665,26.716,204.347,,,
10035.439,171.896,26.717,1013.0,,,,,,,,,,2.787621944444445,26.717,,,,171.896
10035.674,,,,,,,180.494,26.717,1013.0,,,,2.7876872222222224,26.717,,180.494,,
