
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	6.700	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.402	1009	100.000	20.950	52.300	19.919	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.700	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.321	1009	100.000	20.950	52.300	19.885	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.700	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.266	1009	100.000	20.950	52.300	19.836	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.700	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.188	1009	100.000	20.950	52.300	19.893	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.700	
Data	Smoothing:	3	
Date:	11/14/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/14/2025	08:36:44	0.00		193.11	---	192.20	193.85	26.988	26.988	26.988	26.988	1011.77	70.589	26.988	---	---	20.565	-179.256	20.522	20.479	690.115	0.975	459.304	584.988	7.395	7.794	7.466	7.436	
11/14/2025	08:36:49	5.00		193.16	---	192.19	193.85	26.990	26.990	26.990	26.990	1011.76	70.589	26.990	---	---	20.561	-179.269	20.522	20.478	689.948	0.976	459.277	584.937	7.406	7.815	7.486	7.430	
11/14/2025	08:36:54	10.00		193.22	---	192.19	193.84	26.991	26.991	26.991	26.991	1011.74	70.589	26.991	---	---	20.558	-179.457	20.522	20.479	689.799	0.977	459.257	584.897	7.412	7.837	7.455	7.411	
11/14/2025	08:36:59	15.00		193.25	---	192.18	193.79	26.996	26.996	26.996	26.996	1011.73	70.561	26.996	---	---	20.555	-179.655	20.521	20.480	689.646	0.973	459.236	584.868	7.426	7.813	7.424	7.400	
11/14/2025	08:37:04	20.00		193.30	---	192.17	193.78	26.996	26.996	26.996	26.996	1011.74	70.533	26.996	---	---	20.552	-179.622	20.522	20.481	689.508	0.974	459.205	584.854	7.435	7.809	7.408	7.391	
11/14/2025	08:37:09	25.00		193.35	---	192.16	193.74	26.997	26.997	26.997	26.997	1011.80	70.505	26.997	---	---	20.549	-179.520	20.522	20.482	689.367	0.973	459.185	584.831	7.432	7.804	7.387	7.412	
11/14/2025	08:37:14	30.00		193.37	---	192.13	193.77	26.999	26.999	26.999	26.999	1011.78	70.494	26.999	---	---	20.547	-179.534	20.523	20.480	689.239	0.976	459.160	584.820	7.419	7.798	7.404	7.416	
11/14/2025	08:37:19	35.00		193.41	---	192.12	193.79	27.000	27.000	27.000	27.000	1011.76	70.476	27.000	---	---	20.544	-179.533	20.524	20.479	689.122	0.976	459.146	584.792	7.379	7.800	7.409	7.419	
11/14/2025	08:37:24	40.00		193.42	---	192.10	193.80	27.002	27.002	27.002	27.002	1011.73	70.459	27.002	---	---	20.543	-179.624	20.524	20.478	689.013	0.976	459.121	584.753	7.422	7.784	7.441	7.422	
11/14/2025	08:37:29	45.00		193.47	---	192.12	193.75	27.001	27.001	27.001	27.001	1011.74	70.436	27.001	---	---	20.541	-179.625	20.523	20.481	688.914	0.976	459.112	584.709	7.423	7.790	7.448	7.421	
11/14/2025	08:37:34	50.00		193.50	---	192.12	193.75	27.002	27.002	27.002	27.002	1011.77	70.408	27.002	---	---	20.539	-179.711	20.523	20.481	688.817	0.976	459.095	584.687	7.440	7.785	7.439	7.418	
11/14/2025	08:37:39	55.00		193.56	---	192.11	193.75	27.001	27.001	27.001	27.001	1011.77	70.403	27.001	---	---	20.535	-179.835	20.524	20.481	688.723	0.975	459.079	584.671	7.396	7.773	7.434	7.398	
11/14/2025	08:37:44	60.00		193.60	---	192.10	193.77	27.001	27.001	27.001	27.001	1011.77	70.403	27.001	---	---	20.533	-179.761	20.524	20.480	688.638	0.975	459.062	584.649	7.387	7.764	7.470	7.384	
11/14/2025	08:37:49	65.00		193.63	---	192.12	193.78	26.998	26.998	26.998	26.998	1011.74	70.416	26.998	---	---	20.532	-179.778	20.524	20.480	688.557	0.977	459.038	584.613	7.400	7.754	7.482	7.432	
