#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial4-newbox-13Nov
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - TD7-487-066 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	128 ms	30% (D)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/31/2000	11/13/2025	6.600	47.576	0.827000	0.075000	470	-0.350000	0.874000	0.584349	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	27.174	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
13-11-2025	18:52:04.389	0.929	192.320663	6.848000	40	0	OK	13-11-2025	18:52:04.389	0.929	27.010	OK	13-11-2025	18:52:04.389	0.929	1012	OK
13-11-2025	18:52:09.387	5.926	193.194946	6.826000	40	0	OK	13-11-2025	18:52:09.387	5.926	27.008	OK	13-11-2025	18:52:09.387	5.926	1012	OK
13-11-2025	18:52:14.388	10.928	191.825867	6.860000	40	0	OK	13-11-2025	18:52:14.388	10.928	27.015	OK	13-11-2025	18:52:14.388	10.928	1012	OK
13-11-2025	18:52:19.388	15.927	193.265961	6.823000	41	0	OK	13-11-2025	18:52:19.388	15.927	27.017	OK	13-11-2025	18:52:19.388	15.927	1012	OK
13-11-2025	18:52:24.389	20.929	191.859665	6.859000	41	0	OK	13-11-2025	18:52:24.389	20.929	27.016	OK	13-11-2025	18:52:24.389	20.929	1012	OK
13-11-2025	18:52:29.388	25.928	192.451126	6.844000	41	0	OK	13-11-2025	18:52:29.388	25.928	27.015	OK	13-11-2025	18:52:29.388	25.928	1012	OK
13-11-2025	18:52:34.389	30.929	193.650330	6.813000	41	0	OK	13-11-2025	18:52:34.389	30.929	27.019	OK	13-11-2025	18:52:34.389	30.929	1012	OK
13-11-2025	18:52:39.390	35.930	192.299774	6.848000	41	0	OK	13-11-2025	18:52:39.390	35.930	27.014	OK	13-11-2025	18:52:39.390	35.930	1012	OK
13-11-2025	18:52:44.390	40.930	194.637573	6.788000	41	0	OK	13-11-2025	18:52:44.390	40.930	27.020	OK	13-11-2025	18:52:44.390	40.930	1012	OK
13-11-2025	18:52:49.390	45.930	191.581741	6.866000	41	0	OK	13-11-2025	18:52:49.390	45.930	27.017	OK	13-11-2025	18:52:49.390	45.930	1012	OK
13-11-2025	18:52:54.392	50.932	193.108353	6.827000	41	0	OK	13-11-2025	18:52:54.392	50.932	27.017	OK	13-11-2025	18:52:54.392	50.932	1012	OK
13-11-2025	18:52:59.387	55.927	193.563324	6.816000	41	0	OK	13-11-2025	18:52:59.387	55.927	27.013	OK	13-11-2025	18:52:59.387	55.927	1012	OK
13-11-2025	18:53:04.390	60.929	193.394821	6.820000	41	0	OK	13-11-2025	18:53:04.390	60.929	27.015	OK	13-11-2025	18:53:04.390	60.929	1012	OK
13-11-2025	18:53:09.390	65.930	192.720459	6.837000	41	0	OK	13-11-2025	18:53:09.390	65.930	27.016	OK	13-11-2025	18:53:09.390	65.930	1012	OK
13-11-2025	18:53:14.391	70.930	190.927261	6.883000	41	0	OK	13-11-2025	18:53:14.391	70.930	27.016	OK	13-11-2025	18:53:14.391	70.930	1012	OK
