#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial4-newbox-13Nov
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
13-11-2025	18:52:03.507	0.047	27.011	OK
13-11-2025	18:52:08.507	5.047	27.013	OK
13-11-2025	18:52:13.507	10.047	27.015	OK
13-11-2025	18:52:18.507	15.047	27.016	OK
13-11-2025	18:52:23.508	20.047	27.014	OK
13-11-2025	18:52:28.509	25.049	27.014	OK
13-11-2025	18:52:33.509	30.049	27.017	OK
13-11-2025	18:52:38.509	35.049	27.014	OK
13-11-2025	18:52:43.511	40.051	27.019	OK
13-11-2025	18:52:48.511	45.050	27.017	OK
13-11-2025	18:52:53.511	50.050	27.016	OK
13-11-2025	18:52:58.514	55.054	27.012	OK
13-11-2025	18:53:03.515	60.055	27.015	OK
13-11-2025	18:53:08.514	65.054	27.019	OK
13-11-2025	18:53:13.514	70.054	27.016	OK
13-11-2025	18:53:18.518	75.058	27.012	OK
13-11-2025	18:53:23.517	80.056	27.017	OK
13-11-2025	18:53:28.517	85.057	27.014	OK
13-11-2025	18:53:33.518	90.058	27.021	OK
13-11-2025	18:53:38.519	95.059	27.019	OK
13-11-2025	18:53:43.518	100.058	27.018	OK
13-11-2025	18:53:48.519	105.058	27.018	OK
13-11-2025	18:53:53.520	110.059	27.019	OK
13-11-2025	18:53:58.520	115.060	27.019	OK
13-11-2025	18:54:03.519	120.058	27.021	OK
13-11-2025	18:54:08.520	125.060	27.018	OK
13-11-2025	18:54:13.519	130.059	27.021	OK
13-11-2025	18:54:18.519	135.059	27.018	OK
13-11-2025	18:54:23.519	140.059	27.020	OK
13-11-2025	18:54:27.433	143.972	27.019	OK
13-11-2025	18:54:32.432	148.972	27.019	OK
13-11-2025	18:54:37.433	153.973	27.019	OK
13-11-2025	18:54:42.436	158.976	27.021	OK
13-11-2025	18:54:47.436	163.976	27.019	OK
13-11-2025	18:54:52.435	168.975	27.019	OK
13-11-2025	18:54:57.434	173.974	27.023	OK
13-11-2025	18:55:02.435	178.975	27.024	OK
13-11-2025	18:55:07.436	183.976	27.022	OK
13-11-2025	18:55:12.435	188.975	27.024	OK
13-11-2025	18:55:17.435	193.975	27.022	OK
13-11-2025	18:55:22.435	198.974	27.021	OK
13-11-2025	18:55:27.434	203.974	27.025	OK
13-11-2025	18:55:32.436	208.975	27.023	OK
13-11-2025	18:55:37.434	213.974	27.023	OK
13-11-2025	18:55:42.434	218.974	27.020	OK
13-11-2025	18:55:47.434	223.974	27.021	OK
13-11-2025	18:55:52.434	228.974	27.025	OK
13-11-2025	18:55:57.435	233.975	27.022	OK
13-11-2025	18:56:02.434	238.974	27.020	OK
13-11-2025	18:56:07.435	243.975	27.023	OK
13-11-2025	18:56:12.436	248.975	27.024	OK
13-11-2025	18:56:17.437	253.976	27.021	OK
13-11-2025	18:56:22.437	258.977	27.023	OK
13-11-2025	18:56:27.437	263.976	27.023	OK
13-11-2025	18:56:32.437	268.977	27.027	OK
13-11-2025	18:56:37.437	273.976	27.024	OK
13-11-2025	18:56:42.436	278.976	27.024	OK
13-11-2025	18:56:47.436	283.976	27.023	OK
13-11-2025	18:56:52.438	288.978	27.023	OK
13-11-2025	18:56:57.437	293.977	27.024	OK
13-11-2025	18:57:02.437	298.977	27.024	OK
13-11-2025	18:57:07.438	303.978	27.029	OK
13-11-2025	18:57:12.437	308.977	27.025	OK
13-11-2025	18:57:17.437	313.977	27.023	OK
13-11-2025	18:57:22.436	318.976	27.024	OK
13-11-2025	18:57:27.437	323.977	27.026	OK
13-11-2025	18:57:32.438	328.977	27.027	OK
13-11-2025	18:57:37.438	333.977	27.021	OK
13-11-2025	18:57:42.437	338.977	27.025	OK
