seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
1.031,0.00028638888888888887,08:37:28.266,211.952,204.595,204.34,206.437,26.164
6.031,0.0016752777777777777,08:37:33.266,212.047,204.82,204.37,206.332,26.161
11.031,0.003064166666666667,08:37:38.266,212.05,204.614,204.246,205.726,26.164
16.029,0.0044525,08:37:43.265,212.126,204.554,204.318,205.459,26.161
21.03,0.005841666666666667,08:37:48.265,212.018,204.616,204.178,205.005,26.159
25.959,0.007210833333333333,08:37:53.194,212.165,204.478,204.318,204.747,26.161
30.96,0.0086,08:37:58.195,211.887,204.357,204.052,204.339,26.165
35.958,0.009988333333333333,08:38:03.194,212.083,204.494,203.937,203.849,26.158
41.035,0.01139861111111111,08:38:08.270,212.307,204.273,204.189,203.634,26.164
46.104,0.012806666666666666,08:38:13.339,212.025,204.514,204.095,203.301,26.165
51.103,0.014195277777777779,08:38:18.338,211.973,204.327,203.959,203.138,26.16
56.105,0.015584722222222222,08:38:23.340,212.137,204.205,203.989,202.71,26.159
61.109,0.016974722222222224,08:38:28.344,211.846,204.475,203.975,202.408,26.158
66.104,0.01836222222222222,08:38:33.340,212.047,204.327,203.94,202.055,26.161
71.104,0.01975111111111111,08:38:38.339,211.999,204.224,203.937,201.789,26.159
76.183,0.021161944444444445,08:38:43.418,211.943,204.17,203.973,201.287,26.162
81.104,0.02252888888888889,08:38:48.340,211.954,204.199,203.927,201.353,26.16
86.18,0.02393888888888889,08:38:53.415,211.909,204.124,203.832,201.148,26.161
91.181,0.025328055555555555,08:38:58.416,211.934,204.1,203.795,200.533,26.16
96.182,0.026717222222222222,08:39:03.417,211.878,204.014,203.741,200.48,26.163
101.183,0.02810638888888889,08:39:08.418,211.923,204.076,203.841,200.17,26.162
106.185,0.029495833333333332,08:39:13.421,211.937,204.108,203.704,199.923,26.163
111.18,0.030883333333333336,08:39:18.416,212.03,203.952,203.623,199.955,26.164
116.182,0.032272777777777775,08:39:23.417,211.76,203.862,203.614,199.627,26.163
121.186,0.03366277777777778,08:39:28.422,211.988,203.967,203.582,199.286,26.161
126.186,0.03505166666666667,08:39:33.421,211.712,203.892,203.582,199.194,26.161
131.182,0.03643944444444444,08:39:38.418,211.954,203.878,203.644,199.107,26.16
136.182,0.03782833333333333,08:39:43.418,211.728,204.062,203.582,198.789,26.158
141.185,0.039218055555555555,08:39:48.420,211.742,203.846,203.498,198.688,26.159
146.183,0.040606388888888886,08:39:53.418,211.841,203.808,203.63,198.468,26.159
151.112,0.04197555555555555,08:39:58.347,211.776,203.902,203.625,198.394,26.16
156.186,0.043385,08:40:03.422,211.697,203.84,203.493,198.169,26.16
161.183,0.04477305555555555,08:40:08.418,211.877,203.81,203.538,198.158,26.156
166.187,0.04616305555555556,08:40:13.422,211.595,203.762,203.509,198.056,26.157
171.189,0.0475525,08:40:18.425,211.57,203.926,203.56,197.904,26.158
176.189,0.04894138888888889,08:40:23.424,211.599,203.959,203.644,197.698,26.16
181.187,0.05032972222222223,08:40:28.422,211.9,203.714,203.536,197.552,26.159
186.113,0.05169805555555555,08:40:33.348,211.751,203.741,203.639,197.474,26.161
191.114,0.05308722222222222,08:40:38.350,211.447,203.582,203.592,197.374,26.159
196.117,0.05447694444444444,08:40:43.353,211.751,203.83,203.525,197.19,26.161
201.044,0.05584555555555556,08:40:48.279,211.594,203.816,203.563,197.195,26.161
206.046,0.057235,08:40:53.281,211.629,203.643,203.687,197.028,26.158
211.044,0.05862333333333334,08:40:58.279,211.674,203.743,203.659,196.906,26.157
215.972,0.059992222222222225,08:41:03.208,211.694,203.643,203.617,196.901,26.157
221.046,0.06140166666666667,08:41:08.282,211.515,203.496,203.606,196.745,26.161
225.973,0.06277027777777779,08:41:13.208,211.475,203.552,203.512,196.576,26.161
231.048,0.06418,08:41:18.283,211.649,203.436,203.522,196.61,26.158
236.045,0.06556805555555555,08:41:23.281,211.708,203.398,203.711,196.446,26.158
241.046,0.06695722222222222,08:41:28.281,211.714,203.649,203.495,196.311,26.157
246.05,0.06834722222222223,08:41:33.285,211.742,203.506,203.592,196.278,26.159
250.976,0.06971555555555556,08:41:38.212,211.579,203.369,203.418,196.128,26.16
255.977,0.07110472222222222,08:41:43.212,211.638,203.595,203.625,196.038,26.16
260.977,0.0724936111111111,08:41:48.212,211.559,203.313,203.568,195.893,26.16
265.976,0.07388222222222222,08:41:53.211,211.627,203.359,203.389,195.973,26.162
270.976,0.07527111111111111,08:41:58.211,211.545,203.6,203.517,195.898,26.159
275.975,0.07665972222222223,08:42:03.211,211.799,203.598,203.421,195.86,26.163
280.977,0.07804916666666666,08:42:08.212,211.545,203.412,203.437,195.862,26.159
285.977,0.07943805555555555,08:42:13.212,211.475,203.402,203.375,195.617,26.161
290.977,0.08082694444444444,08:42:18.212,211.692,203.496,203.407,195.684,26.161
295.974,0.082215,08:42:23.209,211.669,203.323,203.353,195.74,26.158
300.976,0.08360444444444444,08:42:28.211,211.402,203.482,203.286,195.568,26.16
305.976,0.08499333333333334,08:42:33.212,211.619,203.431,203.348,195.464,26.16
310.975,0.08638194444444446,08:42:38.210,211.663,203.619,203.329,195.519,26.159
315.977,0.08777138888888888,08:42:43.212,211.467,203.45,203.367,195.482,26.159
320.978,0.08916055555555556,08:42:48.214,211.633,203.59,203.23,195.527,26.161
325.979,0.09054972222222221,08:42:53.214,211.363,203.463,203.267,195.279,26.16
330.978,0.09193833333333333,08:42:58.214,211.576,203.366,203.151,195.348,26.157
335.98,0.09332777777777779,08:43:03.216,211.447,203.318,203.221,195.091,26.159
340.979,0.09471638888888889,08:43:08.214,211.547,203.395,203.256,195.214,26.155
346.129,0.09614694444444445,08:43:13.364,211.245,203.388,203.267,195.135,26.16
351.129,0.09753583333333334,08:43:18.365,211.311,203.395,203.218,195.142,26.155
356.127,0.09892416666666667,08:43:23.362,211.323,203.294,203.098,194.901,26.16
361.129,0.10031361111111112,08:43:28.364,211.408,203.168,203.066,195.014,26.159
366.128,0.10170222222222222,08:43:33.364,211.338,203.251,203.112,194.986,26.161
371.126,0.10309055555555555,08:43:38.361,211.379,203.291,203.146,194.844,26.157
376.142,0.10448388888888889,08:43:43.377,211.449,203.296,203.119,195.088,26.155
381.131,0.10586972222222221,08:43:48.366,211.352,203.284,203.069,194.783,26.162
386.133,0.10725916666666666,08:43:53.368,211.27,203.369,203.009,194.704,26.159
391.127,0.10864638888888889,08:43:58.363,211.379,203.291,202.963,194.952,26.157
396.214,0.11005944444444445,08:44:03.450,211.349,203.243,203.009,194.745,26.159
401.205,0.11144583333333333,08:44:08.440,211.273,203.256,202.91,194.704,26.162
406.201,0.11283361111111112,08:44:13.437,211.445,203.16,202.97,194.797,26.163
411.199,0.11422194444444445,08:44:18.434,211.372,203.308,202.937,194.573,26.162
416.207,0.11561305555555555,08:44:23.442,211.374,203.299,202.94,194.493,26.158
421.206,0.11700166666666667,08:44:28.442,211.354,203.154,202.996,194.66,26.158
426.206,0.11839055555555555,08:44:33.442,211.438,203.159,202.757,194.539,26.157
431.205,0.11977916666666666,08:44:38.440,211.115,203.264,202.768,194.406,26.155
436.205,0.12116805555555556,08:44:43.441,211.172,203.323,202.803,194.301,26.159
441.202,0.12255611111111112,08:44:48.438,211.236,203.13,202.765,194.458,26.158
446.205,0.12394583333333332,08:44:53.440,211.161,203.232,202.868,194.358,26.161
451.207,0.12533527777777778,08:44:58.443,211.422,203.144,202.685,194.082,26.16
456.204,0.12672333333333333,08:45:03.439,211.272,203.17,202.725,194.258,26.155
461.203,0.12811194444444443,08:45:08.439,211.2,203.157,202.723,194.381,26.161
466.202,0.12950055555555556,08:45:13.437,211.295,203.13,202.897,194.243,26.158
471.205,0.13089027777777779,08:45:18.440,211.231,203.079,202.846,194.064,26.159
476.203,0.1322786111111111,08:45:23.438,211.281,203.234,202.776,194.145,26.157
481.206,0.13366833333333333,08:45:28.442,211.166,203.087,202.755,194.286,26.16
486.208,0.13505777777777778,08:45:33.443,210.998,202.945,202.68,194.107,26.162
491.205,0.13644583333333332,08:45:38.440,210.925,203.138,202.643,194.072,26.161
496.205,0.1378347222222222,08:45:43.440,211.152,203.13,202.803,194.163,26.159
501.205,0.13922361111111112,08:45:48.441,211.127,203.05,202.685,193.969,26.16
506.209,0.14061361111111112,08:45:53.444,210.954,203.278,202.637,194.138,26.163
511.204,0.1420011111111111,08:45:58.440,211.118,203.229,202.621,193.872,26.158
516.209,0.1433913888888889,08:46:03.444,211.077,203.166,202.689,194.097,26.162
521.209,0.14478027777777777,08:46:08.444,211.22,203.157,202.68,193.964,26.161
526.21,0.14616944444444446,08:46:13.446,211.099,203.154,202.64,193.854,26.158
531.211,0.14755861111111113,08:46:18.446,211.239,203.082,202.661,193.929,26.161
536.209,0.14894694444444442,08:46:23.444,211.025,203.164,202.425,193.989,26.157
541.213,0.15033694444444443,08:46:28.448,211.245,202.974,202.723,194.077,26.16
546.207,0.15172416666666666,08:46:33.443,211.129,203.108,202.631,193.953,26.156
551.212,0.15311444444444444,08:46:38.447,211.202,203.103,202.57,194.038,26.157
556.209,0.1545025,08:46:43.444,211.065,203.084,202.551,193.823,26.157
561.209,0.15589138888888887,08:46:48.444,211.208,203.146,202.631,193.828,26.156
566.205,0.15727916666666666,08:46:53.440,210.911,203.205,202.672,193.903,26.16
571.226,0.1586738888888889,08:46:58.461,211.267,203.014,202.631,193.762,26.156
576.206,0.16005722222222224,08:47:03.442,210.883,203.098,202.565,193.676,26.158
581.209,0.16144694444444443,08:47:08.445,211.034,202.998,202.466,193.599,26.159
586.21,0.16283611111111113,08:47:13.445,210.961,203.009,202.495,193.77,26.158
591.212,0.16422555555555554,08:47:18.448,210.911,202.899,202.61,193.684,26.16
596.21,0.1656138888888889,08:47:23.445,210.94,202.945,202.432,193.679,26.162
601.214,0.1670038888888889,08:47:28.449,211.147,203.031,202.503,193.724,26.16
606.213,0.1683925,08:47:33.448,211.09,203.014,202.682,193.556,26.156
611.213,0.16978138888888888,08:47:38.448,211.074,203.036,202.522,193.599,26.159
