dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
0.957,,,,,,,204.595,26.164,1013.0,,,,0.0002658333333333,26.164,,204.595,,
1.031,,,,211.952,26.164,1013.0,,,,,,,0.0002863888888888,26.164,211.952,,,
1.103,,,,,,,,,,204.34,26.164,1013.0,0.0003063888888888,26.164,,,204.34,
1.176,206.437,26.164,1013.0,,,,,,,,,,0.0003266666666666,26.164,,,,206.437
10.957,,,,,,,204.614,26.164,1013.0,,,,0.0030436111111111,26.164,,204.614,,
100.962,,,,,,,204.076,26.162,1013.0,,,,0.028045,26.162,,204.076,,
10001.478,165.07,25.966,1013.0,,,,,,,,,,2.778188333333333,25.966,,,,165.07
10001.549,,,,,,,,,,185.744,25.966,1013.0,2.778208055555556,25.966,,,185.744,
10001.622,,,,,,,196.551,25.966,1013.0,,,,2.7782283333333333,25.966,,196.551,,
10001.693,,,,205.942,25.966,1013.0,,,,,,,2.7782480555555553,25.966,205.942,,,
10006.478,165.06,25.965,1013.0,,,,,,,,,,2.779577222222222,25.965,,,,165.06
10006.551,,,,,,,,,,185.834,25.965,1013.0,2.7795975,25.965,,,185.834,
10006.622,,,,,,,196.147,25.964,1013.0,,,,2.779617222222222,25.964,,196.147,,
10006.694,,,,205.952,25.964,1013.0,,,,,,,2.779637222222222,25.964,205.952,,,
1001.015,,,,210.596,26.153,1013.0,,,,,,,0.2780597222222222,26.153,210.596,,,
1001.09,,,,,,,202.593,26.154,1013.0,,,,0.2780805555555555,26.154,,202.593,,
1001.162,192.647,26.154,1013.0,,,,,,,,,,0.2781005555555556,26.154,,,,192.647
1001.235,,,,,,,,,,201.745,26.154,1013.0,0.2781208333333333,26.154,,,201.745,
10011.478,165.096,25.967,1013.0,,,,,,,,,,2.780966111111111,25.967,,,,165.096
10011.553,,,,,,,,,,185.841,25.967,1013.0,2.7809869444444444,25.967,,,185.841,
10011.624,,,,,,,196.33,25.967,1013.0,,,,2.7810066666666664,25.967,,196.33,,
10011.699,,,,205.898,25.967,1013.0,,,,,,,2.7810275,25.967,205.898,,,
10016.477,164.864,25.966,1013.0,,,,,,,,,,2.7823547222222222,25.966,,,,164.864
10016.55,,,,,,,,,,185.812,25.966,1013.0,2.7823749999999996,25.966,,,185.812,
10016.619,,,,,,,196.154,25.966,1013.0,,,,2.7823941666666667,25.966,,196.154,,
10016.692,,,,205.966,25.965,1013.0,,,,,,,2.782414444444444,25.965,205.966,,,
10021.478,164.948,25.967,1013.0,,,,,,,,,,2.783743888888889,25.967,,,,164.948
10021.551,,,,,,,,,,185.892,25.967,1013.0,2.7837641666666664,25.967,,,185.892,
10021.62,,,,,,,196.348,25.967,1013.0,,,,2.7837833333333335,25.967,,196.348,,
