#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial5-light-newbox-
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
15-11-2025	08:37:27.327	0.092	26.162	OK
15-11-2025	08:37:32.325	5.090	26.161	OK
15-11-2025	08:37:37.325	10.090	26.163	OK
15-11-2025	08:37:42.325	15.090	26.161	OK
15-11-2025	08:37:47.325	20.090	26.159	OK
15-11-2025	08:37:52.327	25.092	26.161	OK
15-11-2025	08:37:57.333	30.097	26.165	OK
15-11-2025	08:38:02.328	35.093	26.159	OK
15-11-2025	08:38:07.328	40.093	26.162	OK
15-11-2025	08:38:12.329	45.093	26.165	OK
15-11-2025	08:38:17.329	50.093	26.162	OK
15-11-2025	08:38:22.327	55.092	26.161	OK
15-11-2025	08:38:27.327	60.092	26.157	OK
15-11-2025	08:38:32.328	65.093	26.160	OK
15-11-2025	08:38:37.329	70.094	26.158	OK
15-11-2025	08:38:42.328	75.092	26.159	OK
15-11-2025	08:38:47.328	80.092	26.159	OK
15-11-2025	08:38:52.329	85.094	26.159	OK
15-11-2025	08:38:57.330	90.094	26.160	OK
15-11-2025	08:39:02.329	95.094	26.162	OK
15-11-2025	08:39:07.330	100.094	26.164	OK
15-11-2025	08:39:12.329	105.094	26.164	OK
15-11-2025	08:39:17.329	110.094	26.164	OK
15-11-2025	08:39:22.330	115.094	26.162	OK
15-11-2025	08:39:27.329	120.093	26.161	OK
15-11-2025	08:39:32.329	125.094	26.159	OK
15-11-2025	08:39:37.329	130.094	26.161	OK
15-11-2025	08:39:42.331	135.096	26.159	OK
15-11-2025	08:39:47.332	140.097	26.162	OK
15-11-2025	08:39:52.331	145.096	26.160	OK
15-11-2025	08:39:57.331	150.096	26.158	OK
15-11-2025	08:40:02.331	155.096	26.160	OK
15-11-2025	08:40:07.332	160.096	26.157	OK
15-11-2025	08:40:12.333	165.098	26.156	OK
15-11-2025	08:40:17.332	170.097	26.159	OK
15-11-2025	08:40:22.332	175.097	26.159	OK
15-11-2025	08:40:27.332	180.097	26.158	OK
15-11-2025	08:40:32.341	185.105	26.159	OK
15-11-2025	08:40:37.332	190.097	26.159	OK
15-11-2025	08:40:42.332	195.096	26.162	OK
15-11-2025	08:40:47.331	200.096	26.160	OK
15-11-2025	08:40:52.332	205.096	26.157	OK
15-11-2025	08:40:57.334	210.099	26.158	OK
15-11-2025	08:41:02.332	215.096	26.157	OK
15-11-2025	08:41:07.333	220.098	26.160	OK
15-11-2025	08:41:12.333	225.098	26.160	OK
15-11-2025	08:41:17.333	230.098	26.159	OK
15-11-2025	08:41:22.332	235.097	26.156	OK
15-11-2025	08:41:27.332	240.097	26.158	OK
15-11-2025	08:41:32.332	245.097	26.158	OK
15-11-2025	08:41:37.333	250.098	26.164	OK
15-11-2025	08:41:42.333	255.098	26.159	OK
15-11-2025	08:41:47.335	260.099	26.160	OK
15-11-2025	08:41:52.335	265.099	26.164	OK
15-11-2025	08:41:57.334	270.099	26.160	OK
15-11-2025	08:42:02.336	275.100	26.162	OK
15-11-2025	08:42:07.337	280.101	26.160	OK
15-11-2025	08:42:12.336	285.101	26.164	OK
15-11-2025	08:42:17.338	290.103	26.159	OK
15-11-2025	08:42:22.336	295.101	26.160	OK
15-11-2025	08:42:27.337	300.101	26.162	OK
15-11-2025	08:42:32.336	305.101	26.160	OK
15-11-2025	08:42:37.337	310.102	26.159	OK
15-11-2025	08:42:42.336	315.101	26.159	OK
15-11-2025	08:42:47.337	320.101	26.163	OK
15-11-2025	08:42:52.338	325.103	26.159	OK
15-11-2025	08:42:57.337	330.102	26.156	OK
15-11-2025	08:43:02.336	335.101	26.159	OK
15-11-2025	08:43:07.338	340.103	26.156	OK
15-11-2025	08:43:12.340	345.105	26.158	OK
15-11-2025	08:43:17.338	350.102	26.157	OK
15-11-2025	08:43:22.337	355.102	26.160	OK
15-11-2025	08:43:27.338	360.103	26.158	OK
15-11-2025	08:43:32.338	365.103	26.159	OK
15-11-2025	08:43:37.338	370.103	26.158	OK
15-11-2025	08:43:42.338	375.103	26.158	OK
15-11-2025	08:43:47.340	380.104	26.162	OK
15-11-2025	08:43:52.338	385.102	26.161	OK
15-11-2025	08:43:57.338	390.103	26.158	OK
15-11-2025	08:44:02.339	395.104	26.160	OK
15-11-2025	08:44:07.338	400.103	26.161	OK
15-11-2025	08:44:12.338	405.103	26.165	OK
15-11-2025	08:44:17.339	410.103	26.160	OK
15-11-2025	08:44:22.338	415.103	26.161	OK
15-11-2025	08:44:27.337	420.102	26.162	OK
15-11-2025	08:44:32.337	425.102	26.157	OK
15-11-2025	08:44:37.339	430.103	26.155	OK
15-11-2025	08:44:42.339	435.104	26.159	OK
15-11-2025	08:44:47.339	440.103	26.158	OK
15-11-2025	08:44:52.339	445.104	26.160	OK
15-11-2025	08:44:57.341	450.106	26.158	OK
15-11-2025	08:45:02.342	455.106	26.156	OK
15-11-2025	08:45:07.340	460.105	26.158	OK
15-11-2025	08:45:12.341	465.106	26.161	OK
15-11-2025	08:45:17.341	470.105	26.161	OK
15-11-2025	08:45:22.342	475.106	26.157	OK
15-11-2025	08:45:27.341	480.106	26.160	OK
15-11-2025	08:45:32.341	485.106	26.159	OK
15-11-2025	08:45:37.342	490.106	26.160	OK
15-11-2025	08:45:42.342	495.107	26.157	OK
15-11-2025	08:45:47.342	500.106	26.161	OK
15-11-2025	08:45:52.342	505.107	26.162	OK
15-11-2025	08:45:57.342	510.107	26.160	OK
15-11-2025	08:46:02.343	515.108	26.162	OK
15-11-2025	08:46:07.345	520.110	26.160	OK
15-11-2025	08:46:12.346	525.111	26.159	OK
15-11-2025	08:46:17.346	530.111	26.160	OK
15-11-2025	08:46:22.345	535.110	26.157	OK
15-11-2025	08:46:27.346	540.111	26.158	OK
15-11-2025	08:46:32.347	545.111	26.157	OK
15-11-2025	08:46:37.347	550.112	26.158	OK
15-11-2025	08:46:42.347	555.112	26.156	OK
15-11-2025	08:46:47.347	560.112	26.157	OK
15-11-2025	08:46:52.347	565.112	26.159	OK
15-11-2025	08:46:57.348	570.112	26.158	OK
15-11-2025	08:47:02.348	575.113	26.159	OK
15-11-2025	08:47:07.347	580.112	26.160	OK
15-11-2025	08:47:12.346	585.111	26.157	OK
15-11-2025	08:47:17.346	590.111	26.161	OK
15-11-2025	08:47:22.346	595.111	26.161	OK
15-11-2025	08:47:27.346	600.111	26.159	OK
15-11-2025	08:47:32.347	605.111	26.159	OK
15-11-2025	08:47:37.351	610.116	26.157	OK
15-11-2025	08:47:42.348	615.113	26.159	OK
15-11-2025	08:47:47.349	620.114	26.157	OK
15-11-2025	08:47:52.347	625.112	26.158	OK
15-11-2025	08:47:57.348	630.112	26.157	OK
15-11-2025	08:48:02.349	635.114	26.158	OK
15-11-2025	08:48:07.348	640.113	26.157	OK
15-11-2025	08:48:12.348	645.112	26.162	OK
15-11-2025	08:48:17.349	650.114	26.160	OK
15-11-2025	08:48:22.350	655.115	26.157	OK
15-11-2025	08:48:27.350	660.115	26.158	OK
15-11-2025	08:48:32.348	665.113	26.160	OK
15-11-2025	08:48:37.349	670.114	26.158	OK
15-11-2025	08:48:42.351	675.115	26.160	OK
15-11-2025	08:48:47.350	680.114	26.156	OK
15-11-2025	08:48:52.353	685.117	26.156	OK
15-11-2025	08:48:57.354	690.119	26.158	OK
15-11-2025	08:49:02.354	695.119	26.160	OK
15-11-2025	08:49:07.355	700.120	26.161	OK
15-11-2025	08:49:12.355	705.120	26.158	OK
15-11-2025	08:49:17.357	710.122	26.156	OK
15-11-2025	08:49:22.356	715.121	26.159	OK
15-11-2025	08:49:27.358	720.122	26.157	OK
15-11-2025	08:49:32.357	725.122	26.159	OK
15-11-2025	08:49:37.358	730.122	26.160	OK
15-11-2025	08:49:42.359	735.123	26.159	OK
15-11-2025	08:49:47.358	740.123	26.158	OK
15-11-2025	08:49:52.359	745.124	26.158	OK
15-11-2025	08:49:57.360	750.124	26.157	OK
15-11-2025	08:50:02.361	755.126	26.160	OK
15-11-2025	08:50:07.361	760.126	26.157	OK
15-11-2025	08:50:12.362	765.126	26.155	OK
15-11-2025	08:50:17.362	770.127	26.158	OK
15-11-2025	08:50:22.362	775.127	26.156	OK
15-11-2025	08:50:27.366	780.130	26.159	OK
15-11-2025	08:50:32.362	785.127	26.154	OK
15-11-2025	08:50:37.361	790.126	26.157	OK
15-11-2025	08:50:42.363	795.127	26.156	OK
15-11-2025	08:50:47.362	800.127	26.159	OK
15-11-2025	08:50:52.362	805.127	26.157	OK
15-11-2025	08:50:57.363	810.127	26.157	OK
15-11-2025	08:51:02.363	815.128	26.156	OK
15-11-2025	08:51:07.363	820.128	26.156	OK
15-11-2025	08:51:12.364	825.128	26.154	OK
15-11-2025	08:51:17.364	830.129	26.154	OK
15-11-2025	08:51:22.364	835.129	26.157	OK
15-11-2025	08:51:27.364	840.129	26.156	OK
15-11-2025	08:51:32.364	845.129	26.155	OK
15-11-2025	08:51:37.363	850.128	26.156	OK
15-11-2025	08:51:42.363	855.128	26.157	OK
15-11-2025	08:51:47.365	860.130	26.156	OK
15-11-2025	08:51:52.367	865.132	26.154	OK
15-11-2025	08:51:57.368	870.133	26.156	OK
15-11-2025	08:52:02.366	875.131	26.154	OK
15-11-2025	08:52:07.366	880.131	26.159	OK
15-11-2025	08:52:12.368	885.133	26.157	OK
15-11-2025	08:52:17.368	890.133	26.159	OK
15-11-2025	08:52:22.367	895.132	26.158	OK
15-11-2025	08:52:27.368	900.132	26.157	OK
15-11-2025	08:52:32.367	905.132	26.152	OK
15-11-2025	08:52:37.369	910.134	26.153	OK
15-11-2025	08:52:42.369	915.134	26.153	OK
15-11-2025	08:52:47.370	920.135	26.154	OK
15-11-2025	08:52:52.369	925.133	26.153	OK
15-11-2025	08:52:57.369	930.133	26.152	OK
15-11-2025	08:53:02.370	935.135	26.154	OK
15-11-2025	08:53:07.369	940.133	26.153	OK
15-11-2025	08:53:12.369	945.133	26.155	OK
15-11-2025	08:53:17.369	950.134	26.154	OK
15-11-2025	08:53:22.369	955.134	26.154	OK
15-11-2025	08:53:27.368	960.133	26.151	OK
15-11-2025	08:53:32.370	965.135	26.153	OK
15-11-2025	08:53:37.370	970.134	26.151	OK
15-11-2025	08:53:42.370	975.135	26.153	OK
15-11-2025	08:53:47.371	980.135	26.154	OK
15-11-2025	08:53:52.372	985.136	26.153	OK
15-11-2025	08:53:57.371	990.136	26.152	OK
15-11-2025	08:54:02.371	995.136	26.153	OK
15-11-2025	08:54:07.374	1000.139	26.152	OK
15-11-2025	08:54:12.373	1005.138	26.155	OK
15-11-2025	08:54:17.373	1010.137	26.148	OK
15-11-2025	08:54:22.373	1015.138	26.151	OK
15-11-2025	08:54:27.373	1020.138	26.152	OK
15-11-2025	08:54:32.373	1025.138	26.154	OK
15-11-2025	08:54:37.373	1030.137	26.153	OK
15-11-2025	08:54:42.372	1035.136	26.151	OK
15-11-2025	08:54:47.373	1040.137	26.153	OK
15-11-2025	08:54:52.372	1045.137	26.153	OK
15-11-2025	08:54:57.372	1050.136	26.152	OK
15-11-2025	08:55:02.373	1055.138	26.152	OK
15-11-2025	08:55:07.374	1060.139	26.149	OK
15-11-2025	08:55:12.373	1065.137	26.150	OK
15-11-2025	08:55:17.374	1070.139	26.150	OK
15-11-2025	08:55:22.377	1075.142	26.152	OK
15-11-2025	08:55:27.376	1080.141	26.149	OK
15-11-2025	08:55:32.375	1085.139	26.149	OK
15-11-2025	08:55:37.377	1090.142	26.154	OK
15-11-2025	08:55:42.377	1095.142	26.150	OK
15-11-2025	08:55:47.379	1100.143	26.152	OK
15-11-2025	08:55:52.379	1105.143	26.153	OK
15-11-2025	08:55:57.379	1110.144	26.152	OK
15-11-2025	08:56:02.379	1115.144	26.152	OK
15-11-2025	08:56:07.379	1120.143	26.152	OK
15-11-2025	08:56:12.381	1125.146	26.151	OK
15-11-2025	08:56:17.381	1130.145	26.153	OK
15-11-2025	08:56:22.381	1135.146	26.152	OK
15-11-2025	08:56:27.381	1140.145	26.151	OK
15-11-2025	08:56:32.382	1145.146	26.149	OK
15-11-2025	08:56:37.382	1150.147	26.153	OK
15-11-2025	08:56:42.382	1155.147	26.151	OK
15-11-2025	08:56:47.382	1160.147	26.149	OK
15-11-2025	08:56:52.382	1165.146	26.153	OK
15-11-2025	08:56:57.383	1170.148	26.148	OK
15-11-2025	08:57:02.382	1175.147	26.149	OK
15-11-2025	08:57:07.383	1180.148	26.150	OK
