seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,18:09:44,180.18,181.03,25.5,25.5,25.5
5.0,0.001388889,18:09:49,180.11,181.02,25.491,25.491,25.491
10.0,0.002777778,18:09:54,180.07,180.97,25.485,25.485,25.485
15.0,0.004166667,18:09:59,180.02,180.95,25.483,25.483,25.483
20.0,0.005555556,18:10:04,179.95,180.91,25.481,25.481,25.481
25.0,0.006944444,18:10:09,179.89,180.87,25.479,25.479,25.479
30.0,0.008333333,18:10:14,179.84,180.82,25.475,25.475,25.475
35.0,0.009722222,18:10:19,179.79,180.77,25.473,25.473,25.473
40.0,0.011111111,18:10:24,179.74,180.75,25.47,25.47,25.47
45.0,0.012500000,18:10:29,179.68,180.7,25.47,25.47,25.47
50.0,0.013888889,18:10:34,179.62,180.62,25.472,25.472,25.472
55.0,0.015277778,18:10:39,179.56,180.56,25.472,25.472,25.472
60.0,0.016666667,18:10:44,179.5,180.46,25.473,25.473,25.473
65.0,0.018055556,18:10:49,179.45,180.42,25.471,25.471,25.471
70.0,0.019444444,18:10:54,179.37,180.36,25.472,25.472,25.472
75.0,0.020833333,18:10:59,179.3,180.31,25.472,25.472,25.472
80.0,0.022222222,18:11:04,179.21,180.28,25.473,25.473,25.473
85.0,0.023611111,18:11:09,179.16,180.22,25.473,25.473,25.473
90.0,0.025000000,18:11:14,179.13,180.19,25.472,25.472,25.472
95.0,0.026388889,18:11:19,179.13,180.17,25.469,25.469,25.469
100.0,0.027777778,18:11:24,179.12,180.17,25.467,25.467,25.467
105.0,0.029166667,18:11:29,179.09,180.17,25.466,25.466,25.466
110.0,0.030555556,18:11:34,179.05,180.12,25.466,25.466,25.466
115.0,0.031944444,18:11:39,178.98,180.08,25.466,25.466,25.466
120.0,0.033333333,18:11:44,178.91,180.02,25.466,25.466,25.466
125.0,0.034722222,18:11:49,178.86,179.99,25.466,25.466,25.466
130.0,0.036111111,18:11:54,178.82,179.96,25.465,25.465,25.465
135.0,0.037500000,18:11:59,178.8,179.95,25.463,25.463,25.463
140.0,0.038888889,18:12:04,178.77,179.91,25.462,25.462,25.462
145.0,0.040277778,18:12:09,178.73,179.89,25.464,25.464,25.464
150.0,0.041666667,18:12:14,178.68,179.85,25.466,25.466,25.466
155.0,0.043055556,18:12:19,178.63,179.82,25.468,25.468,25.468
160.0,0.044444444,18:12:24,178.58,179.79,25.47,25.47,25.47
165.0,0.045833333,18:12:29,178.49,179.75,25.471,25.471,25.471
170.0,0.047222222,18:12:34,178.46,179.72,25.471,25.471,25.471
175.0,0.048611111,18:12:39,178.44,179.7,25.471,25.471,25.471
180.0,0.050000000,18:12:44,178.45,179.69,25.473,25.473,25.473
185.0,0.051388889,18:12:49,178.41,179.68,25.473,25.473,25.473
190.0,0.052777778,18:12:54,178.35,179.62,25.473,25.473,25.473
195.0,0.054166667,18:12:59,178.3,179.55,25.474,25.474,25.474
200.0,0.055555556,18:13:04,178.26,179.51,25.476,25.476,25.476
205.0,0.056944444,18:13:09,178.24,179.49,25.477,25.477,25.477
210.0,0.058333333,18:13:14,178.22,179.5,25.476,25.476,25.476
215.0,0.059722222,18:13:19,178.21,179.47,25.475,25.475,25.475
220.0,0.061111111,18:13:24,178.22,179.46,25.474,25.474,25.474
225.0,0.062500000,18:13:29,178.25,179.45,25.471,25.471,25.471
230.0,0.063888889,18:13:34,178.24,179.43,25.47,25.47,25.47
235.0,0.065277778,18:13:39,178.2,179.41,25.47,25.47,25.47
240.0,0.066666667,18:13:44,178.18,179.39,25.469,25.469,25.469
245.0,0.068055556,18:13:49,178.15,179.4,25.47,25.47,25.47
250.0,0.069444444,18:13:54,178.15,179.38,25.468,25.468,25.468
255.0,0.070833333,18:13:59,178.16,179.36,25.467,25.467,25.467
260.0,0.072222222,18:14:04,178.15,179.31,25.464,25.464,25.464
265.0,0.073611111,18:14:09,178.12,179.29,25.463,25.463,25.463
270.0,0.075000000,18:14:14,178.04,179.3,25.464,25.464,25.464
275.0,0.076388889,18:14:19,178.02,179.3,25.466,25.466,25.466
280.0,0.077777778,18:14:24,178.01,179.27,25.467,25.467,25.467
285.0,0.079166667,18:14:29,178.02,179.23,25.465,25.465,25.465
290.0,0.080555556,18:14:34,178.01,179.19,25.465,25.465,25.465
295.0,0.081944444,18:14:39,177.99,179.13,25.465,25.465,25.465
300.0,0.083333333,18:14:44,177.95,179.12,25.468,25.468,25.468
305.0,0.084722222,18:14:49,177.89,179.09,25.47,25.47,25.47
310.0,0.086111111,18:14:54,177.85,179.07,25.47,25.47,25.47
315.0,0.087500000,18:14:59,177.83,179.02,25.47,25.47,25.47
320.0,0.088888889,18:15:04,177.83,179.01,25.466,25.466,25.466
325.0,0.090277778,18:15:09,177.8,179.0,25.467,25.467,25.467
330.0,0.091666667,18:15:14,177.78,179.0,25.466,25.466,25.466
335.0,0.093055556,18:15:19,177.74,179.0,25.468,25.468,25.468
340.0,0.094444444,18:15:24,177.69,178.99,25.47,25.47,25.47
345.0,0.095833333,18:15:29,177.64,178.98,25.472,25.472,25.472
350.0,0.097222222,18:15:34,177.6,178.94,25.474,25.474,25.474
355.0,0.098611111,18:15:39,177.59,178.93,25.473,25.473,25.473
360.0,0.100000000,18:15:44,177.56,178.93,25.472,25.472,25.472
365.0,0.101388889,18:15:49,177.54,178.92,25.472,25.472,25.472
370.0,0.102777778,18:15:54,177.5,178.9,25.474,25.474,25.474
375.0,0.104166667,18:15:59,177.46,178.85,25.476,25.476,25.476
380.0,0.105555556,18:16:04,177.44,178.81,25.478,25.478,25.478
385.0,0.106944444,18:16:09,177.43,178.78,25.479,25.479,25.479
390.0,0.108333333,18:16:14,177.41,178.78,25.479,25.479,25.479
395.0,0.109722222,18:16:19,177.38,178.77,25.477,25.477,25.477
400.0,0.111111111,18:16:24,177.34,178.76,25.474,25.474,25.474
405.0,0.112500000,18:16:29,177.33,178.72,25.473,25.473,25.473
