
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	5.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.402	1009	100.000	20.950	52.300	19.919	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.321	1009	100.000	20.950	52.300	19.885	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.266	1009	100.000	20.950	52.300	19.836	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.188	1009	100.000	20.950	52.300	19.893	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Data	Smoothing:	3	
Date:	11/16/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/16/2025	18:09:44	0.00		---	180.18	---	181.03	25.500	25.500	25.500	25.500	1009.78	66.977	25.500	---	---	-178.678	21.703	-179.749	21.646	0.954	563.339	0.963	507.628	7.282	7.480	7.322	7.347	
11/16/2025	18:09:49	5.00		---	180.11	---	181.02	25.491	25.491	25.491	25.491	1009.77	66.977	25.491	---	---	-178.692	21.709	-179.652	21.649	0.953	563.539	0.966	507.757	7.268	7.482	7.321	7.348	
11/16/2025	18:09:54	10.00		---	180.07	---	180.97	25.485	25.485	25.485	25.485	1009.78	66.967	25.485	---	---	-178.582	21.713	-179.651	21.654	0.953	563.706	0.968	507.899	7.285	7.519	7.322	7.370	
11/16/2025	18:09:59	15.00		---	180.02	---	180.95	25.483	25.483	25.483	25.483	1009.76	66.957	25.483	---	---	-178.535	21.718	-179.667	21.656	0.953	563.838	0.973	508.044	7.286	7.523	7.340	7.366	
11/16/2025	18:10:04	20.00		---	179.95	---	180.91	25.481	25.481	25.481	25.481	1009.77	66.939	25.481	---	---	-178.619	21.722	-179.623	21.659	0.956	563.953	0.971	508.184	7.293	7.544	7.330	7.329	
11/16/2025	18:10:09	25.00		---	179.89	---	180.87	25.479	25.479	25.479	25.479	1009.76	66.922	25.479	---	---	-178.613	21.727	-59.769	21.662	0.953	564.068	0.970	508.324	7.294	7.536	7.307	7.287	
11/16/2025	18:10:14	30.00		---	179.84	---	180.82	25.475	25.475	25.475	25.475	1009.74	66.904	25.475	---	---	-178.465	21.731	-59.706	21.666	0.951	564.195	0.968	508.461	7.252	7.544	7.293	7.270	
11/16/2025	18:10:19	35.00		---	179.79	---	180.77	25.473	25.473	25.473	25.473	1009.74	66.893	25.473	---	---	-178.474	21.735	60.133	21.670	0.953	564.333	0.968	508.600	7.256	7.510	7.292	7.306	
11/16/2025	18:10:24	40.00		---	179.74	---	180.75	25.470	25.470	25.470	25.470	1009.76	66.883	25.470	---	---	-178.526	21.739	-59.771	21.672	0.952	564.463	0.966	508.724	7.255	7.527	7.306	7.333	
11/16/2025	18:10:29	45.00		---	179.68	---	180.70	25.470	25.470	25.470	25.470	1009.80	66.883	25.470	---	---	-178.662	21.742	-59.860	21.675	0.954	564.570	0.965	508.865	7.292	7.517	7.303	7.311	
11/16/2025	18:10:34	50.00		---	179.62	---	180.62	25.472	25.472	25.472	25.472	1009.80	66.893	25.472	---	---	-178.513	21.746	-179.617	21.679	0.949	564.678	0.967	509.018	7.279	7.531	7.304	7.290	
11/16/2025	18:10:39	55.00		---	179.56	---	180.56	25.472	25.472	25.472	25.472	1009.78	66.904	25.472	---	---	-178.693	21.749	-179.525	21.684	0.951	564.789	0.970	509.176	7.280	7.533	7.299	7.262	
11/16/2025	18:10:44	60.00		---	179.50	---	180.46	25.473	25.473	25.473	25.473	1009.78	66.904	25.473	---	---	-178.703	21.753	-179.343	21.689	0.949	564.917	0.970	509.328	7.275	7.533	7.297	7.303	
11/16/2025	18:10:49	65.00		---	179.45	---	180.42	25.471	25.471	25.471	25.471	1009.79	66.893	25.471	---	---	-178.851	21.756	-179.471	21.692	0.949	565.035	0.968	509.474	7.278	7.522	7.284	7.292	
11/16/2025	18:10:54	70.00		---	179.37	---	180.36	25.472	25.472	25.472	25.472	1009.77	66.883	25.472	---	---	-178.726	21.761	-179.477	21.696	0.954	565.157	0.965	509.620	7.255	7.472	7.267	7.291	
11/16/2025	18:10:59	75.00		---	179.30	---	180.31	25.472	25.472	25.472	25.472	1009.75	66.883	25.472	---	---	-178.627	21.766	-179.602	21.699	0.958	565.274	0.963	509.754	7.249	7.471	7.267	7.260	
11/16/2025	18:11:04	80.00		---	179.21	---	180.28	25.473	25.473	25.473	25.473	1009.75	66.893	25.473	---	---	-178.524	21.771	-179.552	21.701	0.960	565.388	0.964	509.864	7.258	7.509	7.271	7.248	
11/16/2025	18:11:09	85.00		---	179.16	---	180.22	25.473	25.473	25.473	25.473	1009.77	66.911	25.473	---	---	-178.329	21.774	-179.448	21.704	0.958	565.488	0.965	509.962	7.269	7.564	7.270	7.296	
11/16/2025	18:11:14	90.00		---	179.13	---	180.19	25.472	25.472	25.472	25.472	1009.77	66.929	25.472	---	---	-178.362	21.776	-179.497	21.707	0.954	565.553	0.967	510.054	7.241	7.567	7.267	7.281	
11/16/2025	18:11:19	95.00		---	179.13	---	180.17	25.469	25.469	25.469	25.469	1009.77	66.937	25.469	---	---	-178.288	21.778	-179.335	21.708	0.954	565.595	0.964	510.143	7.238	7.499	7.284	7.321	
11/16/2025	18:11:24	100.00		---	179.12	---	180.17	25.467	25.467	25.467	25.467	1009.75	66.937	25.467	---	---	-178.264	21.779	-179.535	21.709	0.950	565.625	0.963	510.235	7.254	7.479	7.278	7.277	
11/16/2025	18:11:29	105.00		---	179.09	---	180.17	25.466	25.466	25.466	25.466	1009.74	66.937	25.466	---	---	-178.356	21.781	-59.683	21.710	0.951	565.696	0.959	510.324	7.286	7.492	7.285	7.279	
11/16/2025	18:11:34	110.00		---	179.05	---	180.12	25.466	25.466	25.466	25.466	1009.72	66.929	25.466	---	---	-178.411	21.784	-59.924	21.713	0.951	565.784	0.960	510.417	7.255	7.557	7.290	7.250	
11/16/2025	18:11:39	115.00		---	178.98	---	180.08	25.466	25.466	25.466	25.466	1009.73	66.922	25.466	---	---	-178.481	21.788	-59.825	21.715	0.953	565.887	0.963	510.514	7.251	7.560	7.314	7.291	
11/16/2025	18:11:44	120.00		---	178.91	---	180.02	25.466	25.466	25.466	25.466	1009.72	66.914	25.466	---	---	-178.423	21.792	-179.613	21.719	0.956	565.966	0.966	510.618	7.247	7.549	7.316	7.316	
11/16/2025	18:11:49	125.00		---	178.86	---	179.99	25.466	25.466	25.466	25.466	1009.73	66.904	25.466	---	---	-178.457	21.795	-179.527	21.721	0.954	566.040	0.964	510.730	7.284	7.527	7.316	7.312	
11/16/2025	18:11:54	130.00		---	178.82	---	179.96	25.465	25.465	25.465	25.465	1009.72	66.893	25.465	---	---	-178.556	21.798	-179.594	21.723	0.951	566.111	0.958	510.831	7.280	7.535	7.300	7.316	
11/16/2025	18:11:59	135.00		---	178.80	---	179.95	25.463	25.463	25.463	25.463	1009.75	66.883	25.463	---	---	-178.501	21.800	-179.519	21.724	0.948	566.191	0.953	510.929	7.291	7.570	7.306	7.303	
