dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
10000.015,,,,200.889,25.743,1013.0,,,,,,,2.7777819444444445,25.743,200.889,,,
10000.088,,,,,,,202.379,25.743,1013.0,,,,2.7778022222222223,25.743,,202.379,,
10000.167,172.988,25.744,1013.0,,,,,,,,,,2.7778241666666665,25.744,,,,172.988
10004.945,,,,,,,,,,181.232,25.743,1013.0,2.779151388888889,25.743,,,181.232,
10005.017,,,,200.945,25.743,1013.0,,,,,,,2.779171388888889,25.743,200.945,,,
10005.09,,,,,,,202.304,25.743,1013.0,,,,2.7791916666666667,25.743,,202.304,,
10005.169,172.93,25.743,1013.0,,,,,,,,,,2.779213611111111,25.743,,,,172.93
10009.947,,,,,,,,,,181.183,25.743,1013.0,2.7805408333333332,25.743,,,181.183,
10010.018,,,,201.222,25.743,1013.0,,,,,,,2.7805605555555557,25.743,201.222,,,
10010.094,,,,,,,202.23,25.743,1013.0,,,,2.7805816666666665,25.743,,202.23,,
10010.18,172.868,25.743,1013.0,,,,,,,,,,2.780605555555556,25.743,,,,172.868
10014.948,,,,,,,,,,181.37,25.745,1013.0,2.78193,25.745,,,181.37,
10015.02,,,,200.842,25.745,1013.0,,,,,,,2.78195,25.745,200.842,,,
10015.093,,,,,,,202.345,25.746,1013.0,,,,2.781970277777778,25.746,,202.345,,
10015.169,172.854,25.746,1013.0,,,,,,,,,,2.7819913888888887,25.746,,,,172.854
10019.947,,,,,,,,,,181.297,25.743,1013.0,2.783318611111111,25.743,,,181.297,
10020.02,,,,200.908,25.743,1013.0,,,,,,,2.783338888888889,25.743,200.908,,,
10020.094,,,,,,,202.267,25.743,1013.0,,,,2.7833594444444443,25.743,,202.267,,
10020.172,173.039,25.743,1013.0,,,,,,,,,,2.7833811111111113,25.743,,,,173.039
10024.949,,,,,,,,,,181.204,25.749,1013.0,2.784708055555556,25.749,,,181.204,
10025.02,,,,201.061,25.749,1013.0,,,,,,,2.784727777777778,25.749,201.061,,,
10025.094,,,,,,,202.348,25.749,1013.0,,,,2.784748333333333,25.749,,202.348,,
10025.172,172.919,25.749,1013.0,,,,,,,,,,2.78477,25.749,,,,172.919
