#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial6-light-newbox-
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/14/2025	12/31/2000	20.837	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.092	26.639	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
16-11-2025	08:35:19.143	2.253	228.460	20.468	362	0	OK	16-11-2025	08:35:19.143	2.253	25.434	OK	16-11-2025	08:35:19.143	2.253	1014	OK
16-11-2025	08:35:24.142	7.252	228.331	20.474	362	0	OK	16-11-2025	08:35:24.142	7.252	25.434	OK	16-11-2025	08:35:24.142	7.252	1014	OK
16-11-2025	08:35:29.145	12.255	228.099	20.485	362	0	OK	16-11-2025	08:35:29.145	12.255	25.433	OK	16-11-2025	08:35:29.145	12.255	1014	OK
16-11-2025	08:35:34.143	17.253	227.814	20.498	362	1	OK	16-11-2025	08:35:34.143	17.253	25.434	OK	16-11-2025	08:35:34.143	17.253	1014	OK
16-11-2025	08:35:39.145	22.256	227.755	20.501	362	0	OK	16-11-2025	08:35:39.145	22.256	25.433	OK	16-11-2025	08:35:39.145	22.256	1014	OK
16-11-2025	08:35:44.146	27.256	227.780	20.499	363	0	OK	16-11-2025	08:35:44.146	27.256	25.436	OK	16-11-2025	08:35:44.146	27.256	1014	OK
16-11-2025	08:35:49.145	32.256	227.399	20.517	363	0	OK	16-11-2025	08:35:49.145	32.256	25.435	OK	16-11-2025	08:35:49.145	32.256	1014	OK
16-11-2025	08:35:54.145	37.255	227.559	20.509	363	0	OK	16-11-2025	08:35:54.145	37.255	25.437	OK	16-11-2025	08:35:54.145	37.255	1014	OK
16-11-2025	08:35:59.148	42.258	227.636	20.506	363	0	OK	16-11-2025	08:35:59.148	42.258	25.435	OK	16-11-2025	08:35:59.148	42.258	1014	OK
16-11-2025	08:36:04.147	47.257	227.513	20.512	363	0	OK	16-11-2025	08:36:04.147	47.257	25.434	OK	16-11-2025	08:36:04.147	47.257	1014	OK
16-11-2025	08:36:09.146	52.257	227.277	20.523	363	0	OK	16-11-2025	08:36:09.146	52.257	25.434	OK	16-11-2025	08:36:09.146	52.257	1014	OK
16-11-2025	08:36:14.146	57.256	227.130	20.529	363	0	OK	16-11-2025	08:36:14.146	57.256	25.437	OK	16-11-2025	08:36:14.146	57.256	1014	OK
16-11-2025	08:36:19.146	62.257	227.286	20.522	363	0	OK	16-11-2025	08:36:19.146	62.257	25.436	OK	16-11-2025	08:36:19.146	62.257	1014	OK
16-11-2025	08:36:24.146	67.256	227.181	20.528	363	0	OK	16-11-2025	08:36:24.146	67.256	25.432	OK	16-11-2025	08:36:24.146	67.256	1014	OK
16-11-2025	08:36:29.148	72.258	227.292	20.522	363	0	OK	16-11-2025	08:36:29.148	72.258	25.435	OK	16-11-2025	08:36:29.148	72.258	1014	OK
