#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial7-dark-newbox-1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/14/2025	12/31/2000	20.837	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.092	26.639	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
17-11-2025	18:58:55.236	3.913	192.068	22.119	393	0	OK	17-11-2025	18:58:55.236	3.913	26.211	OK	17-11-2025	18:58:55.236	3.913	1013	OK
17-11-2025	18:59:00.145	8.822	191.832	22.131	393	0	OK	17-11-2025	18:59:00.145	8.822	26.216	OK	17-11-2025	18:59:00.145	8.822	1013	OK
17-11-2025	18:59:05.238	13.915	191.702	22.139	393	0	OK	17-11-2025	18:59:05.238	13.915	26.214	OK	17-11-2025	18:59:05.238	13.915	1013	OK
17-11-2025	18:59:10.237	18.914	191.482	22.151	393	0	OK	17-11-2025	18:59:10.237	18.914	26.216	OK	17-11-2025	18:59:10.237	18.914	1013	OK
17-11-2025	18:59:15.234	23.911	191.517	22.149	393	0	OK	17-11-2025	18:59:15.234	23.911	26.216	OK	17-11-2025	18:59:15.234	23.911	1013	OK
17-11-2025	18:59:20.238	28.915	191.416	22.155	393	0	OK	17-11-2025	18:59:20.238	28.915	26.215	OK	17-11-2025	18:59:20.238	28.915	1013	OK
17-11-2025	18:59:25.236	33.913	191.389	22.156	393	0	OK	17-11-2025	18:59:25.236	33.913	26.217	OK	17-11-2025	18:59:25.236	33.913	1013	OK
17-11-2025	18:59:30.238	38.915	191.477	22.151	393	0	OK	17-11-2025	18:59:30.238	38.915	26.217	OK	17-11-2025	18:59:30.238	38.915	1013	OK
17-11-2025	18:59:35.236	43.913	191.319	22.160	393	0	OK	17-11-2025	18:59:35.236	43.913	26.217	OK	17-11-2025	18:59:35.236	43.913	1012	OK
17-11-2025	18:59:40.237	48.913	191.324	22.160	393	0	OK	17-11-2025	18:59:40.237	48.913	26.216	OK	17-11-2025	18:59:40.237	48.913	1013	OK
17-11-2025	18:59:45.236	53.912	191.154	22.170	393	0	OK	17-11-2025	18:59:45.236	53.912	26.215	OK	17-11-2025	18:59:45.236	53.912	1013	OK
17-11-2025	18:59:50.233	58.910	191.097	22.173	393	0	OK	17-11-2025	18:59:50.233	58.910	26.216	OK	17-11-2025	18:59:50.233	58.910	1013	OK
17-11-2025	18:59:55.234	63.910	191.019	22.178	393	0	OK	17-11-2025	18:59:55.234	63.910	26.214	OK	17-11-2025	18:59:55.234	63.910	1013	OK
17-11-2025	19:00:00.234	68.910	191.179	22.170	393	0	OK	17-11-2025	19:00:00.234	68.910	26.210	OK	17-11-2025	19:00:00.234	68.910	1013	OK
17-11-2025	19:00:05.236	73.913	190.819	22.190	393	0	OK	17-11-2025	19:00:05.236	73.913	26.212	OK	17-11-2025	19:00:05.236	73.913	1013	OK
