#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial7-dark-newbox-1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
17-11-2025	18:58:51.363	0.039	26.213	OK
17-11-2025	18:58:56.362	5.038	26.212	OK
17-11-2025	18:59:01.362	10.038	26.216	OK
17-11-2025	18:59:06.363	15.039	26.215	OK
17-11-2025	18:59:11.362	20.038	26.215	OK
17-11-2025	18:59:16.362	25.039	26.216	OK
17-11-2025	18:59:21.362	30.038	26.215	OK
17-11-2025	18:59:26.362	35.038	26.216	OK
17-11-2025	18:59:31.361	40.038	26.217	OK
17-11-2025	18:59:36.362	45.039	26.218	OK
17-11-2025	18:59:41.362	50.039	26.217	OK
17-11-2025	18:59:46.363	55.040	26.216	OK
17-11-2025	18:59:51.365	60.041	26.215	OK
17-11-2025	18:59:56.363	65.039	26.213	OK
17-11-2025	19:00:01.364	70.040	26.212	OK
17-11-2025	19:00:06.363	75.040	26.213	OK
17-11-2025	19:00:11.363	80.040	26.214	OK
17-11-2025	19:00:16.362	85.039	26.217	OK
17-11-2025	19:00:21.363	90.039	26.218	OK
17-11-2025	19:00:26.363	95.040	26.217	OK
17-11-2025	19:00:31.363	100.040	26.219	OK
17-11-2025	19:00:36.362	105.039	26.219	OK
17-11-2025	19:00:41.363	110.039	26.220	OK
17-11-2025	19:00:46.362	115.038	26.222	OK
17-11-2025	19:00:51.363	120.040	26.219	OK
17-11-2025	19:00:56.364	125.041	26.221	OK
17-11-2025	19:01:01.363	130.040	26.221	OK
17-11-2025	19:01:06.365	135.042	26.224	OK
17-11-2025	19:01:11.365	140.041	26.222	OK
17-11-2025	19:01:16.364	145.041	26.223	OK
17-11-2025	19:01:21.365	150.041	26.222	OK
17-11-2025	19:01:26.365	155.041	26.220	OK
17-11-2025	19:01:31.366	160.042	26.220	OK
17-11-2025	19:01:36.366	165.043	26.222	OK
17-11-2025	19:01:41.366	170.042	26.226	OK
17-11-2025	19:01:46.367	175.043	26.221	OK
17-11-2025	19:01:51.367	180.044	26.223	OK
17-11-2025	19:01:56.367	185.043	26.222	OK
17-11-2025	19:02:01.366	190.043	26.222	OK
17-11-2025	19:02:06.367	195.043	26.224	OK
17-11-2025	19:02:11.366	200.043	26.223	OK
17-11-2025	19:02:16.366	205.043	26.225	OK
17-11-2025	19:02:21.367	210.043	26.227	OK
17-11-2025	19:02:26.367	215.044	26.223	OK
17-11-2025	19:02:31.367	220.043	26.224	OK
17-11-2025	19:02:36.367	225.043	26.229	OK
17-11-2025	19:02:41.368	230.044	26.227	OK
