seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,08:26:15,177.89,183.24,182.88,26.091,26.091
5.0,0.001388889,08:26:20,177.85,183.19,182.78,26.088,26.088
10.0,0.002777778,08:26:25,177.8,183.13,182.63,26.085,26.085
15.0,0.004166667,08:26:30,177.79,183.09,182.47,26.082,26.082
20.0,0.005555556,08:26:35,177.77,183.03,182.33,26.077,26.077
25.0,0.006944444,08:26:40,177.78,183.01,182.18,26.072,26.072
30.0,0.008333333,08:26:45,177.74,182.96,182.04,26.071,26.071
35.0,0.009722222,08:26:50,177.69,182.95,181.91,26.072,26.072
40.0,0.011111111,08:26:55,177.66,182.91,181.8,26.07,26.07
45.0,0.012500000,08:27:00,177.62,182.88,181.67,26.07,26.07
50.0,0.013888889,08:27:05,177.59,182.83,181.53,26.07,26.07
55.0,0.015277778,08:27:10,177.56,182.79,181.41,26.071,26.071
60.0,0.016666667,08:27:15,177.54,182.75,181.3,26.069,26.069
65.0,0.018055556,08:27:20,177.52,182.74,181.19,26.067,26.067
70.0,0.019444444,08:27:25,177.51,182.74,181.07,26.065,26.065
75.0,0.020833333,08:27:30,177.48,182.69,180.95,26.067,26.067
80.0,0.022222222,08:27:35,177.42,182.65,180.81,26.072,26.072
85.0,0.023611111,08:27:40,177.35,182.6,180.69,26.075,26.075
90.0,0.025000000,08:27:45,177.32,182.58,180.57,26.076,26.076
95.0,0.026388889,08:27:50,177.33,182.56,180.47,26.074,26.074
100.0,0.027777778,08:27:55,177.3,182.53,180.35,26.075,26.075
105.0,0.029166667,08:28:00,177.28,182.52,180.24,26.076,26.076
110.0,0.030555556,08:28:05,177.23,182.48,180.12,26.079,26.079
115.0,0.031944444,08:28:10,177.19,182.44,180.0,26.084,26.084
120.0,0.033333333,08:28:15,177.11,182.38,179.88,26.087,26.087
125.0,0.034722222,08:28:20,177.07,182.35,179.81,26.087,26.087
130.0,0.036111111,08:28:25,177.05,182.31,179.73,26.087,26.087
135.0,0.037500000,08:28:30,177.05,182.3,179.67,26.084,26.084
140.0,0.038888889,08:28:35,177.04,182.31,179.59,26.081,26.081
145.0,0.040277778,08:28:40,177.03,182.33,179.49,26.077,26.077
150.0,0.041666667,08:28:45,177.0,182.34,179.41,26.078,26.078
155.0,0.043055556,08:28:50,176.96,182.31,179.34,26.077,26.077
160.0,0.044444444,08:28:55,176.92,182.31,179.32,26.077,26.077
165.0,0.045833333,08:29:00,176.91,182.28,179.28,26.075,26.075
170.0,0.047222222,08:29:05,176.9,182.29,179.24,26.074,26.074
175.0,0.048611111,08:29:10,176.87,182.25,179.18,26.076,26.076
180.0,0.050000000,08:29:15,176.86,182.22,179.12,26.075,26.075
185.0,0.051388889,08:29:20,176.82,182.19,179.05,26.077,26.077
190.0,0.052777778,08:29:25,176.8,182.18,179.01,26.076,26.076
195.0,0.054166667,08:29:30,176.75,182.19,178.94,26.076,26.076
200.0,0.055555556,08:29:35,176.73,182.19,178.89,26.076,26.076
205.0,0.056944444,08:29:40,176.7,182.18,178.81,26.074,26.074
210.0,0.058333333,08:29:45,176.7,182.16,178.78,26.073,26.073
215.0,0.059722222,08:29:50,176.69,182.11,178.76,26.072,26.072
220.0,0.061111111,08:29:55,176.67,182.09,178.73,26.07,26.07
225.0,0.062500000,08:30:00,176.65,182.07,178.68,26.07,26.07
