seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,19:38:10,188.05,182.58,204.48,202.92,28.427
2.21,0.000613889,19:38:13,188.07,182.59,204.32,203.07,28.423
4.57,0.001269444,19:38:15,188.08,182.61,204.19,203.15,28.42
6.91,0.001919444,19:38:17,188.1,182.62,204.07,203.24,28.415
9.28,0.002577778,19:38:20,188.11,182.63,203.95,203.34,28.411
11.61,0.003225000,19:38:22,188.13,182.64,203.8,203.46,28.408
13.96,0.003877778,19:38:24,188.15,182.67,203.65,203.59,28.407
16.32,0.004533333,19:38:27,188.15,182.66,203.47,203.68,28.409
18.67,0.005186111,19:38:29,188.16,182.63,203.27,203.79,28.414
21.03,0.005841667,19:38:31,188.14,182.6,203.05,203.83,28.419
23.39,0.006497222,19:38:34,188.09,182.59,202.86,203.92,28.423
25.73,0.007147222,19:38:36,188.04,182.57,202.69,204.02,28.427
28.08,0.007800000,19:38:39,188.01,182.53,202.48,204.13,28.433
30.42,0.008450000,19:38:41,188.03,182.51,202.26,204.24,28.437
32.78,0.009105556,19:38:43,188.01,182.5,202.03,204.31,28.441
35.12,0.009755556,19:38:46,188.01,182.5,201.84,204.45,28.441
37.48,0.010411111,19:38:48,188.0,182.49,201.66,204.55,28.443
39.85,0.011069444,19:38:50,188.0,182.48,201.49,204.63,28.444
42.21,0.011725000,19:38:53,188.0,182.48,201.3,204.72,28.447
44.57,0.012380556,19:38:55,188.0,182.49,201.12,204.85,28.447
46.93,0.013036111,19:38:57,188.0,182.47,200.94,204.99,28.448
49.27,0.013686111,19:39:00,188.0,182.46,200.77,205.11,28.449
51.65,0.014347222,19:39:02,187.98,182.46,200.58,205.24,28.449
54.0,0.015000000,19:39:04,187.97,182.45,200.4,205.32,28.45
56.19,0.015608333,19:39:07,187.97,182.47,200.23,205.43,28.449
58.27,0.016186111,19:39:09,188.0,182.47,200.07,205.57,28.449
60.34,0.016761111,19:39:11,187.99,182.48,199.93,205.69,28.448
62.41,0.017336111,19:39:13,187.98,182.46,199.78,205.8,28.449
64.49,0.017913889,19:39:15,187.98,182.45,199.67,205.87,28.447
66.55,0.018486111,19:39:17,187.97,182.45,199.52,205.98,28.447
68.63,0.019063889,19:39:19,187.97,182.46,199.43,206.11,28.445
70.7,0.019638889,19:39:21,187.97,182.46,199.33,206.24,28.445
72.77,0.020213889,19:39:23,188.02,182.48,199.26,206.4,28.441
74.85,0.020791667,19:39:25,188.0,182.46,199.14,206.49,28.443
76.95,0.021375000,19:39:27,188.0,182.46,199.04,206.59,28.444
79.03,0.021952778,19:39:29,187.99,182.43,198.95,206.65,28.447
81.1,0.022527778,19:39:32,188.02,182.44,198.87,206.78,28.445
83.17,0.023102778,19:39:34,188.02,182.44,198.77,206.88,28.443
85.26,0.023683333,19:39:36,188.03,182.45,198.67,206.97,28.442
87.35,0.024263889,19:39:38,188.01,182.44,198.6,207.0,28.442
89.41,0.024836111,19:39:40,188.0,182.43,198.47,207.04,28.444
91.49,0.025413889,19:39:42,187.98,182.42,198.3,207.13,28.445
93.56,0.025988889,19:39:44,187.98,182.45,198.12,207.26,28.445
95.63,0.026563889,19:39:46,187.97,182.44,197.92,207.37,28.445
97.7,0.027138889,19:39:48,187.96,182.45,197.74,207.47,28.444
99.77,0.027713889,19:39:50,187.97,182.45,197.55,207.57,28.444
101.85,0.028291667,19:39:52,187.98,182.46,197.39,207.69,28.442
103.92,0.028866667,19:39:54,188.01,182.46,197.2,207.8,28.441
105.99,0.029441667,19:39:56,187.99,182.45,197.01,207.91,28.442
108.06,0.030016667,19:39:59,187.99,182.45,196.78,207.99,28.444
110.15,0.030597222,19:40:01,187.99,182.45,196.62,208.09,28.441
112.22,0.031172222,19:40:03,188.01,182.44,196.43,208.19,28.44
114.29,0.031747222,19:40:05,188.0,182.43,196.27,208.31,28.438
116.35,0.032319444,19:40:07,188.01,182.42,196.09,208.38,28.441
118.42,0.032894444,19:40:09,188.03,182.44,195.9,208.48,28.44
120.49,0.033469444,19:40:11,188.06,182.45,195.73,208.6,28.439
122.57,0.034047222,19:40:13,188.03,182.43,195.56,208.72,28.44
124.64,0.034622222,19:40:15,188.0,182.43,195.45,208.85,28.44
126.71,0.035197222,19:40:17,187.98,182.45,195.33,208.98,28.441
128.77,0.035769444,19:40:19,188.0,182.45,195.2,209.12,28.44
130.85,0.036347222,19:40:21,188.01,182.44,195.04,209.22,28.44
132.91,0.036919444,19:40:23,188.02,182.41,194.92,209.31,28.437
134.99,0.037497222,19:40:25,188.04,182.4,194.81,209.45,28.437
137.06,0.038072222,19:40:28,188.06,182.39,194.72,209.57,28.436
139.15,0.038652778,19:40:30,188.04,182.41,194.62,209.65,28.435
141.21,0.039225000,19:40:32,188.02,182.44,194.52,209.71,28.435
143.28,0.039800000,19:40:34,188.01,182.45,194.43,209.78,28.435
145.36,0.040377778,19:40:36,188.03,182.43,194.34,209.89,28.436
147.44,0.040955556,19:40:38,188.03,182.43,194.25,209.99,28.435
149.51,0.041530556,19:40:40,188.04,182.43,194.16,210.1,28.433
151.58,0.042105556,19:40:42,188.05,182.44,194.07,210.22,28.429
153.64,0.042677778,19:40:44,188.05,182.44,193.97,210.33,28.429
155.71,0.043252778,19:40:46,188.03,182.45,193.85,210.41,28.43
157.78,0.043827778,19:40:48,188.03,182.45,193.75,210.48,28.432
159.85,0.044402778,19:40:50,188.03,182.45,193.69,210.54,28.431
161.91,0.044975000,19:40:52,188.03,182.43,193.59,210.63,28.432
164.0,0.045555556,19:40:54,188.01,182.43,193.51,210.74,28.433
166.07,0.046130556,19:40:57,188.0,182.4,193.39,210.85,28.437
168.14,0.046705556,19:40:59,188.01,182.39,193.3,210.91,28.438
170.21,0.047280556,19:41:01,187.99,182.4,193.21,211.01,28.437
172.27,0.047852778,19:41:03,188.0,182.41,193.13,211.11,28.436
174.35,0.048430556,19:41:05,188.02,182.42,193.06,211.21,28.434
176.42,0.049005556,19:41:07,188.03,182.41,192.99,211.27,28.434
178.5,0.049583333,19:41:09,188.04,182.43,192.92,211.37,28.432
180.58,0.050161111,19:41:11,188.01,182.43,192.86,211.49,28.433
182.65,0.050736111,19:41:13,187.97,182.42,192.8,211.57,28.435
184.72,0.051311111,19:41:15,187.96,182.41,192.75,211.64,28.436
