seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0,0,204.82,196.96,195.76,202.65,26.415
5,0.001388889,204.72,197.13,195.51,202.5,26.414
10,0.002777778,204.45,197.25,195.72,202.64,26.414
15,0.004166667,204.7,196.9,195.73,202.75,26.413
20,0.005555556,204.92,196.87,196.13,202.58,26.412
25,0.006944444,205.18,196.77,195.89,202.44,26.41
30,0.008333333,204.88,197.17,196.16,202.5,26.409
35,0.009722222,204.96,197.09,196.07,202.67,26.408
40,0.011111111,204.65,196.97,196.09,202.84,26.407
45,0.0125,205.12,196.84,195.98,202.68,26.407
50,0.013888889,204.94,196.65,195.85,202.63,26.406
55,0.015277778,205.27,196.62,195.87,202.29,26.407
60,0.016666667,204.96,196.44,195.92,202.33,26.407
65,0.018055556,205.28,196.53,196.25,202.13,26.408
70,0.019444444,205.28,196.84,196.24,202.42,26.407
75,0.020833333,205.37,197,196.41,202.37,26.406
80,0.022222222,205.06,197,196.27,202.62,26.407
85,0.023611111,204.79,197.02,196.42,202.48,26.408
90,0.025,204.94,196.82,196.45,202.33,26.409
95,0.026388889,204.96,197.03,196.52,202.33,26.408
100,0.027777778,205.44,196.98,196.3,202.37,26.408
105,0.029166667,205.61,197.03,196.4,202.4,26.408
110,0.030555556,205.7,196.81,196.53,202.35,26.411
115,0.031944444,205.8,196.75,196.42,202.08,26.411
120,0.033333333,205.49,197.05,196.3,202.2,26.41
125,0.034722222,205.76,197.02,196.42,202.34,26.408
130,0.036111111,205.39,197.16,196.5,202.46,26.407
135,0.0375,205.6,196.94,196.64,202.44,26.408
140,0.038888889,205.47,197.28,196.45,202.22,26.409
145,0.040277778,205.52,197.11,196.86,202.23,26.412
150,0.041666667,205.48,197.37,196.06,201.94,26.413
155,0.043055556,205.58,197.27,196.19,202.08,26.412
160,0.044444444,205.46,197.37,195.67,202.18,26.409
165,0.045833333,205.65,197.14,195.87,202.46,26.408
170,0.047222222,205.69,196.78,195.77,202.2,26.408
175,0.048611111,205.87,196.8,196.19,202.09,26.407
180,0.05,205.49,197.07,196.69,202.02,26.404
185,0.051388889,205.09,197.28,196.43,202.16,26.404
190,0.052777778,205.12,197.01,196.58,202.26,26.404
195,0.054166667,205.36,196.79,196.5,202.22,26.407
200,0.055555556,205.44,196.67,196.29,202.14,26.406
205,0.056944444,205.15,197,195.9,202.19,26.407
210,0.058333333,205.01,197.14,195.24,202.19,26.405
215,0.059722222,205.39,197.4,195.29,202.24,26.405
220,0.061111111,205.47,197.22,195.56,202.12,26.404
225,0.0625,205.61,196.96,195.77,202.03,26.405
230,0.063888889,205.24,197.06,195.61,202.09,26.405
235,0.065277778,205.5,197.28,195.5,202.08,26.407
240,0.066666667,205.38,197.41,195.58,202.41,26.406
245,0.068055556,205.46,197.03,196.23,202.46,26.406
250,0.069444444,205.23,196.72,195.91,202.42,26.405
255,0.070833333,205.62,196.68,195.62,202.3,26.406
260,0.072222222,205.78,196.93,195.63,202.1,26.406
265,0.073611111,205.89,197.4,196.1,202.11,26.405
270,0.075,205.8,197.53,196.75,202.05,26.405
275,0.076388889,205.77,197.36,196.2,202.02,26.406
280,0.077777778,205.56,197.08,196.12,202.16,26.407
285,0.079166667,205.28,196.79,196.05,202.11,26.407
290,0.080555556,204.81,196.73,196.03,202.06,26.407
295,0.081944444,204.99,196.93,195.79,201.89,26.406
300,0.083333333,205.16,196.91,195.22,201.94,26.406
305,0.084722222,205.4,197.25,195.2,202.19,26.407
310,0.086111111,205.44,197.1,195.48,202.14,26.408
315,0.0875,205.29,197.02,196.14,202.06,26.407
320,0.088888889,205.31,196.58,196.32,201.85,26.408
325,0.090277778,205.48,196.61,195.84,201.86,26.408
330,0.091666667,205.66,196.83,195.3,201.88,26.41
335,0.093055556,205.99,197.08,195.73,201.78,26.41
340,0.094444444,205.9,196.86,195.75,201.75,26.411
345,0.095833333,205.93,196.72,196.06,201.59,26.412
350,0.097222222,205.57,196.73,195.6,201.62,26.411
355,0.098611111,205.66,197.03,195.59,201.8,26.409
360,0.1,205.57,197.33,195.35,201.89,26.409
365,0.101388889,205.78,197.34,195.15,201.92,26.412
370,0.102777778,205.54,197.34,195.6,201.57,26.413
375,0.104166667,205.28,197.25,196.05,201.47,26.411
380,0.105555556,205.2,197.01,196.67,201.49,26.409
385,0.106944444,205.39,196.72,196.78,201.71,26.41
390,0.108333333,205.25,196.62,196.8,201.85,26.411
395,0.109722222,205.29,196.72,196.25,201.9,26.41
400,0.111111111,205,196.75,195.88,201.81,26.409
405,0.1125,205.51,196.53,195.97,201.65,26.409
410,0.113888889,205.54,196.48,196.44,201.71,26.409
415,0.115277778,205.76,196.44,196.6,201.72,26.408
420,0.116666667,205.64,196.84,195.96,201.87,26.408
425,0.118055556,205.65,196.97,195.33,201.83,26.408
430,0.119444444,205.53,196.85,195.04,201.96,26.409
435,0.120833333,205.67,196.58,195.68,201.78,26.409
440,0.122222222,205.36,196.67,195.78,201.71,26.411
445,0.123611111,205.25,197.17,196.31,201.5,26.412
450,0.125,204.84,197.43,196.24,201.54,26.412
455,0.126388889,205.31,197.35,196.16,201.65,26.409
460,0.127777778,205.62,196.99,196.17,201.67,26.409
465,0.129166667,205.51,196.83,196.19,201.91,26.41
470,0.130555556,205.18,196.63,196.82,201.7,26.414
475,0.131944444,204.89,196.54,196.51,201.93,26.415
480,0.133333333,205.32,196.46,196.47,201.68,26.414
485,0.134722222,205.48,196.74,196.4,201.76,26.413
490,0.136111111,205.69,196.82,196.58,201.52,26.412
495,0.1375,205.32,196.61,196.05,201.68,26.414
500,0.138888889,205.42,196.33,195.96,201.61,26.415
505,0.140277778,205.07,196.4,196.14,201.58,26.415
510,0.141666667,205.33,196.61,196.66,201.51,26.415
515,0.143055556,205.15,196.9,196.73,201.55,26.414
520,0.144444444,205.12,196.77,195.94,201.68,26.414
525,0.145833333,205.05,196.71,195.9,201.67,26.412
530,0.147222222,204.84,196.39,196.09,201.88,26.412
535,0.148611111,205.21,196.69,196.67,201.74,26.412
540,0.15,205.43,196.83,196.02,201.64,26.414
545,0.151388889,205.8,196.98,195.54,201.41,26.417
550,0.152777778,205.76,196.76,195.7,201.54,26.416
555,0.154166667,205.44,196.55,195.74,201.59,26.415
560,0.155555556,205.51,196.49,196,201.48,26.413
565,0.156944444,205.72,196.43,195.7,201.35,26.415
570,0.158333333,205.86,196.62,195.77,201.48,26.417
575,0.159722222,205.48,196.72,195.49,201.6,26.419
580,0.161111111,205.26,196.62,194.97,201.74,26.42
585,0.1625,205.23,196.47,195.57,201.68,26.417
590,0.163888889,205.31,196.37,195.36,201.58,26.416
595,0.165277778,205.27,196.39,195.38,201.34,26.416
600,0.166666667,205.18,196.46,194.58,201.31,26.42
605,0.168055556,205.11,196.52,194.99,201.32,26.421
610,0.169444444,205.17,196.49,195.56,201.45,26.421
615,0.170833333,205.14,196.55,195.69,201.38,26.421
620,0.172222222,205.15,196.55,195.73,201.48,26.421
625,0.173611111,205.3,196.67,195.16,201.63,26.422
630,0.175,205.62,196.37,195.71,201.77,26.421
635,0.176388889,205.74,196.31,195.14,201.78,26.421
640,0.177777778,205.49,196.08,195.58,201.72,26.422
645,0.179166667,205.48,196.26,195.62,201.71,26.422
650,0.180555556,205.72,196.56,195.77,201.58,26.422
655,0.181944444,205.53,196.7,196.04,201.55,26.422
660,0.183333333,205.3,196.65,196.09,201.4,26.424
665,0.184722222,205.09,196.42,196.64,201.46,26.423
670,0.186111111,205.18,196.36,196,201.52,26.423
675,0.1875,205.4,196.2,195.92,201.36,26.424
680,0.188888889,205.61,196.29,195.44,201.57,26.425
685,0.190277778,205.72,196.49,195.88,201.44,26.425
690,0.191666667,205.42,196.82,195.47,201.61,26.424
695,0.193055556,205.34,196.69,195.9,201.19,26.424
700,0.194444444,205.44,196.57,195.38,201.02,26.425
705,0.195833333,205.33,196.57,195.76,201.04,26.425
710,0.197222222,205.45,196.53,194.96,201.22,26.427
715,0.198611111,205.44,196.48,194.99,201.38,26.426
720,0.2,205.41,196.44,194.48,201.46,26.425
725,0.201388889,205.33,196.52,195.12,201.38,26.424
730,0.202777778,205.27,196.52,195.6,201.23,26.425
735,0.204166667,205.7,196.4,195.93,201.09,26.426
740,0.205555556,205.55,196.17,196.06,201.27,26.429
745,0.206944444,205.42,196.06,196.21,201.47,26.427
750,0.208333333,205.21,195.91,195.92,201.6,26.427
755,0.209722222,205.05,196.09,195.54,201.51,26.425
760,0.211111111,205.03,196.08,194.92,201.4,26.428
765,0.2125,205.15,196.27,194.84,201.33,26.431
770,0.213888889,205.35,196.17,194.99,201.3,26.431
775,0.215277778,205.42,196.55,195.16,201.49,26.43
780,0.216666667,205.31,196.47,195.26,201.41,26.429
785,0.218055556,205.05,196.59,194.81,201.46,26.429
790,0.219444444,205.21,196.35,195.19,201.35,26.43
795,0.220833333,205.23,196.33,195.69,201.37,26.43
800,0.222222222,205.46,196.08,195.96,201.46,26.43
805,0.223611111,205.29,195.98,195.49,201.35,26.429
810,0.225,205.29,196.29,194.9,201.29,26.43
815,0.226388889,205.09,196.44,195.24,201.24,26.432
820,0.227777778,205.28,196.69,195.76,201.46,26.431
825,0.229166667,205.15,196.45,196.34,201.52,26.431
830,0.230555556,205.22,196.46,195.99,201.49,26.429
835,0.231944444,204.96,196.44,195.64,201.5,26.429
840,0.233333333,204.86,196.65,195.54,201.49,26.432
845,0.234722222,205.04,196.76,195.86,201.41,26.433
850,0.236111111,205.31,196.57,195.81,201.17,26.435
855,0.2375,205.48,196.37,195.42,201.02,26.434
860,0.238888889,205.19,196.06,195.28,201.13,26.433
