seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0.731,0.000203056,202.993,199.564,184.215,184.279,28.423
2.731,0.000758611,202.96,199.677,184.18,184.267,28.422
4.733,0.001314722,202.812,199.55,184.185,184.203,28.422
6.733,0.001870278,202.822,199.56,184.292,184.173,28.42
8.734,0.002426111,202.74,199.541,184.143,184.229,28.42
10.734,0.002981667,202.635,199.715,184.177,184.195,28.419
12.734,0.003537222,202.74,199.64,184.018,184.215,28.419
14.734,0.004092778,202.702,199.687,184.19,184.263,28.421
16.734,0.004648333,202.893,199.673,184.194,184.19,28.42
18.733,0.005203611,202.769,199.649,184.207,184.275,28.421
20.734,0.005759444,202.84,199.747,184.09,184.253,28.424
22.733,0.006314722,203.008,199.606,184.117,184.156,28.424
24.734,0.006870556,202.731,199.649,184.07,184.305,28.42
26.734,0.007426111,202.711,199.461,184.19,184.12,28.421
28.736,0.007982222,202.639,199.446,184.171,184.167,28.424
30.735,0.0085375,202.72,199.615,184.227,184.176,28.424
32.734,0.009092778,202.716,199.62,184.181,184.301,28.423
34.735,0.009648611,202.769,199.555,184.339,184.267,28.421
36.735,0.010204167,202.831,199.639,184.215,184.233,28.423
38.735,0.010759722,202.75,199.701,184.135,184.036,28.418
40.735,0.011315278,202.73,199.606,184.356,184.223,28.422
42.737,0.011871389,202.788,199.578,184.227,184.335,28.424
44.737,0.012426944,202.606,199.456,184.374,184.22,28.422
46.737,0.0129825,202.716,199.48,184.481,184.249,28.42
48.736,0.013537778,202.869,199.644,184.254,184.276,28.422
50.737,0.014093611,202.683,199.56,184.211,184.108,28.421
52.738,0.014649444,202.783,199.545,184.364,184.232,28.423
54.737,0.015204722,202.812,199.658,184.472,184.185,28.423
56.738,0.015760556,202.822,199.541,184.258,184.109,28.42
58.738,0.016316111,202.764,199.503,184.331,184.259,28.42
60.739,0.016871944,202.784,199.541,184.4,184.148,28.42
62.74,0.017427778,202.755,199.664,184.392,184.388,28.418
64.74,0.017983333,202.75,199.626,184.34,184.238,28.418
66.74,0.018538889,202.751,199.373,184.298,184.14,28.416
68.739,0.019094167,202.88,199.49,184.405,184.26,28.415
70.74,0.01965,202.779,199.354,184.264,184.191,28.415
72.739,0.020205278,202.918,199.504,184.332,184.132,28.416
74.74,0.020761111,202.918,199.678,184.2,184.186,28.415
76.74,0.021316667,202.837,199.65,184.276,184.247,28.417
78.741,0.0218725,202.918,199.49,184.234,184.311,28.415
80.742,0.022428333,202.918,199.486,184.281,184.191,28.416
82.743,0.022984167,202.918,199.575,184.345,184.186,28.417
84.743,0.023539722,202.779,199.354,184.229,184.127,28.416
86.746,0.024096111,202.847,199.58,184.229,184.362,28.416
88.746,0.024651667,202.99,199.373,184.195,184.216,28.416
90.746,0.025207222,202.66,199.288,184.203,184.324,28.418
92.746,0.025762778,202.717,199.363,184.135,184.255,28.418
94.746,0.026318333,202.693,199.349,184.191,184.178,28.417
96.745,0.026873611,202.737,199.392,184.041,184.308,28.416
98.747,0.027429722,202.847,199.538,184.123,184.362,28.413
100.747,0.027985278,202.842,199.424,184.019,184.316,28.417
102.745,0.028540278,202.78,199.401,184.209,184.38,28.414
104.747,0.029096389,202.943,199.298,184.178,184.23,28.416
106.746,0.029651667,202.886,199.396,184.14,184.295,28.415
108.747,0.0302075,202.933,199.336,184.282,184.183,28.412
110.748,0.030763333,202.775,199.27,184.084,184.085,28.414
112.747,0.031318611,202.938,199.251,184.221,184.14,28.414
114.748,0.031874444,202.742,199.383,184.273,184.354,28.414
116.748,0.03243,203.068,199.387,184.192,184.32,28.413
118.748,0.032985556,202.68,199.265,184.337,184.381,28.414
120.747,0.033540833,202.685,199.299,184.145,184.328,28.413
122.748,0.034096667,202.804,199.223,184.178,184.333,28.417
124.748,0.034652222,202.66,199.321,184.178,184.256,28.415
126.749,0.035208056,202.933,199.35,184.123,184.372,28.413
128.749,0.035763611,202.689,199.059,184.114,184.23,28.415
130.75,0.036319444,202.746,199.321,184.08,184.076,28.415
132.748,0.036874444,202.645,199.316,184.178,184.328,28.416
134.748,0.03743,202.962,199.434,184.148,184.325,28.415
136.749,0.037985833,202.714,199.43,184.282,184.217,28.412
138.748,0.038541111,202.699,199.326,184.102,184.311,28.414
140.75,0.039097222,202.799,199.209,184.183,184.29,28.415
142.749,0.0396525,202.814,199.34,184.063,184.372,28.413
144.749,0.040208056,202.756,199.401,184.119,184.364,28.414
146.75,0.040763889,202.775,199.454,184.132,184.256,28.411
148.75,0.041319444,202.66,199.5,184.157,184.334,28.413
150.751,0.041875278,202.829,199.454,184.03,184.299,28.411
152.75,0.042430556,202.728,199.421,183.966,184.381,28.41
154.751,0.042986389,202.881,199.379,184.149,184.209,28.411
156.751,0.043541944,202.523,199.303,183.995,184.346,28.411
158.754,0.044098333,202.728,199.51,184.03,184.244,28.411
160.753,0.044653611,202.863,199.51,184.115,184.433,28.411
162.759,0.045210833,202.863,199.492,183.928,184.189,28.407
164.755,0.045765278,202.714,199.51,183.893,184.312,28.411
166.754,0.046320556,202.724,199.534,184.171,184.291,28.411
168.754,0.046876111,202.958,199.534,183.932,184.201,28.409
170.753,0.047431389,202.661,199.539,183.919,184.265,28.409
172.754,0.047987222,202.886,199.285,183.905,184.287,28.411
174.753,0.0485425,202.771,199.472,183.897,184.257,28.411
176.754,0.049098333,202.705,199.332,183.714,184.154,28.409
178.754,0.049653889,202.724,199.544,183.714,184.116,28.408
180.754,0.050209444,202.882,199.332,183.782,184.103,28.409
182.756,0.050765556,202.844,199.332,183.714,184.073,28.409
184.757,0.051321389,202.873,199.286,183.911,184.099,28.407
186.757,0.051876944,202.997,199.516,183.796,184.116,28.406
188.757,0.0524325,202.843,199.36,183.62,184.103,28.411
190.758,0.052988333,202.695,199.53,183.757,184.177,28.407
