trial,brick,channel,n,total_mass_mg,corrected_mass_mg,RMR,A,M,temp_C,vessel,date,environment,notes,filtered,signal_rate,is_paired_trial,pair_name,pair_partner_trial,pair_has_day_night_for_brick_channel
trial1,box2,Ch2,1.0,0.2263,,2.70896936756792,1.8684231200133328,2.644998291646421,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box2,Ch3,1.0,0.2099,,3.66933463559679,2.4836502036997112,3.515933021523596,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box2,Ch4,1.0,0.2703,,2.92772921140052,2.111020337653524,2.9884265115947497,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box3,Ch2,20.0,7.6,7.238095238095238,8.54665952251859,6.628953574744685,9.384154313225372,28.233,cylinder,10Nov2025,night,,True,9.745341614906833,False,,,False
trial1,box3,Ch3,20.0,6.5,7.222222222222222,8.35276425803045,6.475009907468899,9.166226835989203,28.233,cylinder,10Nov2025,night,,True,0.9813664596273292,False,,,False
trial1,box3,Ch4,20.0,5.5,7.333333333333333,7.55575510354687,5.879572240433967,8.323306624170113,28.233,cylinder,10Nov2025,night,,True,4.161490683229814,False,,,False
trial1,newbox,Ch2,1.0,0.2512999999999999,,2.68969880746292,1.9043719348976371,2.6958885599893967,27.921,small,10Nov2025,night,,True,,False,,,False
trial1,newbox,Ch3,1.0,0.297,,2.42025988091043,1.7866978473975523,2.5293054359234977,27.921,small,10Nov2025,night,,True,,False,,,False
trial1,newbox,Ch4,1.0,0.1811,,4.35623082478139,2.8417802808185897,4.022913176082953,27.921,small,10Nov2025,night,,True,,False,,,False
trial2,newbox,Ch2,5.0,1.1,1.1,3.09154530979242,2.1172945816677937,2.9973085279439142,26.846,medium,11Nov2025,night,,True,,False,,,False
trial2,newbox,Ch3,5.0,0.9,1.125,5.39875117367034,3.718253034109722,5.263675458618366,26.846,medium,11Nov2025,night,,True,,False,,,False
trial2,newbox,Ch4,5.0,1.1,1.1,3.53025268736507,2.4177503927245065,3.422643184985931,26.846,medium,11Nov2025,night,,True,,False,,,False
trial3,box2,Ch2,20.0,4.8999999999999995,4.8999999999999995,5.2275652886883,3.6778243738749894,5.206443380879112,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.1744022503516174,False,,,False
trial3,box2,Ch3,20.0,4.7,4.7,3.55823015619522,2.477427771219284,3.5071243512045855,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.4852320675105485,False,,,False
trial3,box2,Ch4,20.0,4.3,5.0588235294117645,7.57233159277447,5.370126387097228,7.60211911726728,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.2334739803094233,False,,,False
trial3,box3,Ch2,5.0,1.1,1.1,3.07620873766141,2.106791083313268,2.982439446681511,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,box3,Ch3,5.0,1.0,1.0,2.52112011632631,1.6859746354742493,2.3867185022612896,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,box3,Ch4,5.0,0.9,1.125,4.07079645034758,2.8036578767636735,3.9689459068286586,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,newbox,Ch2,,0.2168,,0.384283741359016,0.2622206138818574,0.3712077143142178,26.813,small,12Nov2025,night,,True,,False,,,False
trial3,newbox,Ch3,,0.1989,,0.517094416912964,0.345325416654853,0.4888534761374912,26.813,small,12Nov2025,night,,True,,False,,,False
