video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
1,0.033367,all,870.50,355.50,13.00,869,353,4,6
1,0.033367,all,1054.67,258.17,48.00,1047,256,16,5
1,0.033367,all,1637.36,127.09,70.50,1627,124,20,7
2,0.066733,all,870.50,355.50,13.00,869,353,4,6
2,0.066733,all,1054.61,258.15,51.00,1047,256,16,6
2,0.066733,all,1638.72,126.67,56.50,1630,124,17,6
3,0.100100,all,870.50,355.50,13.00,869,353,4,6
3,0.100100,all,1054.61,258.07,51.00,1047,256,16,5
3,0.100100,all,1639.12,126.62,53.50,1631,124,16,6
4,0.133467,all,870.50,355.50,13.00,869,353,4,6
4,0.133467,all,1054.17,257.96,59.00,1046,255,17,7
4,0.133467,all,1639.60,126.64,48.50,1632,124,15,6
5,0.166833,all,870.30,355.21,10.50,869,353,4,6
5,0.166833,all,1054.36,257.90,66.00,1046,255,17,7
5,0.166833,all,1640.46,126.45,42.00,1635,124,12,6
6,0.200200,all,870.30,355.21,10.50,869,353,4,6
6,0.200200,all,1054.48,257.76,66.00,1046,255,17,6
6,0.200200,all,1640.92,126.30,38.00,1636,124,11,6
7,0.233567,all,870.30,355.21,10.50,869,353,4,6
7,0.233567,all,1054.50,257.76,68.00,1046,255,17,7
7,0.233567,all,1641.18,126.26,35.50,1636,124,11,6
8,0.266933,all,870.30,355.21,10.50,869,353,4,6
8,0.266933,all,1054.51,257.77,70.00,1046,255,17,7
8,0.266933,all,1641.37,126.22,34.00,1637,124,10,6
9,0.300300,all,870.30,355.21,10.50,869,353,4,6
9,0.300300,all,1054.57,257.73,69.00,1046,255,17,7
9,0.300300,all,1641.37,126.22,34.00,1637,124,10,6
10,0.333667,all,870.30,355.21,10.50,869,353,4,6
10,0.333667,all,1054.51,257.77,70.00,1046,255,17,7
10,0.333667,all,1641.44,126.27,33.00,1637,124,10,6
11,0.367033,all,870.30,355.21,10.50,869,353,4,6
11,0.367033,all,1054.45,257.73,71.00,1046,255,17,7
11,0.367033,all,1641.30,126.41,35.50,1637,124,10,6
12,0.400400,all,870.50,355.00,10.00,869,353,4,5
12,0.400400,all,1054.56,257.81,73.00,1046,255,17,7
12,0.400400,all,1641.46,126.33,34.00,1637,124,10,6
13,0.433767,all,870.41,355.28,11.50,869,353,4,6
13,0.433767,all,1054.56,257.81,73.00,1046,255,17,7
13,0.433767,all,1641.46,126.33,34.00,1637,124,10,6
14,0.467133,all,870.41,355.28,11.50,869,353,4,6
14,0.467133,all,1054.56,257.81,73.00,1046,255,17,7
14,0.467133,all,1641.46,126.33,34.00,1637,124,10,6
15,0.500500,all,870.41,355.28,11.50,869,353,4,6
15,0.500500,all,1054.76,257.73,73.50,1046,255,17,7
15,0.500500,all,1641.63,126.36,32.50,1637,124,10,6
16,0.533867,all,870.41,355.28,11.50,869,353,4,6
16,0.533867,all,1054.82,257.84,76.50,1046,255,17,7
16,0.533867,all,1641.63,126.36,32.50,1637,124,10,6
17,0.567233,all,870.50,355.00,10.00,869,353,4,5
17,0.567233,all,1054.82,257.84,76.50,1046,255,17,7
17,0.567233,all,1641.63,126.36,32.50,1637,124,10,6
18,0.600600,all,870.50,355.00,10.00,869,353,4,5
18,0.600600,all,1054.82,257.84,76.50,1046,255,17,7
18,0.600600,all,1641.63,126.36,32.50,1637,124,10,6
19,0.633967,all,870.50,355.00,10.00,869,353,4,5
19,0.633967,all,1054.82,257.84,76.50,1046,255,17,7
19,0.633967,all,1641.65,126.53,36.50,1637,124,10,6
20,0.667333,all,870.59,355.28,11.50,869,353,4,6
20,0.667333,all,1054.82,257.84,76.50,1046,255,17,7
20,0.667333,all,1641.50,126.50,35.00,1637,124,10,6
21,0.700700,all,870.59,355.28,11.50,869,353,4,6
21,0.700700,all,1054.83,257.87,77.50,1046,255,17,7
21,0.700700,all,1641.50,126.50,35.00,1637,124,10,6
22,0.734067,all,870.59,355.28,11.50,869,353,4,6
22,0.734067,all,1054.83,257.87,77.50,1046,255,17,7
