frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
34,1020.0,left,751.63,297.37,10.0,750,295,5,5,9
34,1020.0,left,765.5,512.5,4.0,764,511,4,4,11
34,1020.0,left,755.0,575.0,6.0,753,574,5,3,12
35,1050.0,left,754.5,575.0,4.0,753,574,4,3,12
48,1440.0,right,1391.53,448.13,210.5,1385,424,14,46,16
48,1440.0,right,1388.91,465.73,60.0,1386,450,9,30,18
48,1440.0,right,1458.5,706.0,12.0,1455,705,8,3,20
48,1440.0,right,1443.69,877.81,50.0,1439,874,10,9,22
49,1470.0,right,1383.0,392.0,2.0,1382,391,3,3,24
49,1470.0,right,1389.68,438.22,249.5,1383,396,15,73,25
49,1470.0,right,1387.0,458.0,2.0,1386,457,3,3,18
49,1470.0,right,1391.36,475.5,16.0,1390,472,4,8,26
49,1470.0,right,1472.0,637.0,2.0,1471,636,3,3,27
49,1470.0,right,1443.31,877.9,33.0,1440,874,8,8,22
49,1470.0,right,1388.0,465.5,4.0,1387,464,3,4,29
50,1500.0,left,781.0,238.5,4.0,780,237,3,4,30
50,1500.0,right,1386.17,421.49,70.0,1384,404,6,36,31
50,1500.0,right,1394.07,454.2,74.5,1391,444,7,22,32
50,1500.0,right,1473.0,635.0,2.0,1472,634,3,3,27
50,1500.0,right,1454.63,830.22,8.5,1453,828,4,5,34
50,1500.0,right,1451.86,858.07,59.0,1450,845,5,26,35
50,1500.0,right,1391.0,476.5,4.0,1390,475,3,4,26
51,1530.0,left,781.0,238.0,2.0,780,237,3,3,30
51,1530.0,left,767.44,293.5,19.5,766,289,5,9,36
51,1530.0,right,1385.0,409.0,2.0,1384,408,3,3,37
51,1530.0,left,774.76,418.54,22.5,773,414,5,11,38
51,1530.0,left,739.0,563.0,6.0,737,562,5,3,39
51,1530.0,right,1393.0,448.5,4.0,1392,447,3,4,32
51,1530.0,right,1455.0,830.0,2.0,1454,829,3,3,34
51,1530.0,right,1451.71,862.44,25.0,1450,856,4,14,35
51,1530.0,right,1386.0,419.0,18.0,1385,414,3,11,31
52,1560.0,left,768.0,295.5,8.0,767,293,3,6,36
52,1560.0,left,775.0,417.5,12.0,774,414,3,8,38
52,1560.0,left,739.0,563.0,2.0,738,562,3,3,39
54,1620.0,right,1426.09,815.08,30.0,1421,813,10,6,42
54,1620.0,right,1426.0,835.0,2.0,1425,834,3,3,43
55,1650.0,right,1427.06,815.39,17.0,1424,813,7,5,42
55,1650.0,right,1407.08,907.56,89.5,1404,897,8,23,45
56,1680.0,right,1406.86,913.67,23.5,1405,910,5,9,45
56,1680.0,right,1407.4,901.05,25.0,1405,897,7,10,47
56,1680.0,right,1406.07,145.54,103.0,1395,139,25,11,48
57,1710.0,right,1402.65,145.33,46.5,1396,140,16,9,48
57,1710.0,right,1428.0,630.5,4.0,1427,629,3,4,49
57,1710.0,right,1443.51,685.14,8.5,1442,683,4,6,50
60,1800.0,right,1406.21,897.15,29.5,1404,891,5,12,56
61,1830.0,right,1405.59,898.72,11.5,1404,896,4,6,56
63,1890.0,right,1414.7,441.7,5.5,1413,440,4,4,59
65,1950.0,right,1398.61,406.58,19.0,1396,399,6,16,62
65,1950.0,right,1406.0,442.5,4.0,1405,441,3,4,63
65,1950.0,right,1422.0,661.5,4.0,1421,660,3,4,64
67,2010.0,right,1352.0,9.0,2.0,1351,8,3,3,65
67,2010.0,right,1363.5,685.0,8.0,1361,684,6,3,70
68,2040.0,right,1386.36,498.94,13.5,1384,496,5,7,73
68,2040.0,right,1362.0,880.5,4.0,1361,879,3,4,74
69,2070.0,right,1384.0,450.5,4.0,1383,449,3,4,75
70,2100.0,right,1357.15,14.15,12.5,1355,12,5,5,76
70,2100.0,right,1358.07,79.98,422.5,1346,61,26,38,77
70,2100.0,right,1385.0,460.0,2.0,1384,459,3,3,78
70,2100.0,right,1405.77,485.15,104.5,1401,474,10,23,79
70,2100.0,right,1376.33,681.33,6.0,1375,679,4,6,81
70,2100.0,right,1382.39,899.56,9.0,1381,897,4,6,82
71,2130.0,right,1357.5,13.5,7.0,1356,12,4,4,76
71,2130.0,right,1345.26,21.08,22.5,1341,19,9,5,83
71,2130.0,right,1355.36,87.43,534.5,1345,63,27,69,77
71,2130.0,right,1400.66,481.65,233.5,1389,467,22,35,79
72,2160.0,right,1365.68,75.11,72.0,1359,63,12,24,85
72,2160.0,right,1354.5,74.5,8.0,1352,72,6,6,86
