video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
48,1.601602,right,1444.61,851.24,50.50,1441,846,8,11
48,1.601602,right,1390.97,456.33,198.50,1387,437,10,38
49,1.634968,right,1474.31,642.81,85.50,1470,635,10,20
54,1.801802,right,1430.38,686.08,224.00,1414,681,31,12
54,1.801802,right,1417.09,141.10,171.00,1407,134,22,15
55,1.835168,right,1426.26,685.32,197.50,1409,679,34,13
55,1.835168,right,1430.88,611.57,93.00,1427,602,8,25
55,1.835168,right,1409.06,143.56,152.50,1397,139,24,10
60,2.002002,right,1414.19,430.22,272.00,1407,400,16,51
63,2.102102,right,1406.45,428.24,201.50,1402,414,10,30
67,2.235569,right,1382.53,662.48,129.00,1374,649,19,38
67,2.235569,right,1386.14,479.37,193.00,1383,457,8,44
70,2.335669,right,1406.49,483.86,57.50,1403,475,7,20
70,2.335669,right,1357.43,80.06,297.50,1347,66,23,31
71,2.369036,right,1398.43,474.34,75.50,1390,468,19,13
72,2.402402,right,1384.79,502.42,298.00,1371,488,23,31
80,2.669336,right,1461.33,421.27,66.00,1459,408,7,31
83,2.769436,right,1431.54,360.38,55.00,1429,350,6,24
83,2.769436,right,1391.56,85.24,181.00,1387,56,13,49
86,2.869536,right,1470.91,889.53,79.50,1464,883,14,12
86,2.869536,right,1487.69,695.08,197.50,1478,687,19,18
86,2.869536,right,1440.94,691.20,78.00,1433,686,15,11
86,2.869536,right,1382.86,497.60,83.00,1379,480,7,34
88,2.936270,right,1466.34,397.36,118.50,1461,390,13,21
89,2.969636,right,1449.39,651.25,120.00,1444,644,14,15
91,3.036370,right,1383.94,339.00,71.50,1379,329,11,19
91,3.036370,right,1351.86,85.79,101.00,1347,73,13,30
103,3.436770,right,1465.78,324.50,62.50,1459,312,12,24
103,3.436770,right,1427.87,76.68,94.50,1422,67,12,21
106,3.536870,right,1385.39,457.73,120.50,1378,444,15,27
117,3.903904,right,1495.60,418.73,53.50,1493,410,8,21
119,3.970637,right,1407.68,422.52,352.50,1398,410,22,27
122,4.070737,right,1425.11,391.83,56.50,1423,384,5,18
122,4.070737,right,1377.63,49.62,52.00,1374,41,9,16
138,4.604605,right,1452.06,545.30,76.50,1450,534,6,24
139,4.637971,right,1453.72,546.40,62.00,1451,540,8,14
140,4.671338,right,1422.29,604.93,54.00,1417,600,14,12
140,4.671338,right,1426.69,390.76,237.00,1412,379,24,36
141,4.704705,right,1419.08,511.20,56.50,1413,506,12,14
141,4.704705,right,1361.72,103.80,220.50,1354,91,15,29
144,4.804805,right,1442.41,622.99,67.00,1439,616,7,19
144,4.804805,right,1433.82,447.67,108.50,1426,440,15,22
148,4.938272,right,1378.68,619.93,86.50,1376,606,7,29
152,5.071738,right,1460.68,456.29,147.00,1454,436,11,45
166,5.538872,right,1478.36,503.54,95.50,1470,492,19,23
167,5.572239,right,1483.56,681.01,73.50,1479,674,12,14
167,5.572239,right,1479.02,503.03,90.50,1471,492,19,27
168,5.605606,right,1434.17,456.44,286.50,1428,442,19,38
169,5.638972,right,1429.39,486.65,79.00,1428,471,4,34
171,5.705706,right,1355.51,361.06,95.00,1352,348,9,23
172,5.739072,right,1402.28,372.45,62.50,1400,364,6,19
174,5.805806,right,1452.07,417.58,108.00,1446,409,13,17
175,5.839173,right,1460.23,489.71,54.00,1457,485,8,12
175,5.839173,right,1451.28,415.84,54.50,1448,409,9,14
176,5.872539,right,1447.44,542.62,198.00,1442,532,15,29
179,5.972639,right,1450.48,413.53,60.50,1445,405,11,22
190,6.339673,right,1506.59,399.04,187.00,1500,388,17,24
192,6.406406,right,1447.86,528.37,57.50,1444,522,7,18
214,7.140474,right,1486.55,503.68,204.00,1483,480,8,57
215,7.173840,right,1407.28,485.01,103.00,1404,472,7,26
240,8.008008,right,1429.71,603.62,56.00,1428,595,5,19
240,8.008008,right,1445.51,480.19,68.50,1441,475,10,13
240,8.008008,right,1419.70,316.65,85.50,1411,312,16,12
240,8.008008,right,1390.66,103.73,307.00,1379,71,18,50
242,8.074741,right,1382.98,379.80,581.50,1376,332,17,83
256,8.541875,right,1453.39,476.86,85.50,1449,469,10,16
256,8.541875,right,1433.02,66.63,593.50,1425,36,24,59
257,8.575242,right,1427.87,412.28,57.00,1423,408,11,11
258,8.608609,right,1412.47,601.81,291.00,1391,593,38,24
266,8.875542,middle,750.79,411.02,56.00,746,405,10,13
280,9.342676,right,1359.37,644.31,177.50,1354,631,13,29
281,9.376043,right,1359.43,643.57,148.50,1354,631,13,27
281,9.376043,right,1488.25,478.44,275.00,1481,467,16,27
282,9.409409,right,1505.54,648.08,61.00,1498,642,13,16
282,9.409409,right,1485.90,454.09,470.00,1481,417,14,63
