video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010067_2025Nov12.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
48,1440.0,middle,930.73,8.41,58.0,925,0,11,17
48,1440.0,middle,955.73,21.37,395.5,944,1,32,39
48,1440.0,middle,944.0,215.5,4.0,943,214,3,4
48,1440.0,middle,947.94,313.83,23.0,946,308,4,13
49,1470.0,middle,930.76,8.13,48.5,925,0,11,17
49,1470.0,middle,955.44,21.51,339.5,944,1,31,39
49,1470.0,middle,948.0,313.44,18.0,947,308,3,12
50,1500.0,middle,990.73,342.17,144.0,982,328,17,26
50,1500.0,middle,984.14,194.0,49.5,978,188,13,11
50,1500.0,middle,955.75,21.37,221.0,945,1,29,38
50,1500.0,middle,930.97,7.89,40.5,926,0,10,16
51,1530.0,middle,930.5,9.0,5.0,929,7,4,5
51,1530.0,middle,956.24,16.78,7.5,954,15,5,4
51,1530.0,middle,990.39,342.18,124.0,983,329,15,25
51,1530.0,middle,984.26,193.82,48.5,978,189,12,10
52,1560.0,middle,990.22,342.69,68.5,984,331,13,22
52,1560.0,middle,981.75,195.44,12.5,979,193,6,5
52,1560.0,middle,987.7,190.3,5.5,986,189,4,4
64,1920.0,left,819.59,121.89,45.5,816,118,9,10
64,1920.0,left,852.0,29.0,10.0,849,28,7,3
65,1950.0,left,853.0,29.0,2.0,852,28,3,3
65,1950.0,left,819.61,121.77,37.5,817,118,7,10
66,1980.0,left,819.56,121.51,24.0,817,118,7,9
70,2100.0,left,835.7,492.65,64.5,833,485,8,18
70,2100.0,middle,934.97,463.97,311.0,927,448,23,42
70,2100.0,middle,957.01,618.04,53.0,952,609,9,21
71,2130.0,right,1229.0,46.0,19.0,1226,44,7,5
71,2130.0,middle,934.89,463.22,296.0,928,448,21,42
71,2130.0,left,835.47,491.31,53.5,833,485,7,15
71,2130.0,middle,957.02,618.26,38.5,953,610,8,20
72,2160.0,right,1229.0,46.0,19.0,1226,44,7,5
72,2160.0,middle,938.39,194.71,40.0,934,191,10,8
72,2160.0,middle,957.72,619.11,9.0,956,616,4,7
72,2160.0,middle,930.18,476.24,81.5,928,466,7,23
72,2160.0,middle,918.0,478.0,2.0,917,477,3,3
72,2160.0,left,835.26,492.84,20.5,833,489,6,9
72,2160.0,middle,955.0,612.0,6.0,953,610,5,5
72,2160.0,middle,920.5,671.5,18.0,919,667,4,10
72,2160.0,middle,939.83,453.31,92.0,933,448,15,11
73,2190.0,middle,965.83,31.07,239.0,951,24,26,18
73,2190.0,right,1229.14,46.0,18.0,1226,44,7,5
73,2190.0,middle,937.83,194.83,32.0,934,191,9,8
73,2190.0,middle,960.9,336.74,44.0,959,330,5,14
73,2190.0,middle,949.0,452.0,8.0,946,450,7,5
73,2190.0,middle,966.0,557.5,4.0,965,556,3,4
73,2190.0,middle,920.0,669.0,2.0,919,668,3,3
74,2220.0,middle,965.87,30.99,203.5,951,24,25,18
74,2220.0,right,1229.14,46.0,18.0,1226,44,7,5
74,2220.0,middle,937.5,193.5,4.0,935,192,6,4
74,2220.0,middle,960.88,336.69,39.0,959,330,5,14
75,2250.0,middle,967.0,25.0,2.0,966,24,3,3
75,2250.0,middle,966.27,31.45,121.5,954,24,22,17
75,2250.0,right,1229.14,46.0,18.0,1226,44,7,5
75,2250.0,middle,960.58,335.58,26.0,959,330,4,12
76,2280.0,right,1229.57,45.93,21.0,1226,44,8,5
76,2280.0,middle,960.15,26.85,12.5,958,25,5,5
77,2310.0,right,1229.57,45.93,21.0,1226,44,8,5
78,2340.0,middle,958.78,25.31,15.5,956,23,7,5
78,2340.0,middle,995.61,192.39,124.5,989,182,14,23
78,2340.0,left,819.14,652.29,27.5,816,647,8,10
78,2340.0,left,816.95,530.04,92.0,812,523,12,16
78,2340.0,middle,926.8,643.11,58.5,925,635,6,19
78,2340.0,left,819.51,660.49,11.5,817,658,6,6
78,2340.0,middle,920.66,689.47,172.0,910,682,19,18
78,2340.0,middle,922.23,704.43,14.5,919,703,7,4
78,2340.0,middle,999.79,284.01,310.5,992,260,15,54
79,2370.0,middle,959.0,25.5,10.0,957,24,5,4
79,2370.0,middle,995.73,192.25,106.0,990,182,12,23
79,2370.0,middle,999.71,283.09,247.5,992,260,15,49
79,2370.0,middle,979.07,460.56,29.0,976,456,7,14
79,2370.0,middle,968.14,311.83,106.5,960,306,16,14
79,2370.0,left,784.25,564.29,48.5,782,556,5,18
79,2370.0,middle,926.75,642.62,48.0,925,635,5,17
79,2370.0,middle,985.23,646.43,14.5,982,645,7,4
79,2370.0,left,819.15,651.81,19.5,817,647,6,10
79,2370.0,left,813.5,654.0,4.0,812,653,4,3
79,2370.0,left,820.0,660.0,2.0,819,659,3,3
79,2370.0,middle,921.53,689.63,135.5,914,683,15,17
79,2370.0,middle,922.08,704.42,12.0,919,703,7,4
79,2370.0,left,817.15,530.21,82.0,812,524,12,15
80,2400.0,middle,995.13,263.15,17.5,993,260,5,8
80,2400.0,middle,995.5,192.39,84.5,990,183,11,22
80,2400.0,middle,1002.22,282.83,62.5,998,272,8,23
80,2400.0,middle,958.5,25.0,4.0,957,24,4,3
80,2400.0,middle,997.68,298.95,43.0,996,290,5,19
80,2400.0,middle,985.11,646.72,9.0,982,645,7,4
80,2400.0,middle,978.0,457.85,10.0,976,456,5,5
80,2400.0,middle,922.0,704.0,6.0,920,703,5,3
