video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010072_2025Nov13.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
69,2070.000000,all,648.00,381.00,2.00,647,380,3,3
70,2100.000000,all,1306.00,732.50,4.00,1305,731,3,4
71,2130.000000,all,1306.17,733.01,23.00,1304,730,6,8
71,2130.000000,all,1296.00,53.50,4.00,1295,52,3,4
72,2160.000000,all,1305.87,734.58,52.00,1303,729,7,14
72,2160.000000,all,1295.81,53.81,9.50,1294,52,5,5
73,2190.000000,all,1305.73,735.05,64.50,1303,729,7,14
73,2190.000000,all,1295.86,53.69,13.50,1294,51,5,6
74,2220.000000,all,1305.88,734.99,67.50,1303,729,8,14
74,2220.000000,all,1296.00,53.84,15.00,1294,51,5,6
75,2250.000000,all,1305.89,734.91,73.00,1302,729,9,14
75,2250.000000,all,1295.89,53.66,16.50,1294,51,5,6
76,2280.000000,all,1305.98,735.00,72.50,1302,729,9,14
76,2280.000000,all,1295.89,53.66,16.50,1294,51,5,6
77,2310.000000,all,1305.98,735.00,72.50,1302,729,9,14
77,2310.000000,all,1020.00,141.00,2.00,1019,140,3,3
77,2310.000000,all,1295.89,53.66,16.50,1294,51,5,6
78,2340.000000,all,1305.88,735.01,74.00,1302,729,9,15
78,2340.000000,all,1020.00,141.00,2.00,1019,140,3,3
78,2340.000000,all,1296.00,53.50,18.00,1294,51,5,6
79,2370.000000,all,1305.95,735.12,76.50,1302,729,9,15
79,2370.000000,all,1020.50,141.00,4.00,1019,140,4,3
79,2370.000000,all,1296.00,53.50,18.00,1294,51,5,6
80,2400.000000,all,1305.86,735.36,78.00,1302,729,9,15
80,2400.000000,all,1020.50,141.00,4.00,1019,140,4,3
80,2400.000000,all,1296.00,53.50,18.00,1294,51,5,6
81,2430.000000,all,1305.99,735.32,76.00,1302,729,9,15
81,2430.000000,all,1020.50,141.00,4.00,1019,140,4,3
81,2430.000000,all,1296.00,53.50,18.00,1294,51,5,6
82,2460.000000,all,1305.99,735.22,75.00,1302,729,9,15
82,2460.000000,all,186.00,460.00,2.00,185,459,3,3
82,2460.000000,all,1020.50,141.00,4.00,1019,140,4,3
82,2460.000000,all,1296.00,53.50,18.00,1294,51,5,6
83,2490.000000,all,1306.05,735.17,73.00,1303,729,8,14
83,2490.000000,all,186.00,460.00,2.00,185,459,3,3
83,2490.000000,all,1020.50,141.00,4.00,1019,140,4,3
83,2490.000000,all,1296.00,53.50,18.00,1294,51,5,6
84,2520.000000,all,1306.05,735.17,73.00,1303,729,8,14
84,2520.000000,all,186.00,460.00,2.00,185,459,3,3
84,2520.000000,all,1020.50,141.00,4.00,1019,140,4,3
84,2520.000000,all,1296.00,53.50,18.00,1294,51,5,6
85,2550.000000,all,1306.05,735.17,73.00,1303,729,8,14
85,2550.000000,all,1020.50,141.00,4.00,1019,140,4,3
85,2550.000000,all,1296.00,53.50,18.00,1294,51,5,6
86,2580.000000,all,1306.05,735.17,73.00,1303,729,8,14
86,2580.000000,all,1020.50,141.00,4.00,1019,140,4,3
86,2580.000000,all,1296.00,53.50,18.00,1294,51,5,6
87,2610.000000,all,1306.05,735.17,73.00,1303,729,8,14
87,2610.000000,all,1020.50,141.00,4.00,1019,140,4,3
87,2610.000000,all,1296.00,53.50,18.00,1294,51,5,6
88,2640.000000,all,1306.03,735.04,71.50,1303,729,8,14
88,2640.000000,all,1020.50,141.00,4.00,1019,140,4,3
88,2640.000000,all,1296.00,53.50,18.00,1294,51,5,6
89,2670.000000,all,1306.03,735.04,71.50,1303,729,8,14
89,2670.000000,all,1020.50,141.00,4.00,1019,140,4,3
89,2670.000000,all,1296.00,53.50,18.00,1294,51,5,6
90,2700.000000,all,1306.10,735.00,69.50,1303,729,8,14
90,2700.000000,all,1020.50,141.00,4.00,1019,140,4,3
90,2700.000000,all,1296.00,53.50,18.00,1294,51,5,6
91,2730.000000,all,1306.10,735.00,69.50,1303,729,8,14
91,2730.000000,all,1020.50,141.00,4.00,1019,140,4,3
91,2730.000000,all,1296.11,53.66,16.50,1294,51,5,6
92,2760.000000,all,1306.10,735.00,69.50,1303,729,8,14
92,2760.000000,all,1020.50,141.00,4.00,1019,140,4,3
92,2760.000000,all,1296.11,53.66,16.50,1294,51,5,6
93,2790.000000,all,1306.10,735.00,69.50,1303,729,8,14
93,2790.000000,all,1020.50,141.00,4.00,1019,140,4,3
93,2790.000000,all,1296.11,53.66,16.50,1294,51,5,6
94,2820.000000,all,1306.12,735.08,68.50,1303,729,8,14
94,2820.000000,all,1020.50,141.00,4.00,1019,140,4,3
94,2820.000000,all,1296.11,53.66,16.50,1294,51,5,6
95,2850.000000,all,1306.12,735.08,68.50,1303,729,8,14
95,2850.000000,all,1020.50,141.00,4.00,1019,140,4,3
95,2850.000000,all,1296.11,53.66,16.50,1294,51,5,6
96,2880.000000,all,1306.20,735.04,66.50,1303,729,8,14
96,2880.000000,all,1020.50,141.00,4.00,1019,140,4,3
96,2880.000000,all,1296.11,53.66,16.50,1294,51,5,6
97,2910.000000,all,1306.16,735.03,65.50,1303,729,8,14
97,2910.000000,all,1020.50,141.00,4.00,1019,140,4,3
97,2910.000000,all,1296.11,53.66,16.50,1294,51,5,6
98,2940.000000,all,1306.20,735.04,66.50,1303,729,8,14
98,2940.000000,all,1020.50,141.00,4.00,1019,140,4,3
98,2940.000000,all,1296.11,53.66,16.50,1294,51,5,6
99,2970.000000,all,1306.34,734.75,63.00,1303,729,8,14
99,2970.000000,all,1020.50,141.00,4.00,1019,140,4,3
99,2970.000000,all,1296.11,53.66,16.50,1294,51,5,6
100,3000.000000,all,1306.41,734.70,62.00,1303,729,9,14
100,3000.000000,all,1020.50,141.00,4.00,1019,140,4,3
100,3000.000000,all,1296.11,53.66,16.50,1294,51,5,6
101,3030.000000,all,1306.38,734.76,62.00,1303,729,8,14
101,3030.000000,all,1020.50,141.00,4.00,1019,140,4,3
101,3030.000000,all,1296.11,53.66,16.50,1294,51,5,6
102,3060.000000,all,1306.36,734.85,61.00,1303,729,8,14
102,3060.000000,all,1020.50,141.00,4.00,1019,140,4,3
102,3060.000000,all,1296.11,53.66,16.50,1294,51,5,6
103,3090.000000,all,1306.30,734.74,59.00,1303,729,8,14
103,3090.000000,all,185.00,460.00,2.00,184,459,3,3
103,3090.000000,all,1020.50,141.00,4.00,1019,140,4,3
103,3090.000000,all,1296.11,53.66,16.50,1294,51,5,6
104,3120.000000,all,1306.37,734.85,57.50,1303,729,8,14
104,3120.000000,all,185.00,460.00,2.00,184,459,3,3
104,3120.000000,all,1020.50,141.00,4.00,1019,140,4,3
104,3120.000000,all,1296.11,53.66,16.50,1294,51,5,6
105,3150.000000,all,1306.40,734.87,58.50,1303,729,8,14
105,3150.000000,all,1020.50,141.00,4.00,1019,140,4,3
105,3150.000000,all,1296.11,53.66,16.50,1294,51,5,6
106,3180.000000,all,1306.50,734.95,56.50,1304,729,7,14
106,3180.000000,all,1020.00,141.00,2.00,1019,140,3,3
106,3180.000000,all,1296.11,53.66,16.50,1294,51,5,6
107,3210.000000,all,1306.47,734.93,55.50,1304,729,7,14
107,3210.000000,all,1020.50,141.00,4.00,1019,140,4,3
107,3210.000000,all,1296.11,53.66,16.50,1294,51,5,6
108,3240.000000,all,1306.47,734.93,55.50,1304,729,7,14
108,3240.000000,all,1020.50,141.00,4.00,1019,140,4,3
108,3240.000000,all,1296.11,53.66,16.50,1294,51,5,6
109,3270.000000,all,1306.47,734.93,55.50,1304,729,7,14
109,3270.000000,all,1020.50,141.00,4.00,1019,140,4,3
109,3270.000000,all,1296.11,53.66,16.50,1294,51,5,6
110,3300.000000,all,1306.44,734.97,57.50,1303,729,8,14
110,3300.000000,all,1020.50,141.00,4.00,1019,140,4,3
110,3300.000000,all,1296.11,53.66,16.50,1294,51,5,6
111,3330.000000,all,1306.42,734.88,56.50,1303,729,8,14
111,3330.000000,all,1020.50,141.00,4.00,1019,140,4,3
111,3330.000000,all,1296.11,53.66,16.50,1294,51,5,6
112,3360.000000,all,1306.44,734.97,57.50,1303,729,8,14
112,3360.000000,all,1020.50,141.00,4.00,1019,140,4,3
112,3360.000000,all,1296.11,53.66,16.50,1294,51,5,6
113,3390.000000,all,1306.50,734.93,58.50,1303,729,9,14
113,3390.000000,all,1020.50,141.00,4.00,1019,140,4,3
113,3390.000000,all,1296.10,53.81,17.50,1294,51,5,7
114,3420.000000,all,1034.00,781.00,2.00,1033,780,3,3
114,3420.000000,all,1306.51,735.03,57.50,1303,729,9,14
114,3420.000000,all,1020.50,141.00,4.00,1019,140,4,3
114,3420.000000,all,1296.10,53.81,17.50,1294,51,5,7
115,3450.000000,all,1306.51,735.03,57.50,1303,729,9,14
115,3450.000000,all,1020.50,141.00,4.00,1019,140,4,3
115,3450.000000,all,1296.10,53.81,17.50,1294,51,5,7
116,3480.000000,all,1306.51,735.03,57.50,1303,729,9,14
116,3480.000000,all,1020.50,141.00,4.00,1019,140,4,3
116,3480.000000,all,1296.11,53.66,16.50,1294,51,5,6
117,3510.000000,all,1306.51,735.03,57.50,1303,729,9,14
117,3510.000000,all,1020.50,141.00,4.00,1019,140,4,3
117,3510.000000,all,1296.11,53.66,16.50,1294,51,5,6
118,3540.000000,all,1306.45,735.06,56.50,1303,729,8,14
118,3540.000000,all,1020.50,141.00,4.00,1019,140,4,3
