video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX01007X_2025Nov14.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
4,120.000000,all,1723.50,8.00,12.00,1720,7,8,3
5,150.000000,all,1731.06,6.88,163.50,1717,2,30,11
6,180.000000,all,1731.65,6.82,199.50,1717,1,31,13
7,210.000000,all,1731.57,6.74,229.50,1716,1,32,13
8,240.000000,all,1731.47,6.76,242.00,1716,1,32,13
9,270.000000,all,1731.36,6.84,248.00,1716,1,32,14
10,300.000000,all,1731.60,6.79,258.50,1716,0,32,15
11,330.000000,all,1731.67,6.80,263.50,1716,0,32,15
12,360.000000,all,1731.69,6.76,265.50,1716,0,32,15
13,390.000000,all,1731.74,6.79,268.50,1716,0,33,15
14,420.000000,all,1731.87,6.80,275.00,1716,0,33,15
15,450.000000,all,1732.00,6.79,278.50,1716,0,33,15
16,480.000000,all,1731.96,6.79,279.50,1716,0,33,15
17,510.000000,all,1731.90,6.83,276.50,1716,0,33,15
18,540.000000,all,1731.89,6.83,278.50,1716,0,33,15
19,570.000000,all,1731.98,6.88,272.50,1716,0,33,15
20,600.000000,all,1731.85,6.89,273.50,1716,0,33,15
21,630.000000,all,1731.86,6.89,273.50,1716,0,33,15
22,660.000000,all,1732.32,6.81,271.00,1716,0,33,15
23,690.000000,all,1732.28,6.80,270.00,1716,0,33,15
24,720.000000,all,1732.24,6.82,271.00,1716,0,33,15
25,750.000000,all,1623.00,32.00,2.00,1622,31,3,3
25,750.000000,all,1732.33,6.82,269.50,1716,0,33,15
26,780.000000,all,1623.00,32.50,4.00,1622,31,3,4
26,780.000000,all,1732.38,6.83,270.50,1716,0,33,15
27,810.000000,all,1623.00,32.50,4.00,1622,31,3,4
27,810.000000,all,1732.44,6.83,269.50,1716,0,33,15
28,840.000000,all,1623.00,32.00,2.00,1622,31,3,3
28,840.000000,all,1732.50,6.81,268.50,1717,0,32,15
29,870.000000,all,1623.00,32.00,2.00,1622,31,3,3
29,870.000000,all,1732.50,6.81,268.50,1717,0,32,15
30,900.000000,all,1623.00,32.50,4.00,1622,31,3,4
30,900.000000,all,1732.58,6.87,272.00,1717,0,32,15
31,930.000000,all,1622.70,32.30,5.50,1621,31,4,4
31,930.000000,all,1732.54,6.85,270.00,1717,0,32,15
32,960.000000,all,1623.00,32.50,4.00,1622,31,3,4
32,960.000000,all,1732.46,6.83,268.00,1717,0,32,15
33,990.000000,all,1623.00,32.50,4.00,1622,31,3,4
