video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX01007X_2025Nov14.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
61,1830.0,roi_2,930.63,252.51,81.0,918,247,28,11
61,1830.0,roi_2,865.82,557.88,19.0,863,555,7,6
61,1830.0,roi_2,854.61,448.33,9.0,853,445,4,7
61,1830.0,roi_2,858.88,581.9,21.0,856,577,6,11
61,1830.0,roi_2,863.77,666.47,49.0,858,660,12,12
61,1830.0,roi_2,856.74,428.6,62.0,852,421,10,17
62,1860.0,roi_2,930.51,252.46,70.0,918,247,27,11
62,1860.0,roi_2,865.84,557.6,15.0,863,555,6,6
62,1860.0,roi_2,849.35,557.65,26.0,848,551,4,14
62,1860.0,roi_2,858.67,582.5,12.0,857,579,4,8
62,1860.0,roi_2,862.55,664.91,47.0,858,657,12,15
62,1860.0,roi_2,854.07,430.68,90.5,847,421,15,19
63,1890.0,roi_2,930.34,252.52,53.0,921,248,22,9
63,1890.0,roi_2,853.93,430.76,79.5,847,421,15,19
63,1890.0,roi_2,849.36,558.0,22.0,848,552,4,13
63,1890.0,roi_2,858.64,582.43,7.0,857,580,4,6
63,1890.0,roi_2,859.0,658.0,2.0,858,657,3,3
63,1890.0,roi_2,865.57,668.08,18.0,863,666,7,5
63,1890.0,roi_2,865.37,557.63,10.0,863,556,5,5
64,1920.0,roi_2,928.2,253.3,35.0,921,250,16,7
64,1920.0,roi_2,865.3,557.3,5.5,864,556,4,4
64,1920.0,roi_2,865.5,668.5,13.0,863,667,6,4
64,1920.0,roi_2,853.79,430.46,57.5,848,421,13,18
65,1950.0,roi_2,931.5,252.0,4.0,930,251,4,3
65,1950.0,roi_2,849.0,435.5,4.0,848,434,3,4
65,1950.0,roi_2,865.5,668.0,4.0,864,667,4,3
65,1950.0,roi_2,856.5,428.36,11.0,854,425,6,8
66,1980.0,roi_2,839.38,116.74,117.5,835,108,11,22
67,2010.0,roi_2,835.93,238.33,25.0,832,235,10,8
67,2010.0,roi_2,839.28,116.72,107.0,835,108,11,22
67,2010.0,roi_2,801.0,375.5,4.0,800,374,3,4
67,2010.0,roi_2,804.77,342.46,39.0,803,333,5,21
67,2010.0,roi_2,803.86,409.86,22.0,801,405,6,11
67,2010.0,roi_2,800.9,382.46,13.0,799,379,4,8
67,2010.0,roi_2,813.0,436.0,2.0,812,435,3,3
