trial,n_units,frac_excluded,mean_signal_to_background_ratio,median_signal_to_background_ratio,mean_corrected_rmr
trial4,8,0.25,0.13307415447568915,0.13230067965764045,0.8217106467053885
trial4.5,5,0.0,0.08779264791247253,0.09962228822652441,1.2345147691510772
trial5,8,0.0,0.10328198861789475,0.09995946246906653,2.0062916190160123
trial7,3,0.0,0.12685822781878295,0.11975527995414091,1.4504883902739234
trial3,9,0.0,0.13515848697645882,0.12217785522019656,3.039551366493132
trial2,3,0.0,0.17169938234877957,0.14931979262021888,4.006849723609277
trial5.5,3,0.0,0.1754461935741939,0.1458326921559147,1.6503939954969498
trial6.5,5,0.0,0.1803133252524176,0.1711815758624134,2.1609616224835477
trial6,3,0.0,0.2118533657154645,0.2153028651127848,1.3636083932330694
trial1,9,0.0,0.22524360732912488,0.21453635073909466,4.803044623535097
trial7.5,3,0.0,0.2904285914781431,0.27608143455052325,3.1309864347128236
