detection_id,video_name,video_path,frame,t_sec,x,y,area,bbox_x,bbox_y,bbox_w,bbox_h
1,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,480,48.0,120,697,27.0,118,692,4,10
2,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,559,55.9,120,697,27.0,118,692,4,10
3,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,594,59.4,119,697,21.5,116,694,6,6
4,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,1557,155.7,119,696,31.0,116,692,7,8
5,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,2550,255.0,121,697,21.5,118,694,6,6
6,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,2583,258.3,120,696,21.0,118,692,4,8
7,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,2600,260.0,120,698,21.0,118,694,4,8
8,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,3315,331.5,119,696,25.0,117,692,5,8
9,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,3464,346.4,120,696,21.0,118,692,4,8
10,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,3881,388.1,121,696,20.0,118,692,6,8
11,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,3902,390.2,122,697,27.0,120,692,4,10
12,12nov2025_phys_part10.mp4,/home/likewise-open/ADS/oakley/labdata/users/Oakley/GitHub/signal_respirometry/video/arducamvids/12nov2025_phys_part10.mp4,4380,438.0,121,697,21.5,118,694,6,6
