night,position,signal_rate,trial,brick,channel
2025Nov10,left,4.161490683229814,trial1,box3,Ch4
2025Nov10,middle,0.9813664596273292,trial1,box3,Ch3
2025Nov10,right,9.745341614906833,trial1,box3,Ch2
2025Nov12,left,0.23347398030942335,trial3,box2,Ch4
2025Nov12,middle,0.48523206751054854,trial3,box2,Ch3
2025Nov12,right,0.17440225035161744,trial3,box2,Ch2
2025Nov13,left,0.05146036161335188,trial4,newbox,Ch4
2025Nov13,middle,0.3282336578581363,trial4,newbox,Ch3
2025Nov13,right,0.08762169680111266,trial4,newbox,Ch2
2025Nov14,roi_1,0.10845070422535211,trial5,box2,Ch4
2025Nov14,roi_2,0.39154929577464787,trial5,box2,Ch2
