trial,brick,channel,diff_mean,diff_slope_per_hour,diff_min,diff_max,control_mean,control_slope_per_hour,qc_recommendation,qc_reason,abs_diff_mean,signal_to_background_ratio,trial_is_trial4
trial1,box3,Ch2,-25.603724485579708,-7.695392060660363,-52.62999999999998,-3.140000000000015,193.66022808032395,-2.6443098616381966,include,none,25.603724485579708,0.1322095132245115,False
trial1,box3,Ch3,-33.54445583009668,-7.541549841079929,-54.139999999999986,-6.5,193.66022808032395,-2.6443098616381966,include,none,33.54445583009668,0.173212931547361,False
trial1,box3,Ch4,-27.90508387736551,-6.847041173800249,-45.620000000000005,-2.509999999999991,193.66022808032395,-2.6443098616381966,include,none,27.90508387736551,0.14409300326573662,False
trial3,box2,Ch2,-21.816764530847056,-3.557096792081185,-35.400000000000006,-9.590000000000003,194.3256774449514,-3.1008929588066922,include,none,21.816764530847056,0.11226907744559411,False
trial3,box2,Ch3,-18.82459035905574,-2.1428312802431027,-26.860000000000014,-9.569999999999993,194.3256774449514,-3.1008929588066922,include,none,18.82459035905574,0.09687134817420874,False
trial3,box2,Ch4,-22.962082920055543,-5.332090659055234,-42.690000000000026,-4.75,194.3256774449514,-3.1008929588066922,include,none,22.962082920055543,0.11816288625285809,False
trial4,newbox,Ch2,-3.242201735515873,0.01879132878588941,-7.0090179999999975,0.404358000000002,169.70432352142856,-3.6572319605467367,exclude,large_correction_whole,3.242201735515873,0.019105003739562212,True
trial4,newbox,Ch4,-0.21738998630952366,0.301741073217694,-4.425049000000001,4.291884999999979,169.70432352142856,-3.6572319605467367,exclude,background>=channel (whole); corrected_whole<=0; large_correction_whole,0.21738998630952366,0.0012809926217394977,True
trial5,box2,Ch2,-8.793414005157707,-1.220531326244655,-14.189999999999998,-3.9499999999999886,191.64941479865107,-2.6550534985812875,include,none,8.793414005157707,0.04588281166603238,False
trial5,box2,Ch4,-5.525951200158699,-1.208384606683757,-10.629999999999995,-0.6099999999999852,191.64941479865107,-2.6550534985812875,include,none,5.525951200158699,0.02883364504887995,False
