
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	20.909	1011	100.000	20.950	52.300	19.572	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	20.979	1011	100.000	20.950	52.300	19.942	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.172	1011	100.000	20.950	52.300	19.564	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.173	1011	100.000	20.950	52.300	19.049	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	11/9/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/9/2025	10:54:32	0.00		199.22	231.44	199.47	201.17	21.073	21.073	21.073	21.073	1010.99	62.013	21.073	---	---	21.067	19.790	21.069	20.444	742.924	436.621	518.139	571.175	7.583	7.778	7.409	7.520	
11/9/2025	10:54:34	2.11		199.22	231.35	199.53	201.13	21.074	21.074	21.074	21.074	1010.99	62.092	21.074	---	---	21.067	19.795	21.066	20.446	742.941	436.675	518.114	571.213	7.587	7.771	7.412	7.525	
11/9/2025	10:54:36	4.18		199.18	231.31	199.56	201.14	21.072	21.072	21.072	21.072	1011.01	62.151	21.072	---	---	21.069	19.797	21.065	20.446	742.959	436.726	518.080	571.258	7.580	7.807	7.446	7.541	
11/9/2025	10:54:38	6.36		199.14	231.32	199.54	201.12	21.073	21.073	21.073	21.073	1010.96	62.161	21.073	---	---	21.072	19.796	21.065	20.447	742.957	436.763	518.037	571.295	7.583	7.777	7.489	7.480	
11/9/2025	10:54:40	8.71		199.11	231.26	199.54	201.11	21.073	21.073	21.073	21.073	1010.95	62.161	21.073	---	---	21.073	19.799	21.065	20.448	742.963	436.810	517.991	571.331	7.526	7.778	7.505	7.468	
11/9/2025	10:54:43	10.95		199.08	231.25	199.54	201.09	21.073	21.073	21.073	21.073	1010.96	62.179	21.073	---	---	21.075	19.800	21.065	20.449	742.958	436.856	517.935	571.370	7.523	7.768	7.529	7.509	
11/9/2025	10:54:45	13.03		199.09	231.19	199.58	201.05	21.071	21.071	21.071	21.071	1011.01	62.227	21.071	---	---	21.075	19.803	21.064	20.451	742.968	436.911	517.886	571.414	7.536	7.782	7.502	7.511	
11/9/2025	10:54:47	15.11		199.07	231.21	199.59	201.04	21.070	21.070	21.070	21.070	1010.99	62.293	21.070	---	---	21.076	19.802	21.063	20.452	742.970	436.957	517.832	571.455	7.607	7.760	7.518	7.487	
11/9/2025	10:54:49	17.19		199.08	231.20	199.62	201.03	21.068	21.068	21.068	21.068	1010.97	62.351	21.068	---	---	21.076	19.803	21.062	20.453	742.971	437.004	517.787	571.490	7.598	7.781	7.427	7.464	
11/9/2025	10:54:51	19.29		199.05	231.13	199.62	201.00	21.069	21.069	21.069	21.069	1010.93	62.369	21.069	---	---	21.078	19.806	21.062	20.455	742.973	437.054	517.737	571.525	7.559	7.797	7.424	7.478	
11/9/2025	10:54:53	21.37		199.07	231.09	199.67	200.97	21.069	21.069	21.069	21.069	1010.93	62.369	21.069	---	---	21.077	19.808	21.059	20.456	742.979	437.115	517.686	571.562	7.497	7.787	7.360	7.557	
11/9/2025	10:54:55	23.45		199.04	231.03	199.71	200.94	21.070	21.070	21.070	21.070	1010.91	62.359	21.070	---	---	21.078	19.811	21.057	20.458	742.991	437.166	517.632	571.595	7.506	7.765	7.405	7.550	
11/9/2025	10:54:57	25.52		199.02	231.02	199.73	200.92	21.069	21.069	21.069	21.069	1010.93	62.349	21.069	---	---	21.079	19.812	21.056	20.459	743.000	437.215	517.606	571.650	7.502	7.767	7.417	7.550	
11/9/2025	10:54:59	27.60		198.98	230.94	199.76	200.89	21.070	21.070	21.070	21.070	1010.92	62.349	21.070	---	---	21.081	19.815	21.054	20.460	743.001	437.250	517.572	571.699	7.519	7.795	7.453	7.550	
11/9/2025	10:55:01	29.68		198.98	230.90	199.73	200.86	21.070	21.070	21.070	21.070	1010.97	62.389	21.070	---	---	21.081	19.817	21.056	20.462	743.012	437.298	517.534	571.785	7.501	7.795	7.401	7.570	
11/9/2025	10:55:03	31.77		198.97	230.85	199.75	200.82	21.073	21.073	21.073	21.073	1010.96	62.468	21.073	---	---	21.081	19.819	21.054	20.463	743.027	437.359	517.468	571.844	7.502	7.793	7.354	7.586	
11/9/2025	10:55:06	33.86		198.98	230.85	199.72	200.77	21.073	21.073	21.073	21.073	1010.96	62.547	21.073	---	---	21.081	19.818	21.055	20.466	743.042	437.416	517.417	571.916	7.484	7.799	7.349	7.542	
11/9/2025	10:55:08	35.92		198.95	230.80	199.79	200.73	21.072	21.072	21.072	21.072	1010.99	62.575	21.072	---	---	21.082	19.821	21.052	20.468	743.058	437.481	517.377	571.951	7.488	7.782	7.359	7.570	
11/9/2025	10:55:10	37.99		198.94	230.79	199.83	200.73	21.070	21.070	21.070	21.070	1011.01	62.575	21.070	---	---	21.084	19.822	21.050	20.469	743.069	437.530	517.342	572.001	7.481	7.785	7.383	7.535	
11/9/2025	10:55:12	40.09		198.91	230.74	199.86	200.75	21.069	21.069	21.069	21.069	1011.02	62.565	21.069	---	---	21.086	19.825	21.049	20.469	743.082	437.597	517.306	572.054	7.497	7.738	7.419	7.537	
11/9/2025	10:55:14	42.35		198.94	230.74	199.91	200.77	21.066	21.066	21.066	21.066	1011.00	62.555	21.066	---	---	21.085	19.826	21.047	20.468	743.084	437.661	517.271	572.104	7.514	7.709	7.461	7.489	
11/9/2025	10:55:16	44.57		198.95	230.70	199.95	200.75	21.062	21.062	21.062	21.062	1010.99	62.555	21.062	---	---	21.085	19.829	21.046	20.470	743.089	437.728	517.235	572.142	7.523	7.670	7.484	7.457	
11/9/2025	10:55:18	46.81		198.97	230.68	199.98	200.74	21.058	21.058	21.058	21.058	1010.99	62.575	21.058	---	---	21.086	19.831	21.045	20.472	743.094	437.786	517.200	572.183	7.471	7.674	7.454	7.473	
